Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"222 Preston Ln SW # 15, Atlanta, GA",https://www.zillow.com/homedetails/222-Preston-Ln-SW-15-Atlanta-GA-30315/2082083984_zpid/,"$350,000",New construction,3 bds,3 ba,"2,023 sqft",None,Single Family,2019,Forced air,No Data,Attached Garage,"10,454 sqft",$173,"$1,794",$312/mo,$123/mo,$75/mo,Not included
"1164 Edie Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1164-Edie-Ave-SE-Atlanta-GA-30312/35869699_zpid/,"$329,500",House for sale,3 bds,2 ba,"1,200 sqft",,Single Family,1950,Forced air,Central,5 spaces,"7,074 sqft",$275,"$1,618",$294/mo,$115/mo,$0/mo,Not included
"38 Belmonte Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/38-Belmonte-Cir-SW-Atlanta-GA-30311/35848598_zpid/,"$75,000",Condo for sale,2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,$37,$423,$67/mo,$26/mo,$23/mo,Not included
"1469 Belmont Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1469-Belmont-Ave-SW-Atlanta-GA-30310/35830944_zpid/,"$285,000",House for sale,3 bds,2 ba,"1,416 sqft",,Single Family,1920,Heat pump,Central,No Data,"6,490 sqft",$201,"$1,399",$254/mo,$100/mo,$0/mo,Not included
"2000 Grange Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/2000-Grange-Dr-SE-Atlanta-GA-30315/35874419_zpid/,"$75,000",House for sale,3 bds,1 ba,"1,040 sqft",,Single Family,1968,Forced air,Central,No Data,"9,583 sqft",$72,$400,$67/mo,$26/mo,$0/mo,Not included
"102 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082130998_zpid/,"$234,900+",New construction,1 bd,1 ba,774 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",No Data,$303,"$1,211",,,,
"1425 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1425-Oakland-Dr-SW-Atlanta-GA-30310/35841329_zpid/,"$150,000",House for sale,7 bds,2 ba,"1,590 sqft",,Single Family,1930,Forced air,Central,No Data,0.44 acres,$94,$773,$134/mo,$53/mo,$0/mo,Not included
"1325 Elizabeth Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1325-Elizabeth-Ave-SW-Atlanta-GA-30310/35840778_zpid/,"$105,000",For sale by owner,2 bds,1 ba,870 sqft,,Single Family,1950,Forced air,Central,No Data,"5,998 sqft",$121,$560,$94/mo,$37/mo,$0/mo,Not included
"2182 Cascade Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2182-Cascade-Rd-SW-Atlanta-GA-30311/35858577_zpid/,"$187,500",House for sale,3 bds,1 ba,"1,763 sqft",,Single Family,1925,Other,Central,3 spaces,"10,018 sqft",$106,$967,$167/mo,$66/mo,$0/mo,Not included
"1100 Welch St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1100-Welch-St-SW-Atlanta-GA-30310/35890958_zpid/,"$230,000",For sale by owner,3 bds,2 ba,807 sqft,,Single Family,1923,Forced air,Other,No Data,"5,140 sqft",$285,"$1,186",$205/mo,$81/mo,$0/mo,Not included
"34 Dorothy St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/34-Dorothy-St-SE-Atlanta-GA-30315/35883278_zpid/,"$85,000",For sale by owner,2 bds,1 ba,572 sqft,,Single Family,1954,Other,None,No Data,"6,882 sqft",$149,$453,$76/mo,$30/mo,$0/mo,Not included
"157 Adair Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/157-Adair-Ave-SE-Atlanta-GA-30315/35883460_zpid/,"$87,084",Auction,2 bds,1 ba,"1,320 sqft",,Single Family,1920,Forced air,Central,2 spaces,0.25 acres,,$464,$78/mo,$30/mo,$0/mo,Not included
"2946 Hapeville Rd SW, Atlanta, GA 30354",https://www.zillow.com/homedetails/2946-Hapeville-Rd-SW-Atlanta-GA-30354/35886425_zpid/,"$124,900",For sale by owner,3 bds,2 ba,"1,388 sqft",,Single Family,1957,Forced air,Central,Off street,0.67 acres,$90,$666,$111/mo,$44/mo,$0/mo,Not included
"30 Dorothy St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/30-Dorothy-St-SE-Atlanta-GA-30315/35883279_zpid/,"$275,000",Coming soon,3 bds,3 ba,"1,723 sqft",,Single Family,2019,Other,None,No Data,"7,143 sqft",$160,"$1,350",$245/mo,$96/mo,$0/mo,Not included
"188 Rhodesia Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/188-Rhodesia-Ave-SE-Atlanta-GA-30315/35883365_zpid/,"$92,500",For sale by owner,5 bds,3 ba,"1,540 sqft",,Single Family,1924,Forced air,Central,Detached Garage,0.35 acres,$60,$493,$82/mo,$32/mo,$0/mo,Not included
"398 Mulberry Row SE UNIT 1606, Atlanta, GA",https://www.zillow.com/homedetails/398-Mulberry-Row-SE-UNIT-1606-Atlanta-GA-30354/2084248172_zpid/,"$236,605",New construction,3 bds,3 ba,"1,891 sqft",None,Townhouse,2019,No Data,No Data,2 spaces,No Data,$125,"$1,220",,,,
"410 Mulberry Row SE UNIT 1705, Atlanta, GA",https://www.zillow.com/homedetails/410-Mulberry-Row-SE-UNIT-1705-Atlanta-GA-30354/2084385615_zpid/,"$229,455",New construction,3 bds,3 ba,"1,891 sqft",None,Townhouse,2019,No Data,No Data,2 spaces,No Data,$121,"$1,183",,,,
"1387 Jonesboro Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1387-Jonesboro-Rd-SE-Atlanta-GA-30315/35883028_zpid/,"$300,000",House for sale,4 bds,3 ba,"2,008 sqft",,Single Family,1935,Forced air,Central,No Data,"7,187 sqft",$149,"$1,473",$268/mo,$105/mo,$0/mo,Not included
"1820 Shadydale Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1820-Shadydale-Ave-SE-Atlanta-GA-30315/35883597_zpid/,"$85,000",For sale by owner,1 bd,1 ba,651 sqft,,Single Family,1940,Other,Other,No Data,"7,474 sqft",$131,$453,$76/mo,$30/mo,$0/mo,Not included
"The Courtland Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336530_zpid/,"$380,900+",New construction,2 bds,2 ba,"1,318 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$289,"$1,870",,,,
"1030 Alloway Pl SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1030-Alloway-Pl-SE-Atlanta-GA-30316/35828790_zpid/,"$394,900",House for sale,3 bds,2 ba,"1,330 sqft",,Single Family,1998,Forced air,Central,No Data,"8,999 sqft",$297,"$1,939",$352/mo,$138/mo,$0/mo,Not included
"857 Mcwilliams Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/857-Mcwilliams-Rd-SE-Atlanta-GA-30315/35874743_zpid/,"$125,000",House for sale,4 bds,2 ba,"2,108 sqft",None,Single Family,1945,Forced air,None,Carport,0.58 acres,$59,$667,$111/mo,$44/mo,$0/mo,Not included
"205 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180855_zpid/,"$269,900+",New construction,1 bd,1 ba,888 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$304,"$1,520",,,,
"65 Weyman Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/65-Weyman-Ave-SW-Atlanta-GA-30315/65462510_zpid/,"$515,000",Apartment for sale,Studio,-- ba,"3,040 sqft",,Multi Family,2000,Forced air,Central,2 spaces,$169,,"$2,529",$459/mo,$180/mo,$0/mo,Not included
"1638 Orlando St SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1638-Orlando-St-SW-Atlanta-GA-30311/35848356_zpid/,"$425,000",House for sale,5 bds,3 ba,"3,156 sqft",,Single Family,1950,Forced air,Central,3 spaces,0.29 acres,$135,"$2,087",$379/mo,$149/mo,$0/mo,Not included
"The Edgewood Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336531_zpid/,"$499,900+",New construction,3 bds,3 ba,"2,223 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$225,"$2,455",,,,
"15 Gould St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/15-Gould-St-SE-Atlanta-GA-30315/35876531_zpid/,"$99,000",For sale by owner,5 bds,2 ba,"1,492 sqft",None,Multi Family,1920,Other,Other,Off street,$66,,$528,$88/mo,$35/mo,$0/mo,Not included
"426 Macedonia Rd SE, Atlanta, GA 30354",https://www.zillow.com/homedetails/426-Macedonia-Rd-SE-Atlanta-GA-30354/35875316_zpid/,"$90,800",House for sale,3 bds,1 ba,"1,300 sqft",None,Single Family,1960,Forced air,Central,No Data,"9,348 sqft",$70,$484,$81/mo,$32/mo,$0/mo,Not included
"306 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180854_zpid/,"$359,900+",New construction,2 bds,2 ba,"1,293 sqft",,Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$278,"$1,962",,,,
"1270 Elizabeth Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1270-Elizabeth-Ave-SW-Atlanta-GA-30310/35840829_zpid/,"$135,000",House for sale,3 bds,2 ba,"1,608 sqft",,Single Family,1962,Other,Central,1 space,0.25 acres,$84,$696,$120/mo,$47/mo,$0/mo,Not included
"1673 Langston Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1673-Langston-Ave-SW-Atlanta-GA-30310/69343730_zpid/,"$203,501",Auction,3 bds,3 ba,"1,604 sqft",,Single Family,2006,Other,"Central, Other",No Data,0.31 acres,,"$1,049",$181/mo,$71/mo,$0/mo,Not included
"2095 W Cedar Ln SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2095-W-Cedar-Ln-SW-Atlanta-GA-30311/35858732_zpid/,"$186,038",Auction,3 bds,3 ba,"2,017 sqft",,Single Family,1955,Other,Central,No Data,1.13 acres,,$959,$166/mo,$65/mo,$0/mo,Not included
"694 Lexington Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/694-Lexington-Ave-SW-Atlanta-GA-30310/35831401_zpid/,"$294,823",Auction,4 bds,2 ba,"1,855 sqft",,Single Family,1920,Other,Central,No Data,"10,454 sqft",,"$1,448",$263/mo,$103/mo,$0/mo,Not included
"103 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082130999_zpid/,"$229,900+",New construction,1 bd,1 ba,757 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",No Data,$304,"$1,185",,,,
"The Fairlie Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336533_zpid/,"$454,900+",New construction,4 bds,3 ba,"2,264 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$201,"$2,234",,,,
"1605 Boulevard Lorraine SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1605-Boulevard-Lorraine-SW-Atlanta-GA-30311/35858765_zpid/,"$325,000",House for sale,3 bds,3 ba,"1,527 sqft",,Single Family,1951,Heat pump,Central,1 space,0.45 acres,$213,"$1,596",$290/mo,$114/mo,$0/mo,Not included
"110 Bowen Cir SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/110-Bowen-Cir-SW-Atlanta-GA-30315/65462449_zpid/,"$234,900",House for sale,3 bds,3 ba,"1,320 sqft",,Single Family,2000,Forced air,Central,No Data,"8,712 sqft",$178,"$1,252",$209/mo,$82/mo,$41/mo,Not included
"1070 Sims St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1070-Sims-St-SW-Atlanta-GA-30310/35890977_zpid/,"$99,900",House for sale,3 bds,2 ba,"1,300 sqft",,Single Family,1950,Other,Other,Off street,"5,009 sqft",$77,$533,$89/mo,$35/mo,$0/mo,Not included
"2138 Springdale Rd SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2138-Springdale-Rd-SW-Atlanta-GA-30315/35829369_zpid/,"$125,000",House for sale,2 bds,2 ba,"1,370 sqft",,Single Family,1950,Forced air,Central,No Data,0.26 acres,$91,$667,$111/mo,$44/mo,$0/mo,Not included
"525 Woodrow Ave, Atlanta, GA 30354",https://www.zillow.com/homedetails/525-Woodrow-Ave-Atlanta-GA-30354/65463233_zpid/,"$285,000",For sale by owner,3 bds,2 ba,"1,269 sqft",,Single Family,2002,Forced air,Central,6 spaces,"6,098 sqft",$225,"$1,399",$254/mo,$100/mo,$0/mo,Not included
"247 Stovall St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/247-Stovall-St-SE-Atlanta-GA-30316/35839196_zpid/,"$450,000",House for sale,3 bds,2 ba,"1,200 sqft",,Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",$375,"$2,210",$401/mo,$158/mo,$0/mo,Not included
"398 Mulberry Row SE UNIT 1606, Atlanta, GA",https://www.zillow.com/homedetails/398-Mulberry-Row-SE-UNIT-1606-Atlanta-GA-30354/2084248172_zpid/,"$236,605",New construction,3 bds,3 ba,"1,891 sqft",None,Townhouse,2019,No Data,No Data,2 spaces,No Data,$125,"$1,220",,,,
"751 Kennolia Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/751-Kennolia-Dr-SW-Atlanta-GA-30310/35854888_zpid/,"$140,000",Lot / Land for sale,0.27 acres lot,,,,,,,,,,,$722,$125/mo,$49/mo,$0/mo,Not included
"1470 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1470-S-Gordon-St-SW-Atlanta-GA-30310/2082103166_zpid/,"$419,000",House for sale,3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",$227,"$2,057",$374/mo,$147/mo,$0/mo,Not included
"1401 Mims St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1401-Mims-St-SW-Atlanta-GA-30314/35843915_zpid/,"$160,000",House for sale,3 bds,2 ba,"1,697 sqft",,Single Family,1940,Forced air,Central,Off street,"7,492 sqft",$94,$825,$143/mo,$56/mo,$0/mo,Not included
"33 Chappell Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/33-Chappell-Rd-NW-Atlanta-GA-30314/35843673_zpid/,"$140,000",House for sale,2 bds,2 ba,"1,280 sqft",,Single Family,1940,None,None,No Data,"8,712 sqft",$109,$722,$125/mo,$49/mo,$0/mo,Not included
"167 1st St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/167-1st-St-SW-Atlanta-GA-30314/35834808_zpid/,"$195,000",Apartment for sale,Studio,-- ba,676 sqft,,Multi Family,1950,Forced air,Central,No Data,$288,,"$1,005",$174/mo,$68/mo,$0/mo,Not included
"The Reynolds Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390359_zpid/,"$729,900+",New construction,3 bds,5 ba,"2,907 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$251,"$3,686",,,,
"20 Marietta St NW # 15B, Atlanta, GA 30303",https://www.zillow.com/homedetails/20-Marietta-St-NW-15B-Atlanta-GA-30303/35888542_zpid/,"$194,900",Condo for sale,2 bds,2 ba,"1,156 sqft",,Condo,1995,Other,Central,None,$590/month,$169,"$1,595",$174/mo,$68/mo,$590/mo,Not included
"2166 Wingate St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/2166-Wingate-St-SW-Atlanta-GA-30310/35857675_zpid/,"$83,900",House for sale,3 bds,2 ba,588 sqft,,Single Family,1945,Forced air,Central,No Data,"9,975 sqft",$143,$448,$75/mo,$29/mo,$0/mo,Not included
"951 Fern Ave SE # B, Atlanta, GA",https://www.zillow.com/homedetails/951-Fern-Ave-SE-B-Atlanta-GA-30315/2082109452_zpid/,"$385,000",New construction,3 bds,3 ba,"1,725 sqft",,Townhouse,2019,"Forced air, Heat pump",Central,No Data,"3,920 sqft",$223,"$1,890",$343/mo,$135/mo,$0/mo,Not included
"567 Holderness St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/567-Holderness-St-SW-Atlanta-GA-30310/35842915_zpid/,"$199,000",House for sale,2 bds,1 ba,"1,222 sqft",,Single Family,1900,Forced air,Central,2 spaces,0.34 acres,$163,"$1,026",$177/mo,$70/mo,$0/mo,Not included
"951 Palmetto Ave SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/951-Palmetto-Ave-SW-Atlanta-GA-30314/35834736_zpid/,"$360,000",House for sale,4 bds,3 ba,"2,272 sqft",,Single Family,1920,Forced air,Central,No Data,"5,000 sqft",$158,"$1,768",$321/mo,$126/mo,$0/mo,Not included
"470 Monument Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/470-Monument-Ave-SE-Atlanta-GA-30316/14456527_zpid/,"$345,000",House for sale,2 bds,2 ba,"1,792 sqft",,Single Family,1925,Forced air,Central,No Data,"8,712 sqft",$193,"$1,706",$319/mo,$121/mo,$0/mo,Not included
"3577 Parc Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/3577-Parc-Cir-SW-Atlanta-GA-30311/71752776_zpid/,"$149,900",Townhouse for sale,2 bds,3 ba,"2,614 sqft",,Townhouse,2005,Forced air,Central,2 spaces,"1,306 sqft",$57,$898,$134/mo,$52/mo,$125/mo,Not included
"1764 Springview Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1764-Springview-Rd-NW-Atlanta-GA-30314/35846238_zpid/,"$205,000",For sale by owner,3 bds,2 ba,954 sqft,,Single Family,1950,Other,Central,No Data,No Data,$215,"$1,057",$183/mo,$72/mo,$0/mo,Not included
"226 Lampkin St NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/226-Lampkin-St-NE-Atlanta-GA-30312/35860136_zpid/,"$689,000",House for sale,3 bds,3 ba,"1,823 sqft",,Single Family,2005,Forced air,Central,2 spaces,"4,356 sqft",$378,"$3,479",$614/mo,$241/mo,$0/mo,Not included
"The Glenwood Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390358_zpid/,"$599,900+",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$263,"$2,948",,,,
"1919 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1919-S-Gordon-St-SW-Atlanta-GA-30310/35855109_zpid/,"$360,000",House for sale,3 bds,2 ba,"1,433 sqft",,Single Family,1952,Forced air,Central,No Data,"10,410 sqft",$251,"$1,768",$321/mo,$126/mo,$0/mo,Not included
"2129 Hosea L Williams Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2129-Hosea-L-Williams-Dr-SE-Atlanta-GA-30317/14466081_zpid/,"$619,900",House for sale,4 bds,3 ba,"1,780 sqft",,Single Family,1986,Forced air,Central,No Data,0.3 acres,$348,"$3,151",$573/mo,$217/mo,$0/mo,Not included
"Alder Plan, Bixton",https://www.zillow.com/community/bixton/2082448195_zpid/,"$471,900+",New construction,3 bds,4 ba,"2,400 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$197,"$2,333",,,,
"663 Woodward Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/663-Woodward-Ave-SE-Atlanta-GA-30312/71752512_zpid/,"$457,747",Auction,3 bds,-- ba,"2,200 sqft",,Single Family,2005,Forced air,Central,On street,"4,966 sqft",,"$2,248",$408/mo,$160/mo,$0/mo,Not included
"1179 Tuckawanna Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1179-Tuckawanna-Dr-SW-Atlanta-GA-30311/35870161_zpid/,"$201,467",Auction,3 bds,2 ba,"1,645 sqft",,Single Family,1958,Forced air,Central,No Data,1.79 acres,,"$1,039",$180/mo,$71/mo,$0/mo,Not included
"435 Highland Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/435-Highland-Ave-NE-Atlanta-GA-30312/69364807_zpid/,"$164,587",Auction,2 bds,-- ba,937 sqft,,Single Family,2003,"Forced air, Heat pump",Central,Attached Garage,797 sqft,,"$1,073",$147/mo,$58/mo,$224/mo,Not included
"694 Lexington Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/694-Lexington-Ave-SW-Atlanta-GA-30310/35831401_zpid/,"$294,823",Auction,4 bds,2 ba,"1,855 sqft",,Single Family,1920,Other,Central,No Data,"10,454 sqft",,"$1,448",$263/mo,$103/mo,$0/mo,Not included
"103 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082130999_zpid/,"$229,900+",New construction,1 bd,1 ba,757 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",No Data,$304,"$1,185",,,,
"328 Gibson St SE # 11, Atlanta, GA 30316",https://www.zillow.com/homedetails/328-Gibson-St-SE-11-Atlanta-GA-30316/2082131352_zpid/,"$599,900",Townhouse for sale,2 bds,4 ba,"2,277 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948",$535/mo,$210/mo,$0/mo,Not included
"332 Gibson St SE # 13, Atlanta, GA 30316",https://www.zillow.com/homedetails/332-Gibson-St-SE-13-Atlanta-GA-30316/2082131355_zpid/,"$574,900",Townhouse for sale,2 bds,4 ba,"2,277 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$252,"$2,825",$513/mo,$201/mo,$0/mo,Not included
"330 Gibson St SE # 12, Atlanta, GA 30316",https://www.zillow.com/homedetails/330-Gibson-St-SE-12-Atlanta-GA-30316/2082131357_zpid/,"$574,900",Townhouse for sale,2 bds,4 ba,"2,277 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$252,"$2,825",$513/mo,$201/mo,$0/mo,Not included
"334 Gibson St SE # 14, Atlanta, GA 30316",https://www.zillow.com/homedetails/334-Gibson-St-SE-14-Atlanta-GA-30316/2082131353_zpid/,"$599,900",Townhouse for sale,2 bds,4 ba,"2,277 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948",$535/mo,$210/mo,$0/mo,Not included
"82 Rogers St NE, Atlanta, GA",https://www.zillow.com/homedetails/82-Rogers-St-NE-Atlanta-GA-30317/2082132271_zpid/,"$650,217",New construction,3 bds,4 ba,"2,133 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$305,"$3,305",,,,
"The Fairlie Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336533_zpid/,"$454,900+",New construction,4 bds,3 ba,"2,264 sqft",,Townhouse,2019,No Data,No Data,1 space,No Data,$201,"$2,234",,,,
"300 Peachtree St NE APT 21J, Atlanta, GA 30308",https://www.zillow.com/homedetails/300-Peachtree-St-NE-APT-21J-Atlanta-GA-30308/2088242486_zpid/,"$215,000",Condo for sale,1 bd,1 ba,722 sqft,,Condo,1962,No Data,Central,No Data,$499/month,$298,"$1,607",$192/mo,$75/mo,$499/mo,Not included
"728 Garibaldi St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/728-Garibaldi-St-SW-Atlanta-GA-30310/35890226_zpid/,"$500,000",House for sale,4 bds,3 ba,"2,600 sqft",,Single Family,2006,Forced air,Central,Detached Garage,9 acres,$192,"$2,455",$446/mo,$175/mo,$0/mo,Not included
"Sandlewood Plan, Cascades",https://www.zillow.com/community/cascades/2082949546_zpid/,"$230,900+",New construction,3 bds,3 ba,"1,954 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$118,"$1,190",,,,
"165 Sunset Ave NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/165-Sunset-Ave-NW-Atlanta-GA-30314/35832226_zpid/,"$275,000",House for sale,3 bds,2 ba,"2,357 sqft",,Single Family,1920,Forced air,Central,2 spaces,"6,298 sqft",$117,"$1,350",$245/mo,$96/mo,$0/mo,Not included
"Clifton Plan, Bixton",https://www.zillow.com/community/bixton/2082448196_zpid/,"$566,900+",New construction,3 bds,3 ba,"2,558 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$222,"$2,805",,,,
"1605 Boulevard Lorraine SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1605-Boulevard-Lorraine-SW-Atlanta-GA-30311/35858765_zpid/,"$325,000",House for sale,3 bds,3 ba,"1,527 sqft",,Single Family,1951,Heat pump,Central,1 space,0.45 acres,$213,"$1,596",$290/mo,$114/mo,$0/mo,Not included
"110 Bowen Cir SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/110-Bowen-Cir-SW-Atlanta-GA-30315/65462449_zpid/,"$234,900",House for sale,3 bds,3 ba,"1,320 sqft",,Single Family,2000,Forced air,Central,No Data,"8,712 sqft",$178,"$1,252",$209/mo,$82/mo,$41/mo,Not included
"766 Cooper St SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/766-Cooper-St-SW-Atlanta-GA-30315/69346254_zpid/,"$439,900",House for sale,4 bds,3 ba,"2,000 sqft",,Single Family,2019,Heat pump,Other,No Data,"6,882 sqft",$220,"$2,160",$392/mo,$154/mo,$0/mo,Not included
"925 Garibaldi St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/925-Garibaldi-St-SW-Atlanta-GA-30310/35890639_zpid/,"$99,900",House for sale,2 bds,1 ba,800 sqft,,Single Family,1949,Other,Other,No Data,"4,007 sqft",$125,$533,$89/mo,$35/mo,$0/mo,Not included
"1070 Sims St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1070-Sims-St-SW-Atlanta-GA-30310/35890977_zpid/,"$99,900",House for sale,3 bds,2 ba,"1,300 sqft",,Single Family,1950,Other,Other,Off street,"5,009 sqft",$77,$533,$89/mo,$35/mo,$0/mo,Not included
"452 Rockwell St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/452-Rockwell-St-SW-Atlanta-GA-30310/35890413_zpid/,"$99,900",House for sale,3 bds,1 ba,"1,000 sqft",,Single Family,1920,Forced air,Other,No Data,"2,178 sqft",$100,$533,$89/mo,$35/mo,$0/mo,Not included
"2138 Springdale Rd SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2138-Springdale-Rd-SW-Atlanta-GA-30315/35829369_zpid/,"$125,000",House for sale,2 bds,2 ba,"1,370 sqft",,Single Family,1950,Forced air,Central,No Data,0.26 acres,$91,$667,$111/mo,$44/mo,$0/mo,Not included
"56 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-Atlanta-GA-30317/14467914_zpid/,"$324,900",House for sale,2 bds,1 ba,"1,002 sqft",,Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,606",$301/mo,$114/mo,$0/mo,Not included
"1600 Westwood Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1600-Westwood-Ave-SW-Atlanta-GA-30310/35847203_zpid/,"$252,000",House for sale,7 bds,3 ba,"1,800 sqft",,Single Family,1930,Forced air,Central,No Data,"9,931 sqft",$140,"$1,237",$225/mo,$88/mo,$0/mo,Not included
"2367 Cascade Rd SW APT A3, Atlanta, GA 30311",https://www.zillow.com/homedetails/2367-Cascade-Rd-SW-APT-A3-Atlanta-GA-30311/2120296206_zpid/,"$109,900",Condo for sale,2 bds,1 ba,"1,815 sqft",,Condo,2005,Forced air,Central,No Data,$20/month,$61,$605,$98/mo,$38/mo,$20/mo,Not included
"525 Woodrow Ave, Atlanta, GA 30354",https://www.zillow.com/homedetails/525-Woodrow-Ave-Atlanta-GA-30354/65463233_zpid/,"$285,000",For sale by owner,3 bds,2 ba,"1,269 sqft",,Single Family,2002,Forced air,Central,6 spaces,"6,098 sqft",$225,"$1,399",$254/mo,$100/mo,$0/mo,Not included
