Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"261 Altoona Pl SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/261-Altoona-Pl-SW-Atlanta-GA-30314/35844192_zpid/,"$172,500",House for sale,2 bds,1 ba,"1,268 sqft",,Single Family,1954,Forced air,Central,2 spaces,"5,488 sqft",$136,$888,$154/mo,$60/mo,$0/mo,Not included
"290 Booker St SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/290-Booker-St-SW-Atlanta-GA-30315/35887672_zpid/,"$223,000",House for sale,3 bds,2 ba,"1,200 sqft",,Single Family,1955,Other,Central,No Data,"3,998 sqft",$186,"$1,148",$199/mo,$78/mo,$0/mo,Not included
"1164 Westmont Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1164-Westmont-Rd-SW-Atlanta-GA-30311/35841560_zpid/,"$139,900",House for sale,3 bds,1 ba,"1,389 sqft",,Single Family,1950,Other,Central,Detached Garage,"8,999 sqft",$101,$720,$125/mo,$49/mo,$0/mo,Not included
"480 John Wesley Dobbs Ave NE UNIT 336, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-336-Atlanta-GA-30312/92193165_zpid/,"$304,500",Condo for sale,2 bds,1 ba,"1,025 sqft",,Condo,2008,Forced air,Central,2 spaces,$376/month,$297,"$1,871",$272/mo,$107/mo,$376/mo,Not included
"Spring Ln NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/Spring-Ln-NW-Atlanta-GA-30314/249113723_zpid/,"$14,999",For sale by owner,"4,998 sqft lot",,,None,,,,,,,,$80,$13/mo,$5/mo,$0/mo,Not included
"836 Brownwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/836-Brownwood-Ave-SE-Atlanta-GA-30316/14446354_zpid/,"$399,900",House for sale,3 bds,2 ba,"1,400 sqft",,Single Family,1954,Other,None,1 space,0.3 acres,$286,"$1,976",$370/mo,$140/mo,$0/mo,Not included
"980 Memorial Walk SE # 7, Atlanta, GA",https://www.zillow.com/homedetails/980-Memorial-Walk-SE-7-Atlanta-GA-30316/2082608405_zpid/,"$889,900",New construction,4 bds,5 ba,"3,390 sqft",,Townhouse,2019,Gas,Central,4 spaces,No Data,$263,"$4,837",$793/mo,$311/mo,$335/mo,Not included
"967 Conley Rd SE, Atlanta, GA 30354",https://www.zillow.com/homedetails/967-Conley-Rd-SE-Atlanta-GA-30354/35829028_zpid/,"$100,000",House for sale,3 bds,1 ba,962 sqft,,Single Family,1957,Forced air,Central,4 spaces,0.33 acres,$104,$533,$89/mo,$35/mo,$0/mo,Not included
"408 Gartrell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/408-Gartrell-St-SE-Atlanta-GA-30312/2082611126_zpid/,"$1,200,000",Lot / Land for sale,0.35 acres lot,,,,,,,,,,,"$6,071","$1,070/mo",$420/mo,$0/mo,Not included
"14 Carter Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/14-Carter-Ave-SE-Atlanta-GA-30317/14465529_zpid/,"$669,900",House for sale,5 bds,3 ba,"2,648 sqft",,Single Family,1930,Forced air,Central,No Data,"8,712 sqft",$253,"$3,411",$620/mo,$234/mo,$0/mo,Not included
"143 Peyton Pl SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/143-Peyton-Pl-SW-Atlanta-GA-30311/35866056_zpid/,"$40,000",Townhouse for sale,2 bds,2 ba,"1,008 sqft",None,Townhouse,1976,Forced air,Central,2 spaces,"1,006 sqft",$40,$443,$36/mo,$14/mo,$230/mo,Not included
"64 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/64-Mortimer-St-SE-Atlanta-GA-30317/14467916_zpid/,"$375,000",House for sale,3 bds,2 ba,"1,363 sqft",,Single Family,1925,Forced air,Central,2 spaces,"8,712 sqft",$275,"$1,853",$347/mo,$131/mo,$0/mo,Not included
"110 Moury Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/110-Moury-Ave-SE-Atlanta-GA-30315/35883132_zpid/,"$150,000",House for sale,3 bds,2 ba,"1,457 sqft",,Single Family,1940,Other,Central,Off street,"6,499 sqft",$103,$772,$134/mo,$53/mo,$0/mo,Not included
"2358 Preston Park Ct, Decatur, GA",https://www.zillow.com/homedetails/2358-Preston-Park-Ct-Decatur-GA-30032/70830705_zpid/,"$409,900",New construction,4 bds,4 ba,"2,600 sqft",,Single Family,2019,"Baseboard, Forced air",Central,No Data,"8,712 sqft",$158,"$2,046",$379/mo,$143/mo,$20/mo,Not included
"375 Pratt Dr SE UNIT 306, Atlanta, GA",https://www.zillow.com/homedetails/375-Pratt-Dr-SE-UNIT-306-Atlanta-GA-30315/2082617475_zpid/,"$474,900",New construction,4 bds,3 ba,"2,730 sqft",,Condo,2019,No Data,No Data,2 spaces,$257/month,$174,"$2,604",$439/mo,$166/mo,$257/mo,Not included
"262 Castleberry Station Dr, Atlanta, GA",https://www.zillow.com/homedetails/262-Castleberry-Station-Dr-Atlanta-GA-30313/2082619526_zpid/,"$499,900",New construction,3 bds,4 ba,"2,171 sqft",,Townhouse,2019,No Data,No Data,2 spaces,No Data,$230,"$2,537",,,,
"3594 Revere Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3594-Revere-Rd-SW-Atlanta-GA-30331/35873178_zpid/,"$187,500",House for sale,3 bds,2 ba,"2,084 sqft",,Single Family,1960,Forced air,Other,Attached Garage,0.52 acres,$90,$965,$167/mo,$66/mo,$0/mo,Not included
"338 Dargan Pl SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/338-Dargan-Pl-SW-Atlanta-GA-30310/35835150_zpid/,"$25,000",For sale by owner,4 bds,3 ba,"1,400 sqft",,Single Family,1935,Forced air,Central,No Data,"5,135 sqft",$18,$133,$22/mo,$9/mo,$0/mo,Not included
"0 Pryor Rd, Atlanta, GA 30315",https://www.zillow.com/homedetails/0-Pryor-Rd-Atlanta-GA-30315/2090599810_zpid/,"$27,500",Lot / Land for sale,"10,018 sqft lot",,,None,,,,,,,,$147,$25/mo,$10/mo,$0/mo,Not included
"1595 Willowbrook Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1595-Willowbrook-Dr-SW-Atlanta-GA-30311/35853568_zpid/,"Est. $217,733",Pre-foreclosure / Auction,4 bds,1 ba,"2,000 sqft",,Single Family,2017,Other,Central,No Data,0.32 acres,,"$1,069",$194/mo,$76/mo,$0/mo,Not included
"1384 Westmont Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1384-Westmont-Rd-SW-Atlanta-GA-30311/35841050_zpid/,"$269,100",House for sale,3 bds,2 ba,"1,257 sqft",,Single Family,1951,Other,Central,2 spaces,"7,492 sqft",$214,"$1,321",$240/mo,$94/mo,$0/mo,Not included
"485 Connally St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/485-Connally-St-SE-Atlanta-GA-30312/65441455_zpid/,"$415,000",House for sale,3 bds,3 ba,"2,030 sqft",,Single Family,2007,Forced air,Central,No Data,"6,969 sqft",$204,"$2,037",$370/mo,$145/mo,$0/mo,Not included
"130 Scott St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/130-Scott-St-NW-Atlanta-GA-30314/35844637_zpid/,"$75,000",House for sale,2 bds,1 ba,918 sqft,,Single Family,1949,Other,Other,No Data,"7,753 sqft",$82,$400,$67/mo,$26/mo,$0/mo,Not included
"351 Cherokee Ave SE APT 7, Atlanta, GA 30312",https://www.zillow.com/homedetails/351-Cherokee-Ave-SE-APT-7-Atlanta-GA-30312/82615246_zpid/,"$209,900",Condo for sale,2 bds,1 ba,667 sqft,,Condo,1965,Forced air,Central,1 space,$175/month,$315,"$1,255",$187/mo,$73/mo,$175/mo,Not included
"1630 Sylvan Rd SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1630-Sylvan-Rd-SW-Atlanta-GA-30310/35829873_zpid/,"$230,000",House for sale,4 bds,2 ba,"2,137 sqft",,Single Family,1950,Forced air,Central,No Data,0.32 acres,$108,"$1,184",$205/mo,$81/mo,$0/mo,Not included
