Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"1072 Piedmont Ave NE APT 101, Atlanta, GA 30309","$375,000 ",2 bds,2 ba,"1,182 sqft","$369,642 ",Condo,1982,,,4 spaces,$305/month,,"$2,147 ","$1,376/mo",$334/mo,$131/mo,$305/mo
"1445 Monroe Dr NE APT F36, Atlanta, GA 30324","$250,000 ",2 bds,2 ba,"1,060 sqft","$243,978 ",Condo,1975,,,2 spaces,$297/month,,"$1,570 ",$962/mo,$223/mo,$88/mo,$297/mo
"675 Greenwood Ave NE APT 105, Atlanta, GA 30306","$720,000 ",2 bds,3 ba,"1,813 sqft","$704,355 ",Condo,1925,Forced air,Central,2 spaces,$424/month,,"$4,128 ","$2,810/mo",$642/mo,$252/mo,$424/mo
"2929 W Floyd Ave APT 105, Denver, CO 80236","$149,900 ",1 bd,1 ba,585 sqft,"$141,334 ",Condo,1982,Forced air,Central,,$142/month,Great solar potentialSun Numberâ„¢:Â 93.96,$823 ,$563/mo,$66/mo,$52/mo,$142/mo
"550 E 12th Ave APT 905, Denver, CO 80203","$298,900 ",1 bd,1 ba,797 sqft,"$284,516 ",Condo,1967,Other,Central,Attached Garage,$377/month,Great solar potentialSun Numberâ„¢:Â 88.32,"$1,703 ","$1,090/mo",$132/mo,$105/mo,$377/mo
"909 N Logan St APT 4C, Denver, CO 80203","$170,000 ",1 bds,1 ba,356 sqft,"$165,853 ",Condo,1965,Forced air,Central,None,$149/month,Great solar potentialSun Numberâ„¢:Â 93.92,$922 ,$638/mo,$75/mo,$60/mo,$149/mo
