Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"1522 E 37th St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1522-E-37th-St-Brooklyn-NY-11234/30756496_zpid/,"$829,000",House for sale,3 bds,3 ba,"1,472 sqft","$802,258",Single Family,1925,No Data,No Data,2 spaces,"2,000 sqft",$563,Great solar potentialSun Number™: 95.05,"$3,955","$3,216/mo",$0/mo,$449/mo,$290/mo,$0/mo,Not included
"2757 Cropsey Ave APT 5, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2757-Cropsey-Ave-APT-5-Brooklyn-NY-11214/94718333_zpid/,"$759,000",Condo for sale,3 bds,2 ba,"1,372 sqft",,Condo,2008,Gas,No Data,1 space,$278/month,$553,Great solar potentialSun Number™: 88.6,"$3,899","$2,944/mo",$0/mo,$411/mo,$266/mo,$278/mo,Not included
"1214 71st St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/1214-71st-St-Brooklyn-NY-11228/30703683_zpid/,"$1,680,000",Apartment for sale,9 bds,5 ba,"2,488 sqft","$1,588,431",Multi Family,1950,Gas,Wall,2 spaces,$675,,Great solar potentialSun Number™: 92.6,"$8,200","$6,702/mo",$0/mo,$910/mo,$588/mo,$0/mo,Not included
"15 Broad St APT 2310, New York, NY 10005",https://www.zillow.com/homedetails/15-Broad-St-APT-2310-New-York-NY-10005/80005893_zpid/,"$2,295,000",Condo for sale,2 bds,2 ba,"1,763 sqft","$2,194,625",Condo,1914,No Data,No Data,No Data,"$1,625/month","$1,302",Great solar potentialSun Number™: 90.22,"$13,266","$9,155/mo",$0/mo,"$1,683/mo",$803/mo,"$1,625/mo",Not included
"1065 Park Ave # 3C, New York, NY 10128",https://www.zillow.com/homedetails/1065-Park-Ave-3C-New-York-NY-10128/113350727_zpid/,"$729,000",Co-op for sale,1 bd,1 ba,-- sqft,"$713,652",Cooperative,1973,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.99,"$5,117","$2,828/mo",$0/mo,$535/mo,$255/mo,"$1,499/mo",Not included
"1065 Park Ave # 3C, New York, NY 10128",https://www.zillow.com/homedetails/1065-Park-Ave-3C-New-York-NY-10128/113350727_zpid/,"$729,000",Co-op for sale,1 bd,1 ba,-- sqft,"$713,652",Cooperative,1973,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.99,"$5,117","$2,828/mo",$0/mo,$535/mo,$255/mo,"$1,499/mo",Not included
"490 W End Ave APT 6D, New York, NY 10024",https://www.zillow.com/homedetails/490-W-End-Ave-APT-6D-New-York-NY-10024/244859809_zpid/,"$2,450,000",Co-op for sale,4 bds,3 ba,"140,076 sqft","$2,419,729",Cooperative,1913,No Data,No Data,No Data,$17,,Great solar potentialSun Number™: 94.98,"$15,481","$9,773/mo",$0/mo,"$1,797/mo",$858/mo,"$3,054/mo",Not included
"144 Rolling Hill Grn, Staten Island, NY 10312",https://www.zillow.com/homedetails/144-Rolling-Hill-Grn-Staten-Island-NY-10312/32361254_zpid/,"$449,900",Condo for sale,3 bds,2 ba,"1,800 sqft","$438,214",Condo,1979,Forced air,Central,"Carport, Off street",No Data,$250,Great solar potentialSun Number™: 84.62,"$2,326","$1,843/mo",$0/mo,$326/mo,$157/mo,$0/mo,Not included
"240 Warren St APT C, Brooklyn, NY 11201",https://www.zillow.com/homedetails/240-Warren-St-APT-C-Brooklyn-NY-11201/30568654_zpid/,"$1,795,000",Condo for sale,3 bds,2 ba,"1,450 sqft","$1,721,395",Condo,1900,No Data,No Data,No Data,$272/month,"$1,238",Great solar potentialSun Number™: 91.37,"$9,033","$7,160/mo",$0/mo,$972/mo,$628/mo,$272/mo,Not included
"150 E 69th St APT 17K, New York, NY 10065",https://www.zillow.com/homedetails/150-E-69th-St-APT-17K-New-York-NY-10065/244740090_zpid/,"$3,200,000",Co-op for sale,3 bds,4 ba,"914,921 sqft","$3,013,026",Cooperative,1959,No Data,No Data,No Data,$3,,,"$20,223","$12,765/mo",$0/mo,"$2,347/mo","$1,120/mo","$3,991/mo",Not included
"149 Huron St APT 4D, Brooklyn, NY 11222",https://www.zillow.com/homedetails/149-Huron-St-APT-4D-Brooklyn-NY-11222/2101968975_zpid/,"$1,199,500",Condo for sale,2 bds,2 ba,985 sqft,"$1,176,686",Condo,2007,No Data,Central,Attached Garage,$573/month,"$1,218",,"$6,427","$4,785/mo",$0/mo,$650/mo,$420/mo,$573/mo,Not included
"515 E 85th St APT 6D, New York, NY 10028",https://www.zillow.com/homedetails/515-E-85th-St-APT-6D-New-York-NY-10028/244856151_zpid/,"$710,000",Co-op for sale,1 bd,1 ba,770 sqft,"$696,367",Cooperative,1962,No Data,No Data,9 spaces,$922,,Great solar potentialSun Number™: 94.99,"$5,233","$2,754/mo",$0/mo,$521/mo,$249/mo,"$1,710/mo",Not included
"445 5th Ave # 22C, New York, NY 10016",https://www.zillow.com/homedetails/445-5th-Ave-22C-New-York-NY-10016/31505655_zpid/,"$1,450,000",Condo for sale,Studio,2 ba,"1,005 sqft","$1,386,029",Condo,1986,No Data,Central,Attached Garage,"$1,145/month","$1,443",Limited solar potentialSun Number™: 54.99,"$8,500","$5,784/mo",$0/mo,"$1,063/mo",$508/mo,"$1,145/mo",Not included
"303 E 57th St APT 6E, New York, NY 10022",https://www.zillow.com/homedetails/303-E-57th-St-APT-6E-New-York-NY-10022/244736049_zpid/,"$429,000",Co-op for sale,Studio,1 ba,878 sqft,"$416,440",Cooperative,1968,No Data,No Data,No Data,$489,,Great solar potentialSun Number™: 94.18,"$4,768","$1,757/mo",$0/mo,$315/mo,$150/mo,"$2,546/mo",Not included
"407 W 40th St APT 1B, New York, NY 10018",https://www.zillow.com/homedetails/407-W-40th-St-APT-1B-New-York-NY-10018/244752260_zpid/,"$549,000",Co-op for sale,1 bd,1 ba,"6,557 sqft","$538,856",Cooperative,1910,No Data,No Data,No Data,$84,,Great solar potentialSun Number™: 80.59,"$3,671","$2,249/mo",$0/mo,$403/mo,$192/mo,$828/mo,Not included
"13504 Hook Creek Blvd, Jamaica, NY 11422",https://www.zillow.com/homedetails/13504-Hook-Creek-Blvd-Jamaica-NY-11422/32206191_zpid/,"$450,000",House for sale,4 bds,2 ba,"1,166 sqft","$445,000",Single Family,1955,No Data,No Data,No Data,"4,321 sqft",$386,Great solar potentialSun Number™: 79.01,"$2,318","$1,846/mo",$0/mo,$315/mo,$158/mo,$0/mo,Not included
"1204 E 72nd St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1204-E-72nd-St-Brooklyn-NY-11234/30780406_zpid/,"Est. $758,776",Pre-foreclosure,1 bd,1 ba,"3,328 sqft","$2,400",Available now,Multi Family,Contact manager,Contact manager,Contact manager,No Data,Contact manager,Great solar potentialSun Number™: 91.05,,,,,,,
"1778 Topping Ave, Bronx, NY 10457",https://www.zillow.com/homedetails/1778-Topping-Ave-Bronx-NY-10457/29781708_zpid/,"$575,000",House for sale,6 bds,3 ba,"1,553 sqft","$551,291",Single Family,1899,No Data,No Data,Attached Garage,"2,326 sqft",$370,Limited solar potentialSun Number™: 40.58,"$2,887","$2,230/mo",$0/mo,$455/mo,$201/mo,$0/mo,Not included
"175 Lexington Ave, Staten Island, NY 10302",https://www.zillow.com/homedetails/175-Lexington-Ave-Staten-Island-NY-10302/32296954_zpid/,"$489,000",House for sale,3 bds,2 ba,"1,188 sqft","$470,506",Single Family,1925,Forced air,No Data,No Data,"2,935 sqft",$412,Limited solar potentialSun Number™: 48.62,"$2,531","$2,005/mo",$0/mo,$355/mo,$171/mo,$0/mo,Not included
"8617 91st St, Jamaica, NY 11421",https://www.zillow.com/homedetails/8617-91st-St-Jamaica-NY-11421/32106664_zpid/,"$998,000",Apartment for sale,7 bds,3 ba,"1,888 sqft","$954,745",Multi Family,1910,Other,No Data,No Data,$529,,Candidate for a community solar programSun Number™: 22.99,"$5,044","$3,996/mo",$0/mo,$699/mo,$349/mo,$0/mo,Not included
"240 58th Ave, Douglaston, NY 11362",https://www.zillow.com/homedetails/240-58th-Ave-Douglaston-NY-11362/2082100445_zpid/,"$1,180,000",Apartment for sale,5 bds,4 ba,-- sqft,"$1,114,694",Multi Family,1976,Other,No Data,No Data,No Data,,,"$5,964","$4,725/mo",$0/mo,$826/mo,$413/mo,$0/mo,Not included
"3461 Amboy Rd APT 4A, Staten Island, NY 10306",https://www.zillow.com/homedetails/3461-Amboy-Rd-APT-4A-Staten-Island-NY-10306/32341074_zpid/,"$575,000",Condo for sale,3 bds,3 ba,"1,700 sqft","$549,525",Condo,1984,Forced air,Central,No Data,No Data,$338,Great solar potentialSun Number™: 88.62,"$2,849","$2,230/mo",$0/mo,$417/mo,$201/mo,$0/mo,Not included
