Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"779 E 236th St, Bronx, NY 10466",https://www.zillow.com/homedetails/779-E-236th-St-Bronx-NY-10466/29838236_zpid/,"$549,000",For sale by owner,3 bds,2 ba,"2,518 sqft","$587,270",Single Family,1935,Other,Central,1 space,"3,040 sqft",$218,Great solar potentialSun Number™: 87.8,"$2,871","$2,244/mo",$0/mo,$435/mo,$192/mo,$0/mo,Not included
"85 Jay St # 11L-FRONT, Brooklyn, NY 11201",https://www.zillow.com/homedetails/85-Jay-St-11L-FRONT-Brooklyn-NY-11201/2082060009_zpid/,"$2,705,000",Condo for sale,3 bds,3 ba,"1,630 sqft",,Condo,No Data,No Data,Central,No Data,"$1,914/month","$1,660",,"$15,127","$10,801/mo",$0/mo,"$1,465/mo",$947/mo,"$1,914/mo",Not included
"12908 232nd St, Laurelton, NY 11413",https://www.zillow.com/homedetails/12908-232nd-St-Laurelton-NY-11413/32198872_zpid/,"$499,990",House for sale,3 bds,2 ba,"1,182 sqft","$515,220",Single Family,1950,Other,Central,No Data,"3,950 sqft",$423,Great solar potentialSun Number™: 95.01,"$2,569","$2,044/mo",$0/mo,$350/mo,$175/mo,$0/mo,Not included
"4017 150th St, Flushing, NY 11354",https://www.zillow.com/homedetails/4017-150th-St-Flushing-NY-11354/32038732_zpid/,"$1,450,000",House for sale,3 bds,2 ba,"1,000 sqft",,Single Family,1919,No Data,No Data,No Data,"2,500 sqft","$1,450",Limited solar potentialSun Number™: 56.6,"$7,312","$5,790/mo",$0/mo,"$1,015/mo",$508/mo,$0/mo,Not included
"6043 59th Dr, Flushing, NY 11378",https://www.zillow.com/homedetails/6043-59th-Dr-Flushing-NY-11378/31987296_zpid/,"$749,000",House for sale,3 bds,1 ba,"1,240 sqft","$653,514",Single Family,1915,Other,No Data,Attached Garage,"1,999 sqft",$604,Candidate for a community solar programSun Number™: 22.99,"$3,698","$2,912/mo",$0/mo,$524/mo,$262/mo,$0/mo,Not included
"11921 180th St, Jamaica, NY 11434",https://www.zillow.com/homedetails/11921-180th-St-Jamaica-NY-11434/32190883_zpid/,"$529,000",House for sale,4 bds,1 ba,"1,617 sqft","$461,840",Single Family,1940,Radiant,No Data,Attached Garage,"2,134 sqft",$327,,"$2,718","$2,163/mo",$0/mo,$370/mo,$185/mo,$0/mo,Not included
"87 Suydam St # MF, Brooklyn, NY 11221",https://www.zillow.com/homedetails/87-Suydam-St-MF-Brooklyn-NY-11221/2082060327_zpid/,"$1,600,000",Apartment for sale,12 bds,6 ba,-- sqft,,Multi Family,1931,No Data,No Data,No Data,No Data,,Candidate for a community solar programSun Number™: 23.05,"$7,815","$6,389/mo",$0/mo,$867/mo,$560/mo,$0/mo,Not included
"6910 108th St APT 3G, Forest Hills, NY 11375",https://www.zillow.com/homedetails/6910-108th-St-APT-3G-Forest-Hills-NY-11375/219853282_zpid/,"$339,000",Co-op for sale,1 bd,1 ba,750 sqft,"$339,834",Cooperative,1953,No Data,No Data,No Data,$452,,Great solar potentialSun Number™: 94.2,"$2,515","$1,386/mo",$0/mo,$237/mo,$119/mo,$773/mo,Not included
"153 86th St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/153-86th-St-Brooklyn-NY-11209/30699449_zpid/,"$2,200,000",House for sale,5 bds,5 ba,"3,050 sqft","$2,293,447",Single Family,1950,No Data,No Data,Attached Garage,"5,007 sqft",$721,Great solar potentialSun Number™: 86.2,"$10,746","$8,784/mo",$0/mo,"$1,192/mo",$770/mo,$0/mo,Not included
"61 E 77th St APT 8E, New York, NY 10075",https://www.zillow.com/homedetails/61-E-77th-St-APT-8E-New-York-NY-10075/124867950_zpid/,"$445,000",Co-op for sale,Studio,1 ba,-- sqft,"$432,349",Cooperative,1920,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 80.59,"$3,701","$1,819/mo",$0/mo,$326/mo,$156/mo,"$1,400/mo",Not included
"1800 Bussing Ave, Bronx, NY 10466",https://www.zillow.com/homedetails/1800-Bussing-Ave-Bronx-NY-10466/29837055_zpid/,"$760,000",Apartment for sale,6 bds,3 ba,"2,193 sqft",,Multi Family,1930,Radiant,No Data,Carport,$347,,Good solar potentialSun Number™: 66.2,"$3,822","$2,955/mo",$0/mo,$602/mo,$266/mo,$0/mo,Not included
"20 Elise Ct, Staten Island, NY 10306",https://www.zillow.com/homedetails/20-Elise-Ct-Staten-Island-NY-10306/32340421_zpid/,"$499,000",Townhouse for sale,3 bds,2 ba,"1,875 sqft",,Townhouse,1990,Forced air,Central,No Data,622 sqft,$266,,"$2,576","$2,040/mo",$0/mo,$362/mo,$175/mo,$0/mo,Not included
"49 Chambers St APT 6E, New York, NY 10007",https://www.zillow.com/homedetails/49-Chambers-St-APT-6E-New-York-NY-10007/2082060849_zpid/,"$4,500,000",Condo for sale,3 bds,4 ba,"2,975 sqft",,Condo,1910,No Data,No Data,No Data,No Data,"$1,513",,"$22,843","$17,968/mo",$0/mo,"$3,300/mo","$1,575/mo",$0/mo,Not included
"49 Chambers St APT 6B, New York, NY 10007",https://www.zillow.com/homedetails/49-Chambers-St-APT-6B-New-York-NY-10007/2082060850_zpid/,"$2,825,000",Condo for sale,2 bds,3 ba,"1,750 sqft",,Condo,1910,No Data,No Data,No Data,No Data,"$1,614",,"$14,340","$11,280/mo",$0/mo,"$2,072/mo",$989/mo,$0/mo,Not included
"68 South Ave, Staten Island, NY 10303",https://www.zillow.com/homedetails/68-South-Ave-Staten-Island-NY-10303/32300984_zpid/,"$449,000",Townhouse for sale,3 bds,4 ba,"1,080 sqft","$401,546",Townhouse,2003,Forced air,Central,No Data,"3,301 sqft",$416,Great solar potentialSun Number™: 86.22,"$2,318","$1,836/mo",$0/mo,$326/mo,$157/mo,$0/mo,Not included
"1106 E 94th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/1106-E-94th-St-Brooklyn-NY-11236/30773915_zpid/,"$600,000",Foreclosure,5 bds,3 ba,"1,932 sqft",,Multi Family,1925,No Data,No Data,No Data,$311,,Great solar potentialSun Number™: 71.05,"$2,868","$2,333/mo",$0/mo,$325/mo,$210/mo,$0/mo,Not included
"11529 227th St, Cambria Heights, NY 11411",https://www.zillow.com/homedetails/11529-227th-St-Cambria-Heights-NY-11411/2114246813_zpid/,"$515,000",House for sale,3 bds,2 ba,"1,500 sqft",,Single Family,1945,No Data,No Data,No Data,"2,600 sqft",$343,Great solar potentialSun Number™: 76.61,"$2,646","$2,105/mo",$0/mo,$361/mo,$180/mo,$0/mo,Not included
"840 New York Ave, Brooklyn, NY 11203",https://www.zillow.com/homedetails/840-New-York-Ave-Brooklyn-NY-11203/30658216_zpid/,"$849,000",House for sale,3 bds,1 ba,"1,496 sqft","$867,843",Single Family,1925,No Data,No Data,No Data,"2,674 sqft",$568,Great solar potentialSun Number™: 95.05,"$4,058","$3,301/mo",$0/mo,$460/mo,$297/mo,$0/mo,Not included
"14930 88th St APT 2L, Howard Beach, NY 11414",https://www.zillow.com/homedetails/14930-88th-St-APT-2L-Howard-Beach-NY-11414/2145997315_zpid/,"$409,888",Condo for sale,2 bds,2 ba,"1,100 sqft","$399,181",Condo,1963,Other,No Data,1 space,No Data,$373,Great solar potentialSun Number™: 88.59,"$2,106","$1,676/mo",$0/mo,$287/mo,$143/mo,$0/mo,Not included
"(undisclosed Address), Flushing, NY",https://www.zillow.com/homedetails/(undisclosed-Address)-Flushing-NY-11368/2082061017_zpid/,"$1,980,000",New construction,5 bds,5 ba,-- sqft,,Single Family,2019,No Data,No Data,No Data,"2,500 sqft",No Data,,"$9,985","$7,906/mo",$0/mo,"$1,386/mo",$693/mo,$0/mo,Not included
"10902 177th St # 1, Jamaica, NY 11433",https://www.zillow.com/homedetails/10902-177th-St-1-Jamaica-NY-11433/2083622003_zpid/,"$450,000",Townhouse for sale,3 bds,1 ba,"1,156 sqft",,Townhouse,1958,No Data,No Data,No Data,No Data,$389,,"$2,312","$1,840/mo",$0/mo,$315/mo,$158/mo,$0/mo,Not included
"1 E End Ave APT 10C, New York, NY 10075",https://www.zillow.com/homedetails/1-E-End-Ave-APT-10C-New-York-NY-10075/90133852_zpid/,"$3,400,000",Co-op for sale,3 bds,4 ba,-- sqft,"$3,731,295",Cooperative,1929,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 90.99,"$24,308","$13,576/mo",$0/mo,"$2,493/mo","$1,190/mo","$7,049/mo",Not included
"2 Sutton Pl S APT 16E, New York, NY 10022",https://www.zillow.com/homedetails/2-Sutton-Pl-S-APT-16E-New-York-NY-10022/123950271_zpid/,"$895,000",Co-op for sale,1 bd,1 ba,"1,100 sqft","$949,124",Cooperative,1938,No Data,No Data,No Data,$814,,Great solar potentialSun Number™: 94.19,"$7,256","$3,480/mo",$0/mo,$656/mo,$313/mo,"$2,807/mo",Not included
"148 W 23rd St APT 10J, New York, NY 10011",https://www.zillow.com/homedetails/148-W-23rd-St-APT-10J-New-York-NY-10011/244706286_zpid/,"$995,000",Co-op for sale,1 bd,1 ba,850 sqft,,Cooperative,1910,No Data,No Data,No Data,"$1,171",,Great solar potentialSun Number™: 94.99,"$7,144","$3,973/mo",$0/mo,$730/mo,$348/mo,"$2,093/mo",Not included
"73 Worth St # PHE, New York, NY 10013",https://www.zillow.com/homedetails/73-Worth-St-PHE-New-York-NY-10013/2082061035_zpid/,"$3,650,000",Condo for sale,4 bds,2 ba,"2,015 sqft",,Condo,1920,No Data,No Data,No Data,"$1,950/month","$1,811",,"$20,478","$14,574/mo",$0/mo,"$2,677/mo","$1,278/mo","$1,950/mo",Not included
"7 W 20th St FRNT 1, New York, NY 10011",https://www.zillow.com/homedetails/7-W-20th-St-FRNT-1-New-York-NY-10011/2082061034_zpid/,"$18,500,000",Apartment for sale,8 bds,8 ba,"9,225 sqft",,Multi Family,1920,No Data,No Data,No Data,"$2,005",,,"$93,910","$73,868/mo",$0/mo,"$13,567/mo","$6,475/mo",$0/mo,Not included
"6309 108th St APT 7P, Forest Hills, NY 11375",https://www.zillow.com/homedetails/6309-108th-St-APT-7P-Forest-Hills-NY-11375/245487375_zpid/,"$519,900",Co-op for sale,2 bds,1 ba,"1,000 sqft",,Cooperative,1956,No Data,No Data,No Data,$520,,Good solar potentialSun Number™: 68.6,"$3,536","$2,125/mo",$0/mo,$364/mo,$182/mo,$865/mo,Not included
"12119 153rd St, Jamaica, NY 11434",https://www.zillow.com/homedetails/12119-153rd-St-Jamaica-NY-11434/32187099_zpid/,"$549,900",House for sale,4 bds,1 ba,"1,042 sqft","$469,701",Single Family,1940,No Data,No Data,Attached Garage,"3,998 sqft",$528,Great solar potentialSun Number™: 80.61,"$2,826","$2,248/mo",$0/mo,$385/mo,$192/mo,$0/mo,Not included
"3108 89th St, East Elmhurst, NY 11369",https://www.zillow.com/homedetails/3108-89th-St-East-Elmhurst-NY-11369/143388133_zpid/,"$995,000",Apartment for sale,5 bds,2 ba,"2,142 sqft","$1,150,656",Multi Family,1940,No Data,No Data,Attached Garage,$465,,Great solar potentialSun Number™: 87,"$5,018","$3,973/mo",$0/mo,$697/mo,$348/mo,$0/mo,Not included
"368 Freeborn St, Staten Island, NY 10306",https://www.zillow.com/homedetails/368-Freeborn-St-Staten-Island-NY-10306/2082061209_zpid/,"$669,900",House for sale,3 bds,3 ba,"1,460 sqft",,Single Family,2019,Forced air,Central,Carport,"2,299 sqft",$459,,"$3,325","$2,605/mo",$0/mo,$486/mo,$234/mo,$0/mo,Not included
"1374 Dickens St, Far Rockaway, NY 11691",https://www.zillow.com/homedetails/1374-Dickens-St-Far-Rockaway-NY-11691/32221535_zpid/,"$615,000",House for sale,4 bds,4 ba,"1,565 sqft",,Single Family,1925,No Data,No Data,No Data,"3,750 sqft",$393,Great solar potentialSun Number™: 71.01,"$3,037","$2,391/mo",$0/mo,$431/mo,$215/mo,$0/mo,Not included
"2511 Tenbroeck Ave, Bronx, NY 10469",https://www.zillow.com/homedetails/2511-Tenbroeck-Ave-Bronx-NY-10469/29821258_zpid/,"$469,900",Townhouse for sale,2 bds,2 ba,"1,564 sqft","$518,737",Townhouse,1950,Baseboard,No Data,Attached Garage,"2,099 sqft",$300,Great solar potentialSun Number™: 87,"$2,458","$1,921/mo",$0/mo,$372/mo,$164/mo,$0/mo,Not included
"1250 Stadium Ave, Bronx, NY 10465",https://www.zillow.com/homedetails/1250-Stadium-Ave-Bronx-NY-10465/29843412_zpid/,"$1,250,000",House for sale,3 bds,3 ba,"2,056 sqft",,Single Family,1935,Forced air,Wall,Detached Garage,"8,537 sqft",$608,Great solar potentialSun Number™: 91,"$6,418","$4,991/mo",$0/mo,$990/mo,$438/mo,$0/mo,Not included
"7 Nightingale St, Staten Island, NY 10306",https://www.zillow.com/homedetails/7-Nightingale-St-Staten-Island-NY-10306/32295375_zpid/,"$649,900",House for sale,3 bds,2 ba,"1,204 sqft","$624,610",Single Family,1960,Gas,Central,Carport,"7,623 sqft",$540,Limited solar potentialSun Number™: 41.42,"$3,225","$2,527/mo",$0/mo,$471/mo,$227/mo,$0/mo,Not included
"12318 18th Ave, College Point, NY 11356",https://www.zillow.com/homedetails/12318-18th-Ave-College-Point-NY-11356/2104962313_zpid/,"$1,290,000",Apartment for sale,6 bds,4 ba,"5,000 sqft",,Multi Family,1966,Other,No Data,No Data,$258,,,"$13,005","$5,151/mo",$0/mo,$903/mo,$452/mo,"$6,500/mo",Not included
"370 Freeborn St, Staten Island, NY 10306",https://www.zillow.com/homedetails/370-Freeborn-St-Staten-Island-NY-10306/2082061906_zpid/,"$669,900",House for sale,3 bds,3 ba,"1,460 sqft",,Single Family,2019,Forced air,Central,1 space,"2,300 sqft",$459,,"$3,325","$2,605/mo",$0/mo,$486/mo,$234/mo,$0/mo,Not included
"14214 116th Ave, Jamaica, NY 11436",https://www.zillow.com/homedetails/14214-116th-Ave-Jamaica-NY-11436/32181796_zpid/,"$449,000",House for sale,3 bds,2 ba,882 sqft,"$465,471",Single Family,1930,Other,No Data,No Data,"1,842 sqft",$509,Candidate for a community solar programSun Number™: 23.01,"$2,307","$1,836/mo",$0/mo,$314/mo,$157/mo,$0/mo,Not included
"252 Beach 129 St # 4A, Belle Harbor, NY 11694",https://www.zillow.com/homedetails/252-Beach-129-St-4A-Belle-Harbor-NY-11694/2099610550_zpid/,"$279,000",Co-op for sale,1 bd,1 ba,-- sqft,,Cooperative,1960,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.2,"$1,434","$1,141/mo",$0/mo,$195/mo,$98/mo,$0/mo,Not included
"14720 32nd Ave, Flushing, NY 11354",https://www.zillow.com/homedetails/14720-32nd-Ave-Flushing-NY-11354/32033383_zpid/,"$1,388,000",House for sale,4 bds,2 ba,"1,000 sqft",,Single Family,1930,No Data,No Data,No Data,"4,107 sqft","$1,388",,"$7,000","$5,542/mo",$0/mo,$972/mo,$486/mo,$0/mo,Not included
"5 Ladd Ave, Staten Island, NY 10312",https://www.zillow.com/homedetails/5-Ladd-Ave-Staten-Island-NY-10312/58578506_zpid/,"$529,000",House for sale,3 bds,3 ba,"1,204 sqft","$548,977",Single Family,2001,Forced air,Central,No Data,"3,127 sqft",$439,Good solar potentialSun Number™: 69.42,"$2,731","$2,163/mo",$0/mo,$384/mo,$185/mo,$0/mo,Not included
"5 Ladd Ave, Staten Island, NY 10312",https://www.zillow.com/homedetails/5-Ladd-Ave-Staten-Island-NY-10312/58578506_zpid/,"$529,000",House for sale,3 bds,3 ba,"1,204 sqft","$548,977",Single Family,2001,Forced air,Central,No Data,"3,127 sqft",$439,Good solar potentialSun Number™: 69.42,"$2,731","$2,163/mo",$0/mo,$384/mo,$185/mo,$0/mo,Not included
"427 W 154th St APT 4C, New York, NY 10032",https://www.zillow.com/homedetails/427-W-154th-St-APT-4C-New-York-NY-10032/2082062029_zpid/,"$795,000",Condo for sale,2 bds,2 ba,856 sqft,,Condo,1985,No Data,No Data,No Data,$503/month,$929,,"$4,455","$3,091/mo",$0/mo,$583/mo,$278/mo,$503/mo,Not included
"2239 Bathgate Ave, Bronx, NY 10457",https://www.zillow.com/homedetails/2239-Bathgate-Ave-Bronx-NY-10457/29784393_zpid/,"$949,900",Apartment for sale,12 bds,3 ba,"3,618 sqft","$778,190",Multi Family,1901,No Data,No Data,No Data,$263,,Great solar potentialSun Number™: 70.2,"$4,877","$3,793/mo",$0/mo,$752/mo,$332/mo,$0/mo,Not included
"7 Fordham Hill Oval APT 16H, Bronx, NY 10468",https://www.zillow.com/homedetails/7-Fordham-Hill-Oval-APT-16H-Bronx-NY-10468/244433501_zpid/,"$167,000",Co-op for sale,1 bd,1 ba,765 sqft,,Cooperative,2007,No Data,No Data,162 spaces,$218,,Good solar potentialSun Number™: 69.38,"$1,784",$695/mo,$0/mo,$132/mo,$58/mo,$899/mo,Not included
"345 E 93rd St APT 18H, New York, NY 10128",https://www.zillow.com/homedetails/345-E-93rd-St-APT-18H-New-York-NY-10128/244824725_zpid/,"$610,000",Co-op for sale,1 bd,1 ba,782 sqft,"$601,288",Cooperative,1974,No Data,No Data,95 spaces,$780,,Great solar potentialSun Number™: 94.99,"$4,455","$2,372/mo",$0/mo,$447/mo,$214/mo,"$1,423/mo",Not included
"563 Van Siclen Avenue, Brooklyn, NY 11207",https://www.zillow.com/homedetails/563-Van-Siclen-Avenue-Brooklyn-NY-11207/2103289237_zpid/,"$650,000",Apartment for sale,Studio,1 ba,"2,700 sqft","$651,292",Multi Family,1901,No Data,No Data,No Data,$241,,Great solar potentialSun Number™: 89.39,"$3,107","$2,527/mo",$0/mo,$352/mo,$228/mo,$0/mo,Not included
"300 E 40th St APT 12E, New York, NY 10016",https://www.zillow.com/homedetails/300-E-40th-St-APT-12E-New-York-NY-10016/244803337_zpid/,"$725,000",Apartment for sale,1 bd,1 ba,650 sqft,"$755,338",Apartment,1967,No Data,Central,No Data,"$1,115",,Great solar potentialSun Number™: 94.99,"$4,706","$2,819/mo",$0/mo,$532/mo,$254/mo,"$1,102/mo",Not included
"273 Bay 19 St # A, Brooklyn, NY 11214",https://www.zillow.com/homedetails/273-Bay-19-St-A-Brooklyn-NY-11214/2088506967_zpid/,"$429,000",House for sale,2 bds,1 ba,800 sqft,,Single Family,2019,No Data,No Data,No Data,No Data,$536,,"$2,704","$1,754/mo",$0/mo,$232/mo,$150/mo,$568/mo,Not included
"9642 149th Ave, Jamaica, NY 11417",https://www.zillow.com/homedetails/9642-149th-Ave-Jamaica-NY-11417/32170536_zpid/,"$559,000",House for sale,3 bds,2 ba,"1,120 sqft","$538,729",Single Family,1950,No Data,No Data,Attached Garage,"3,358 sqft",$499,Good solar potentialSun Number™: 62.99,"$2,872","$2,285/mo",$0/mo,$391/mo,$196/mo,$0/mo,Not included
"163 Westervelt Ave, Staten Island, NY 10301",https://www.zillow.com/homedetails/163-Westervelt-Ave-Staten-Island-NY-10301/32270911_zpid/,"$539,000",House for sale,4 bds,2 ba,"1,288 sqft",,Single Family,1925,Forced air,No Data,No Data,"2,500 sqft",$418,Great solar potentialSun Number™: 70.2,"$2,783","$2,204/mo",$0/mo,$391/mo,$189/mo,$0/mo,Not included
"1712 Dekalb Ave, Brooklyn, NY 11237",https://www.zillow.com/homedetails/1712-Dekalb-Ave-Brooklyn-NY-11237/142876549_zpid/,"$975,000",Apartment for sale,3 bds,2 ba,"1,224 sqft","$904,410",Multi Family,1940,No Data,No Data,No Data,$797,,Great solar potentialSun Number™: 90.99,"$4,762","$3,893/mo",$0/mo,$528/mo,$341/mo,$0/mo,Not included
"3913 Avenue K, Brooklyn, NY 11210",https://www.zillow.com/homedetails/3913-Avenue-K-Brooklyn-NY-11210/30760415_zpid/,"$999,999",Apartment for sale,6 bds,4 ba,"2,200 sqft",,Multi Family,1945,No Data,No Data,Attached Garage,$455,,Great solar potentialSun Number™: 90.25,"$4,885","$3,993/mo",$0/mo,$542/mo,$350/mo,$0/mo,Not included
"8 Fordham Hill Oval APT 6D, Bronx, NY 10468",https://www.zillow.com/homedetails/8-Fordham-Hill-Oval-APT-6D-Bronx-NY-10468/244448521_zpid/,"$164,500",Co-op for sale,1 bd,1 ba,765 sqft,,Cooperative,2007,No Data,No Data,162 spaces,$215,,Great solar potentialSun Number™: 86.98,"$1,719",$684/mo,$0/mo,$130/mo,$58/mo,$847/mo,Not included
"4900 Blackstone Ave, Bronx, NY 10471",https://www.zillow.com/homedetails/4900-Blackstone-Ave-Bronx-NY-10471/29854471_zpid/,"$2,100,000",House for sale,5 bds,4 ba,"3,700 sqft","$1,843,896",Single Family,1981,No Data,No Data,No Data,"10,432 sqft",$568,Good solar potentialSun Number™: 65.38,"$10,783","$8,385/mo",$0/mo,"$1,663/mo",$735/mo,$0/mo,Not included
"65 Wieland Ave, Staten Island, NY 10309",https://www.zillow.com/homedetails/65-Wieland-Ave-Staten-Island-NY-10309/32370019_zpid/,"$1,499,000",House for sale,8 bds,5 ba,"3,000 sqft","$1,193,064",Single Family,1980,Forced air,Central,Attached Garage,"9,500 sqft",$500,Great solar potentialSun Number™: 84.62,"$7,597","$5,985/mo",$0/mo,"$1,087/mo",$525/mo,$0/mo,Not included
"440 Riverside Dr APT C, New York, NY 10027",https://www.zillow.com/homedetails/440-Riverside-Dr-APT-C-New-York-NY-10027/2118370104_zpid/,"$525,000",Co-op for sale,1 bd,1 ba,620 sqft,"$560,317",Cooperative,1910,Gas,No Data,Carport,$847,,,"$3,333","$2,146/mo",$0/mo,$385/mo,$184/mo,$618/mo,Not included
"243 W End Ave APT 1210, New York, NY 10023",https://www.zillow.com/homedetails/243-W-End-Ave-APT-1210-New-York-NY-10023/122062796_zpid/,"$425,000",Co-op for sale,Studio,1 ba,-- sqft,"$409,234",Cooperative,1925,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.99,"$3,122","$1,738/mo",$0/mo,$312/mo,$149/mo,$924/mo,Not included
"333 E 69th St APT 10H, New York, NY 10021",https://www.zillow.com/homedetails/333-E-69th-St-APT-10H-New-York-NY-10021/244728780_zpid/,"$1,685,000",Co-op for sale,3 bds,2 ba,"160,311 sqft",,Cooperative,1963,No Data,No Data,1 space,$11,,Great solar potentialSun Number™: 94.99,"$11,288","$6,728/mo",$0/mo,"$1,236/mo",$590/mo,"$2,735/mo",Not included
"1580 Amsterdam Ave APT 5, New York, NY 10031",https://www.zillow.com/homedetails/1580-Amsterdam-Ave-APT-5-New-York-NY-10031/249647736_zpid/,"$645,000",Co-op for sale,2 bds,2 ba,"1,200 sqft","$585,249",Cooperative,1905,No Data,No Data,No Data,$538,,,"$90,653","$2,508/mo",$0/mo,$473/mo,$226/mo,"$87,447/mo",Not included
"37 Marne Ave, Staten Island, NY 10312",https://www.zillow.com/homedetails/37-Marne-Ave-Staten-Island-NY-10312/32357277_zpid/,"$759,000",House for sale,4 bds,2 ba,"1,912 sqft","$643,390",Single Family,1989,Forced air,Central,"Off street, Attached Garage","2,500 sqft",$397,Great solar potentialSun Number™: 88.62,"$3,767","$2,951/mo",$0/mo,$550/mo,$266/mo,$0/mo,Not included
"6139 212th St, Bayside, NY 11364",https://www.zillow.com/homedetails/6139-212th-St-Bayside-NY-11364/2082064118_zpid/,"$979,000",House for sale,3 bds,2 ba,-- sqft,,Single Family,1940,Other,Central,No Data,"5,000 sqft",No Data,Candidate for a community solar programSun Number™: 23.01,"$4,937","$3,909/mo",$0/mo,$685/mo,$343/mo,$0/mo,Not included
"1524 Sheepshead Bay Rd APT 22C, Brooklyn, NY 11235",https://www.zillow.com/homedetails/1524-Sheepshead-Bay-Rd-APT-22C-Brooklyn-NY-11235/300075141_zpid/,"$890,000",Condo for sale,1 bd,1 ba,845 sqft,"$774,236",Condo,No Data,No Data,No Data,No Data,$550/month,"$1,053",,"$4,804","$3,460/mo",$0/mo,$482/mo,$312/mo,$550/mo,Not included
"1831 Stillwell Ave, Brooklyn, NY 11223",https://www.zillow.com/homedetails/1831-Stillwell-Ave-Brooklyn-NY-11223/30722506_zpid/,"$1,398,000",Apartment for sale,5 bds,4 ba,"2,520 sqft","$1,357,197",Multi Family,1920,No Data,No Data,No Data,$555,,Great solar potentialSun Number™: 80.65,"$6,829","$5,582/mo",$0/mo,$757/mo,$489/mo,$0/mo,Not included
"1475 E 10th St, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1475-E-10th-St-Brooklyn-NY-11230/30719113_zpid/,"$2,375,000",Apartment for sale,7 bds,5 ba,"4,000 sqft","$1,969,926",Multi Family,1930,No Data,No Data,"Attached Garage, Detached Garage",$594,,Great solar potentialSun Number™: 95.05,"$11,601","$9,483/mo",$0/mo,"$1,286/mo",$831/mo,$0/mo,Not included
"56 Marlborough Rd # A, Brooklyn, NY 11226",https://www.zillow.com/homedetails/56-Marlborough-Rd-A-Brooklyn-NY-11226/2082064158_zpid/,"$2,978,000",Townhouse for sale,4 bds,4 ba,"3,553 sqft",,Townhouse,1925,No Data,Central,No Data,No Data,$838,,"$14,546","$11,891/mo",$0/mo,"$1,613/mo","$1,042/mo",$0/mo,Not included
"4222 Ketcham St # D12/14, Elmhurst, NY 11373",https://www.zillow.com/homedetails/4222-Ketcham-St-D12-14-Elmhurst-NY-11373/2082064154_zpid/,"$675,000",Co-op for sale,2 bds,2 ba,"1,050 sqft",,Cooperative,1926,No Data,No Data,No Data,$643,,Good solar potentialSun Number™: 65.4,"$4,464","$2,624/mo",$0/mo,$473/mo,$236/mo,"$1,131/mo",Not included
"120 Riverside Blvd APT 12G, New York, NY 10069",https://www.zillow.com/homedetails/120-Riverside-Blvd-APT-12G-New-York-NY-10069/2082064155_zpid/,"$950,000",Condo for sale,1 bd,1 ba,720 sqft,,Condo,2004,No Data,No Data,No Data,$952/month,"$1,319",,"$5,774","$3,793/mo",$0/mo,$697/mo,$333/mo,$952/mo,Not included
"107 W 25th St APT 5A, New York, NY 10001",https://www.zillow.com/homedetails/107-W-25th-St-APT-5A-New-York-NY-10001/244893558_zpid/,"$1,595,000",Co-op for sale,2 bds,2 ba,"1,250 sqft","$2,242,886",Cooperative,1905,No Data,No Data,No Data,"$1,276",,Good solar potentialSun Number™: 68.59,"$10,147","$6,369/mo",$0/mo,"$1,170/mo",$558/mo,"$2,050/mo",Not included
"196 Powers St, Brooklyn, NY 11211",https://www.zillow.com/homedetails/196-Powers-St-Brooklyn-NY-11211/122026063_zpid/,"$1,750,000",Condo for sale,2 bds,2 ba,"1,465 sqft",,Condo,2016,No Data,Central,No Data,$340/month,"$1,195",Limited solar potentialSun Number™: 56.59,"$8,888","$6,988/mo",$0/mo,$948/mo,$613/mo,$340/mo,Not included
"212 E 77th St APT 4E, New York, NY 10075",https://www.zillow.com/homedetails/212-E-77th-St-APT-4E-New-York-NY-10075/244740841_zpid/,"$335,000",Co-op for sale,Studio,1 ba,"18,450 sqft","$351,431",Cooperative,1950,No Data,No Data,No Data,$18,,Great solar potentialSun Number™: 91.79,"$2,686","$1,370/mo",$0/mo,$246/mo,$117/mo,$954/mo,Not included
"130 Water St APT 12H, New York, NY 10005",https://www.zillow.com/homedetails/130-Water-St-APT-12H-New-York-NY-10005/2101958923_zpid/,"$820,000",Condo for sale,Studio,1 ba,800 sqft,,Condo,1956,Forced air,Central,No Data,$600/month,"$1,025",,"$4,676","$3,188/mo",$0/mo,$601/mo,$287/mo,$600/mo,Not included
