Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"1000 Biscayne Blvd UNIT 2102, Miami, FL 33132",https://www.zillow.com/homedetails/1000-Biscayne-Blvd-UNIT-2102-Miami-FL-33132/2082246475_zpid/,"$5,950,000",Condo for sale,"5,507 sqft",,Condo,2019,Forced air,Central,Attached Garage,"$4,700/month","$1,080",,"$35,555","$23,219/mo",$0/mo,"$5,553/mo","$2,083/mo","$4,700/mo",Not included
"3800 SW 69th Ave # 3800, Miami, FL 33155",https://www.zillow.com/homedetails/3800-SW-69th-Ave-3800-Miami-FL-33155/2082246855_zpid/,"$429,500",Condo for sale,"2,014 sqft","$413,409",Condo,2006,Forced air,Central,No Data,$200/month,$213,,"$2,353","$1,602/mo",$0/mo,$401/mo,$150/mo,$200/mo,Not included
"1010 SW 2nd Ave UNIT LPH03, Miami, FL 33130",https://www.zillow.com/homedetails/1010-SW-2nd-Ave-UNIT-LPH03-Miami-FL-33130/2082247181_zpid/,"$925,000",Condo for sale,"1,470 sqft","$877,657",Condo,2016,Forced air,Central,Attached Garage,No Data,$629,Good solar potentialSun Number™: 69.5,"$4,797","$3,610/mo",$0/mo,$863/mo,$324/mo,$0/mo,Not included
"88 SW 7th St APT 3401, Miami, FL 33130",https://www.zillow.com/homedetails/88-SW-7th-St-APT-3401-Miami-FL-33130/247679540_zpid/,"$1,295,000",Condo for sale,"1,267 sqft","$1,223,299",Condo,2016,No Data,Other,No Data,"$1,427/month","$1,022",Great solar potentialSun Number™: 93.5,"$8,142","$5,054/mo",$0/mo,"$1,209/mo",$453/mo,"$1,427/mo",Not included
"3401 NE 1st Ave # 2901, Miami, FL 33137",https://www.zillow.com/homedetails/3401-NE-1st-Ave-2901-Miami-FL-33137/249507366_zpid/,"$562,000",Condo for sale,835 sqft,,Condo,2018,Forced air,Central,1 space,No Data,$673,,"$2,817","$2,096/mo",$0/mo,$525/mo,$197/mo,$0/mo,Not included
"848 Brickell Key Dr APT 506, Miami, FL 33131",https://www.zillow.com/homedetails/848-Brickell-Key-Dr-APT-506-Miami-FL-33131/60794011_zpid/,"$1,650,000",Condo for sale,"2,293 sqft","$1,538,324",Condo,2001,Forced air,Central,2 spaces,$83/month,$720,Great solar potentialSun Number™: 94.3,"$8,639","$6,439/mo",$0/mo,"$1,540/mo",$578/mo,$83/mo,Not included
"3621 SW 5th Ter, Miami, FL 33135",https://www.zillow.com/homedetails/3621-SW-5th-Ter-Miami-FL-33135/43842068_zpid/,"$500,000",Apartment for sale,"3,308 sqft","$469,959",Multi Family,1951,Electric,Central,7 spaces,$151,,Great solar potentialSun Number™: 89.43,"$2,506","$1,865/mo",$0/mo,$467/mo,$175/mo,$0/mo,Not included
"1044 NW 65th St, Miami, FL 33150",https://www.zillow.com/homedetails/1044-NW-65th-St-Miami-FL-33150/43809798_zpid/,"$215,000",House for sale,912 sqft,"$210,500",Single Family,1948,No Data,Other,No Data,"5,301 sqft",$236,Great solar potentialSun Number™: 87.7,"$1,096",$820/mo,$0/mo,$201/mo,$75/mo,$0/mo,Not included
"2333 Brickell Ave APT 2406, Miami, FL 33129",https://www.zillow.com/homedetails/2333-Brickell-Ave-APT-2406-Miami-FL-33129/43867654_zpid/,"$560,000",Condo for sale,"1,460 sqft","$529,653",Condo,1974,Forced air,Central,1 space,$951/month,$384,Great solar potentialSun Number™: 93.5,"$3,758","$2,089/mo",$0/mo,$523/mo,$196/mo,$951/mo,Not included
"2710 SW 22nd Ave, Miami, FL 33133",https://www.zillow.com/homedetails/2710-SW-22nd-Ave-Miami-FL-33133/43855446_zpid/,"$840,000",House for sale,"3,100 sqft","$805,682",Single Family,1950,Forced air,"Central, Other","Off street, On street",0.26 acres,$271,Great solar potentialSun Number™: 89.43,"$4,356","$3,278/mo",$0/mo,$784/mo,$294/mo,$0/mo,Not included
