Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"102 SW 6th Ave APT 707, Miami, FL 33130",https://www.zillow.com/homedetails/102-SW-6th-Ave-APT-707-Miami-FL-33130/64684709_zpid/,"$249,000",Condo for sale,"1,032 sqft","$222,242",Condo,2005,Forced air,Central,2 spaces,$441/month,$241,Great solar potentialSun Number™: 91.02,"$1,708",$947/mo,$0/mo,$232/mo,$87/mo,$441/mo,Not included
"3590 Coral Way APT 711, Miami, FL 33145",https://www.zillow.com/homedetails/3590-Coral-Way-APT-711-Miami-FL-33145/70767031_zpid/,"$365,000",Condo for sale,"1,053 sqft",,Condo,2005,Forced air,Central,2 spaces,$324/month,$347,Great solar potentialSun Number™: 94.22,"$2,154","$1,361/mo",$0/mo,$341/mo,$128/mo,$324/mo,Not included
"999 SW 1st Ave APT 2203, Miami, FL 33130",https://www.zillow.com/homedetails/999-SW-1st-Ave-APT-2203-Miami-FL-33130/162032546_zpid/,"$410,000",For sale by owner,937 sqft,"$350,172",Condo,2015,No Data,No Data,Attached Garage,$541/month,$438,Great solar potentialSun Number™: 94.3,"$2,596","$1,529/mo",$0/mo,$383/mo,$144/mo,$541/mo,Not included
"1010 SW 2nd Ave UNIT 1403, Miami, FL 33130",https://www.zillow.com/homedetails/1010-SW-2nd-Ave-UNIT-1403-Miami-FL-33130/247701223_zpid/,"$550,000",Condo for sale,"1,273 sqft","$556,384",Condo,2016,Forced air,Central,No Data,$987/month,$432,Good solar potentialSun Number™: 69.5,"$3,744","$2,051/mo",$0/mo,$513/mo,$193/mo,$987/mo,Not included
"900 Biscayne Blvd APT 2709, Miami, FL 33132",https://www.zillow.com/homedetails/900-Biscayne-Blvd-APT-2709-Miami-FL-33132/92449963_zpid/,"$775,000",Condo for sale,"1,579 sqft","$852,929",Condo,2008,Forced air,Central,No Data,"$1,237/month",$491,Great solar potentialSun Number™: 94.3,"$5,252","$3,020/mo",$0/mo,$723/mo,$271/mo,"$1,237/mo",Not included
"680 NE 64th St APT A309, Miami, FL 33138",https://www.zillow.com/homedetails/680-NE-64th-St-APT-A309-Miami-FL-33138/64866583_zpid/,"$289,000",Condo for sale,990 sqft,,Condo,1972,Heat pump,Central,2 spaces,$559/month,$292,Great solar potentialSun Number™: 83,"$2,008","$1,078/mo",$0/mo,$270/mo,$101/mo,$559/mo,Not included
"601 NE 27th St APT 908, Miami, FL 33137",https://www.zillow.com/homedetails/601-NE-27th-St-APT-908-Miami-FL-33137/2096643136_zpid/,"$485,000",Condo for sale,"1,140 sqft","$484,407",Condo,2016,Forced air,Central,Attached Garage,$656/month,$425,Great solar potentialSun Number™: 93.4,"$3,087","$1,809/mo",$0/mo,$453/mo,$170/mo,$656/mo,Not included
"165 NW 68th Ter # A, Miami, FL",https://www.zillow.com/homedetails/165-NW-68th-Ter-A-Miami-FL-33150/2082060139_zpid/,"$379,000",New construction,-- sqft,,Townhouse,2019,Forced air,Central,2 spaces,No Data,No Data,,"$1,900","$1,413/mo",$0/mo,$354/mo,$133/mo,$0/mo,Not included
"169 NE 44th St, Miami, FL 33137",https://www.zillow.com/homedetails/169-NE-44th-St-Miami-FL-33137/80787075_zpid/,"Est. $982,751",Pre-foreclosure,"1,000 sqft","$4,499",Contact manager,Apartment,Wall,Forced air,"Cats, small dogs",4 spaces,In Unit,,,,,,,,
"68 SE 6th St APT 1609, Miami, FL 33131",https://www.zillow.com/homedetails/68-SE-6th-St-APT-1609-Miami-FL-33131/247650795_zpid/,"$840,000",Condo for sale,"1,370 sqft","$940,423",Condo,2016,Electric,Central,No Data,"$1,100/month",$613,Great solar potentialSun Number™: 89.5,"$5,451","$3,273/mo",$0/mo,$784/mo,$294/mo,"$1,100/mo",Not included
"1600 NE 1st Ave APT 2904, Miami, FL",https://www.zillow.com/homedetails/1600-NE-1st-Ave-APT-2904-Miami-FL-33132/2082060965_zpid/,"$400,000",New construction,582 sqft,,Condo,2018,Electric,Central,No Data,$371/month,$687,,"$2,376","$1,492/mo",$0/mo,$373/mo,$140/mo,$371/mo,Not included
"201 SW 17th Rd UNIT 311, Miami, FL 33129",https://www.zillow.com/homedetails/201-SW-17th-Rd-UNIT-311-Miami-FL-33129/247700713_zpid/,"$525,000",Condo for sale,746 sqft,,Condo,2016,Forced air,Central,1 space,$569/month,$704,Great solar potentialSun Number™: 87.9,"$3,201","$1,958/mo",$0/mo,$490/mo,$184/mo,$569/mo,Not included
"1000 SW 22nd Ave, Miami, FL 33135",https://www.zillow.com/homedetails/1000-SW-22nd-Ave-Miami-FL-33135/43850474_zpid/,"$599,000",Apartment for sale,"1,613 sqft",,Multi Family,1946,Forced air,Central,Carport,$371,,Great solar potentialSun Number™: 89.43,"$2,957","$2,188/mo",$0/mo,$559/mo,$210/mo,$0/mo,Not included
"1337 N Venetian Way, Miami Beach, FL 33139",https://www.zillow.com/homedetails/1337-N-Venetian-Way-Miami-Beach-FL-33139/43833715_zpid/,"$13,500,000",House for sale,"6,929 sqft",,Single Family,2007,"Electric, Gas",No Data,2 spaces,0.28 acres,"$1,948",Great solar potentialSun Number™: 75.1,"$69,931","$52,606/mo",$0/mo,"$12,600/mo","$4,725/mo",$0/mo,Not included
"1040 Biscayne Blvd APT 2202, Miami, FL 33132",https://www.zillow.com/homedetails/1040-Biscayne-Blvd-APT-2202-Miami-FL-33132/82414395_zpid/,"$849,000",Condo for sale,"1,802 sqft","$794,098",Condo,2007,Forced air,Central,Attached Garage,"$1,616/month",$471,Great solar potentialSun Number™: 94.3,"$6,014","$3,308/mo",$0/mo,$792/mo,$297/mo,"$1,616/mo",Not included
"1040 SW 22nd Ave, Miami, FL 33135",https://www.zillow.com/homedetails/1040-SW-22nd-Ave-Miami-FL-33135/43850476_zpid/,"$649,000",Apartment for sale,"2,378 sqft",,Multi Family,1938,Forced air,Central,No Data,$273,,Great solar potentialSun Number™: 94.23,"$3,362","$2,529/mo",$0/mo,$606/mo,$227/mo,$0/mo,Not included
"60 SW 13th St APT 3019, Miami, FL 33130",https://www.zillow.com/homedetails/60-SW-13th-St-APT-3019-Miami-FL-33130/92449626_zpid/,"$359,900",Condo for sale,"1,056 sqft","$307,795",Condo,2008,Forced air,Central,Attached Garage,$860/month,$341,Great solar potentialSun Number™: 93.5,"$2,664","$1,342/mo",$0/mo,$336/mo,$126/mo,$860/mo,Not included
"500 Brickell Ave APT 3308, Miami, FL 33131",https://www.zillow.com/homedetails/500-Brickell-Ave-APT-3308-Miami-FL-33131/92445203_zpid/,"$340,000",Condo for sale,738 sqft,"$279,162",Condo,2008,No Data,Other,Off street,$550/month,$461,Great solar potentialSun Number™: 94.3,"$2,254","$1,268/mo",$0/mo,$317/mo,$119/mo,$550/mo,Not included
"601 NE 27th St # 908, Miami, FL 33137",https://www.zillow.com/homedetails/601-NE-27th-St-908-Miami-FL-33137/247649563_zpid/,"$485,000",Condo for sale,"1,140 sqft","$540,232",Condo,2016,Forced air,Central,Detached Garage,$644/month,$425,Great solar potentialSun Number™: 93.4,"$3,075","$1,809/mo",$0/mo,$453/mo,$170/mo,$644/mo,Not included
"SW 1737 14th Ter, Miami, FL 33145",https://www.zillow.com/homedetails/SW-1737-14th-Ter-Miami-FL-33145/2082064681_zpid/,"$515,000",House for sale,-- sqft,,Single Family,1929,No Data,Central,No Data,"5,148 sqft",No Data,,"$2,582","$1,921/mo",$0/mo,$481/mo,$180/mo,$0/mo,Not included
"1750 N Bayshore Dr APT 3109, Miami, FL 33132",https://www.zillow.com/homedetails/1750-N-Bayshore-Dr-APT-3109-Miami-FL-33132/82411865_zpid/,"$290,000",Condo for sale,825 sqft,"$268,810",Condo,2008,Forced air,Central,2 spaces,$660/month,$352,Great solar potentialSun Number™: 94.3,"$2,114","$1,082/mo",$0/mo,$271/mo,$102/mo,$660/mo,Not included
"2101 Brickell Ave APT 1208, Miami, FL 33129",https://www.zillow.com/homedetails/2101-Brickell-Ave-APT-1208-Miami-FL-33129/64797805_zpid/,"$295,999",Condo for sale,791 sqft,"$305,033",Condo,2004,Forced air,Central,Detached Garage,$520/month,$374,Great solar potentialSun Number™: 89.5,"$2,004","$1,104/mo",$0/mo,$276/mo,$104/mo,$520/mo,Not included
"(undisclosed Address), Miami, FL 33137",https://www.zillow.com/homedetails/(undisclosed-Address)-Miami-FL-33137/2082065321_zpid/,"$249,999",Condo for sale,775 sqft,,Condo,2005,Forced air,Central,No Data,No Data,$323,,"$1,272",$951/mo,$0/mo,$233/mo,$87/mo,$0/mo,Not included
"2949 Coconut Ave # 3, Miami, FL 33133",https://www.zillow.com/homedetails/2949-Coconut-Ave-3-Miami-FL-33133/247703174_zpid/,"$819,000",Townhouse for sale,"1,846 sqft","$824,975",Townhouse,2016,Forced air,Central,2 spaces,No Data,$444,Great solar potentialSun Number™: 85.42,"$4,524","$3,191/mo",$0/mo,$764/mo,$287/mo,$282/mo,Not included
"489 NE 62nd St, Miami, FL 33138",https://www.zillow.com/homedetails/489-NE-62nd-St-Miami-FL-33138/43828916_zpid/,"$965,000",Apartment for sale,"1,958 sqft","$545,198",Multi Family,1939,Electric,No Data,No Data,$493,,Good solar potentialSun Number™: 65.4,"$4,999","$3,760/mo",$0/mo,$901/mo,$338/mo,$0/mo,Not included
"3122 NW 27th St, Miami, FL 33142",https://www.zillow.com/homedetails/3122-NW-27th-St-Miami-FL-33142/44162635_zpid/,"$500,000",For sale by owner,"2,500 sqft",,Multi Family,1936,Forced air,Central,3 spaces,$200,,Great solar potentialSun Number™: 88.5,"$2,506","$1,865/mo",$0/mo,$467/mo,$175/mo,$0/mo,Not included
"NE 321 26th # 708, Miami, FL",https://www.zillow.com/homedetails/NE-321-26th-708-Miami-FL-33137/2082067152_zpid/,"$280,000",New construction,-- sqft,,Condo,2019,No Data,Central,Attached Garage,No Data,No Data,,"$1,404","$1,044/mo",$0/mo,$261/mo,$98/mo,$0/mo,Not included
"SW 200 32nd Rd, Miami, FL 33129",https://www.zillow.com/homedetails/SW-200-32nd-Rd-Miami-FL-33129/2082067150_zpid/,"$1,599,000",House for sale,-- sqft,,Single Family,2017,No Data,Central,No Data,"6,085 sqft",No Data,,"$8,283","$6,231/mo",$0/mo,"$1,492/mo",$560/mo,$0/mo,Not included
"465 Brickell Ave APT 1601, Miami, FL 33131",https://www.zillow.com/homedetails/465-Brickell-Ave-APT-1601-Miami-FL-33131/90148353_zpid/,"$1,350,000",Condo for sale,"1,825 sqft",,Condo,2008,Forced air,Central,Off street,"$1,551/month",$740,Great solar potentialSun Number™: 94.3,"$8,544","$5,261/mo",$0/mo,"$1,260/mo",$473/mo,"$1,551/mo",Not included
"7731 NW 2nd Ave APT 2, Miami, FL 33150",https://www.zillow.com/homedetails/7731-NW-2nd-Ave-APT-2-Miami-FL-33150/2084401299_zpid/,"$1,410,000",Apartment for sale,"5,037 sqft",,Multi Family,1958,Forced air,Other,No Data,$280,,,"$7,304","$5,494/mo",$0/mo,"$1,316/mo",$494/mo,$0/mo,Not included
"3230 SW 64th Ave, Miami, FL 33155",https://www.zillow.com/homedetails/3230-SW-64th-Ave-Miami-FL-33155/44187643_zpid/,"$420,000",House for sale,"1,064 sqft","$406,038",Single Family,1953,Electric,Central,No Data,"7,501 sqft",$395,Great solar potentialSun Number™: 94.23,"$2,797","$1,566/mo",$0/mo,$392/mo,$147/mo,$692/mo,Not included
"7525 SW 28th Ter, Miami, FL 33155",https://www.zillow.com/homedetails/7525-SW-28th-Ter-Miami-FL-33155/44190461_zpid/,"$349,900",House for sale,"1,296 sqft","$340,811",Single Family,1952,Forced air,Central,No Data,"6,499 sqft",$270,Great solar potentialSun Number™: 93.34,"$2,446","$1,305/mo",$0/mo,$327/mo,$122/mo,$692/mo,Not included
"92 SW 3rd St APT 5111, Miami, FL 33130",https://www.zillow.com/homedetails/92-SW-3rd-St-APT-5111-Miami-FL-33130/113378029_zpid/,"$469,900",Condo for sale,"1,118 sqft","$439,583",Condo,2010,Forced air,Central,No Data,$750/month,$420,Great solar potentialSun Number™: 94.3,"$3,106","$1,752/mo",$0/mo,$439/mo,$164/mo,$750/mo,Not included
"3145 Jackson Ave # 3145, Miami, FL 33133",https://www.zillow.com/homedetails/3145-Jackson-Ave-3145-Miami-FL-33133/2084721748_zpid/,"$560,000",Townhouse for sale,"1,746 sqft","$519,831",Townhouse,1976,Forced air,Central,No Data,No Data,$321,,"$2,807","$2,089/mo",$0/mo,$523/mo,$196/mo,$0/mo,Not included
"31 SE 5th St APT 803, Miami, FL 33131",https://www.zillow.com/homedetails/31-SE-5th-St-APT-803-Miami-FL-33131/70775324_zpid/,"$275,000",Condo for sale,775 sqft,"$261,927",Condo,2006,Forced air,Central,Attached Garage,$562/month,$355,Great solar potentialSun Number™: 92.7,"$1,941","$1,026/mo",$0/mo,$257/mo,$96/mo,$562/mo,Not included
"1800 N Bayshore Dr APT 601, Miami, FL 33132",https://www.zillow.com/homedetails/1800-N-Bayshore-Dr-APT-601-Miami-FL-33132/82058513_zpid/,"$999,990",Condo for sale,"2,189 sqft","$946,239",Condo,2007,Forced air,Central,Attached Garage,"$1,092/month",$457,Great solar potentialSun Number™: 87.9,"$6,272","$3,897/mo",$0/mo,$933/mo,$350/mo,"$1,092/mo",Not included
"1654 Tigertail Ave, Miami, FL 33133",https://www.zillow.com/homedetails/1654-Tigertail-Ave-Miami-FL-33133/43853971_zpid/,"$1,195,000",House for sale,"2,257 sqft","$1,118,174",Single Family,1950,Forced air,Central,No Data,"7,875 sqft",$529,Great solar potentialSun Number™: 91.83,"$6,190","$4,657/mo",$0/mo,"$1,115/mo",$418/mo,$0/mo,Not included
"3160 NW 32nd St, Miami, FL 33142",https://www.zillow.com/homedetails/3160-NW-32nd-St-Miami-FL-33142/44163047_zpid/,"$269,000",House for sale,"1,277 sqft","$262,241",Single Family,1943,Forced air,Central,No Data,"6,451 sqft",$211,Great solar potentialSun Number™: 87.7,"$1,348","$1,003/mo",$0/mo,$251/mo,$94/mo,$0/mo,Not included
"1040 Biscayne Blvd APT 3105, Miami, FL 33132",https://www.zillow.com/homedetails/1040-Biscayne-Blvd-APT-3105-Miami-FL-33132/82413488_zpid/,"$338,000",Condo for sale,791 sqft,"$314,101",Condo,2007,Electric,No Data,No Data,$770/month,$427,Great solar potentialSun Number™: 94.3,"$2,464","$1,261/mo",$0/mo,$315/mo,$118/mo,$770/mo,Not included
"(undisclosed Address), Miami, FL 33155",https://www.zillow.com/homedetails/(undisclosed-Address)-Miami-FL-33155/2082076396_zpid/,"$415,000",House for sale,"1,752 sqft","$398,399",Single Family,1968,Electric,Central,4 spaces,"7,501 sqft",$237,,"$2,080","$1,548/mo",$0/mo,$387/mo,$145/mo,$0/mo,Not included
"117 NW 42nd Ave APT 1504, Miami, FL 33126",https://www.zillow.com/homedetails/117-NW-42nd-Ave-APT-1504-Miami-FL-33126/72568972_zpid/,"$265,000",Condo for sale,998 sqft,"$253,958",Condo,2006,Forced air,Central,"Carport, Off street",$409/month,$266,Great solar potentialSun Number™: 94.23,"$1,737",$988/mo,$0/mo,$247/mo,$93/mo,$409/mo,Not included
"1450 Brickell Bay Dr PH 2, Miami, FL 33131",https://www.zillow.com/homedetails/1450-Brickell-Bay-Dr-PH-2-Miami-FL-33131/2082078386_zpid/,"$875,000",Condo for sale,"2,080 sqft","$827,168",Condo,1977,Forced air,Central,No Data,No Data,$421,Great solar potentialSun Number™: 84.7,"$4,533","$3,410/mo",$0/mo,$817/mo,$306/mo,$0/mo,Not included
"3011 S Miami Ave, Miami, FL 33129",https://www.zillow.com/homedetails/3011-S-Miami-Ave-Miami-FL-33129/43866504_zpid/,"$2,000,000",House for sale,"2,467 sqft",,Single Family,1951,Forced air,Central,"Carport, Attached Garage",0.29 acres,$811,Great solar potentialSun Number™: 93.43,"$11,098","$7,793/mo",$0/mo,"$1,867/mo",$700/mo,$738/mo,Not included
"1312 SW 85th Ave, Miami, FL 33144",https://www.zillow.com/homedetails/1312-SW-85th-Ave-Miami-FL-33144/44183706_zpid/,"$489,000",House for sale,"2,440 sqft","$466,603",Single Family,1960,Forced air,Central,Attached Garage,"7,501 sqft",$200,Great solar potentialSun Number™: 86.14,"$2,451","$1,824/mo",$0/mo,$456/mo,$171/mo,$0/mo,Not included
"(undisclosed Address), Miami, FL 33131",https://www.zillow.com/homedetails/(undisclosed-Address)-Miami-FL-33131/2119333482_zpid/,"$409,000",Condo for sale,"1,167 sqft","$381,880",Condo,2008,Forced air,Central,No Data,$845/month,$350,,"$2,895","$1,525/mo",$0/mo,$382/mo,$143/mo,$845/mo,Not included
"488 NE 18th St UNIT 3902, Miami, FL",https://www.zillow.com/homedetails/488-NE-18th-St-UNIT-3902-Miami-FL-33132/2082561175_zpid/,"$399,900",New construction,794 sqft,"$380,666",Condo,2018,Forced air,Central,1 space,$560/month,$504,,"$2,565","$1,491/mo",$0/mo,$373/mo,$140/mo,$560/mo,Not included
"3850 Poinciana Ave, Coconut Grove, FL 33133",https://www.zillow.com/homedetails/3850-Poinciana-Ave-Coconut-Grove-FL-33133/2143181273_zpid/,"$1,400,000",House for sale,"2,583 sqft","$1,315,170",Single Family,1979,No Data,Central,Off street,0.28 acres,$542,Good solar potentialSun Number™: 64.62,"$7,252","$5,455/mo",$0/mo,"$1,307/mo",$490/mo,$0/mo,Not included
"32 NW 32nd Pl, Miami, FL 33125",https://www.zillow.com/homedetails/32-NW-32nd-Pl-Miami-FL-33125/43841542_zpid/,"$211,000",Foreclosure,"1,701 sqft","$352,785",Multi Family,1949,No Data,Other,1 space,$124,,Great solar potentialSun Number™: 94.23,"$1,074",$803/mo,$0/mo,$197/mo,$74/mo,$0/mo,Not included
"1611 NW 53rd St, Miami, FL",https://www.zillow.com/homedetails/1611-NW-53rd-St-Miami-FL-33142/43810822_zpid/,"$310,000",New construction,"1,612 sqft","$299,122",Single Family,2019,Forced air,Central,"Off street, Attached Garage","5,501 sqft",$192,Great solar potentialSun Number™: 86.1,"$1,554","$1,156/mo",$0/mo,$289/mo,$109/mo,$0/mo,Not included
"1800 N Bayshore Dr APT 3802, Miami, FL 33132",https://www.zillow.com/homedetails/1800-N-Bayshore-Dr-APT-3802-Miami-FL-33132/82059170_zpid/,"$275,000",Condo for sale,841 sqft,"$262,888",Condo,2007,No Data,Central,1 space,$420/month,$327,Great solar potentialSun Number™: 87.9,"$1,799","$1,026/mo",$0/mo,$257/mo,$96/mo,$420/mo,Not included
"3541 E Glencoe St, Miami, FL 33133",https://www.zillow.com/homedetails/3541-E-Glencoe-St-Miami-FL-33133/43853909_zpid/,"$1,850,000",House for sale,"4,113 sqft","$1,720,793",Single Family,2005,Forced air,Central,"Carport, Off street","4,800 sqft",$450,Great solar potentialSun Number™: 93.43,"$9,583","$7,209/mo",$0/mo,"$1,727/mo",$648/mo,$0/mo,Not included
"6405 SW 31st St, Miami, FL 33155",https://www.zillow.com/homedetails/6405-SW-31st-St-Miami-FL-33155/44187493_zpid/,"$439,000",House for sale,"2,226 sqft",,Single Family,1961,Electric,No Data,No Data,"7,501 sqft",$197,Great solar potentialSun Number™: 94.23,"$2,893","$1,637/mo",$0/mo,$410/mo,$154/mo,$692/mo,Not included
"92 SW 3rd St APT 505, Miami, FL 33130",https://www.zillow.com/homedetails/92-SW-3rd-St-APT-505-Miami-FL-33130/113378072_zpid/,"$649,900",Condo for sale,"1,683 sqft","$609,281",Condo,2010,Forced air,Central,1 space,"$1,118/month",$386,Great solar potentialSun Number™: 94.3,"$4,485","$2,532/mo",$0/mo,$607/mo,$227/mo,"$1,118/mo",Not included
"3160 NW 28th St, Miami, FL 33142",https://www.zillow.com/homedetails/3160-NW-28th-St-Miami-FL-33142/156164454_zpid/,"$499,000",Apartment for sale,-- sqft,"$474,776",Multi Family,1999,Electric,Central,No Data,No Data,,Great solar potentialSun Number™: 94.1,"$2,501","$1,861/mo",$0/mo,$466/mo,$175/mo,$0/mo,Not included
"3146 NW 28th St, Miami, FL 33142",https://www.zillow.com/homedetails/3146-NW-28th-St-Miami-FL-33142/125809019_zpid/,"$475,000",Apartment for sale,"2,006 sqft","$457,727",Multi Family,2015,Electric,Central,No Data,$237,,Great solar potentialSun Number™: 94.1,"$2,381","$1,772/mo",$0/mo,$443/mo,$166/mo,$0/mo,Not included
"1814 S Bayshore Ln, Miami, FL 33133",https://www.zillow.com/homedetails/1814-S-Bayshore-Ln-Miami-FL-33133/43856117_zpid/,"$5,195,000",House for sale,"5,256 sqft",,Single Family,1952,Forced air,Central,2 spaces,"7,379 sqft",$988,Great solar potentialSun Number™: 91.83,"$26,911","$20,244/mo",$0/mo,"$4,849/mo","$1,818/mo",$0/mo,Not included
"2530 SW 3rd Ave APT 102, Miami, FL 33129",https://www.zillow.com/homedetails/2530-SW-3rd-Ave-APT-102-Miami-FL-33129/43867263_zpid/,"$239,000",For sale by owner,875 sqft,"$219,140",Condo,1973,Forced air,Central,1 space,$363/month,$273,Great solar potentialSun Number™: 73.43,"$1,579",$909/mo,$0/mo,$223/mo,$84/mo,$363/mo,Not included
"1100 S Miami Ave APT 2707, Miami, FL 33130",https://www.zillow.com/homedetails/1100-S-Miami-Ave-APT-2707-Miami-FL-33130/121344620_zpid/,"$375,000",Condo for sale,910 sqft,"$353,996",Condo,2015,Forced air,Central,Attached Garage,$580/month,$412,Great solar potentialSun Number™: 91.1,"$2,460","$1,399/mo",$0/mo,$350/mo,$131/mo,$580/mo,Not included
"650 NE 32nd St UNIT 1708, Miami, FL 33137",https://www.zillow.com/homedetails/650-NE-32nd-St-UNIT-1708-Miami-FL-33137/248839405_zpid/,"$490,000",Condo for sale,706 sqft,"$457,269",Condo,2018,Forced air,Central,No Data,$448/month,$694,Great solar potentialSun Number™: 94.2,"$2,904","$1,827/mo",$0/mo,$457/mo,$172/mo,$448/mo,Not included
"3172 Matilda St # 3172, Miami, FL 33133",https://www.zillow.com/homedetails/3172-Matilda-St-3172-Miami-FL-33133/2082086126_zpid/,"$750,000",Townhouse for sale,"2,353 sqft","$717,575",Townhouse,2008,No Data,Central,Off street,"2,353 sqft",$319,,"$4,235","$2,923/mo",$0/mo,$700/mo,$263/mo,$350/mo,Not included
"31 SE 5th St APT 2706, Miami, FL 33131",https://www.zillow.com/homedetails/31-SE-5th-St-APT-2706-Miami-FL-33131/70775415_zpid/,"$340,000",Condo for sale,902 sqft,,Condo,2006,Forced air,Central,Off street,$660/month,$377,Great solar potentialSun Number™: 92.7,"$2,364","$1,268/mo",$0/mo,$317/mo,$119/mo,$660/mo,Not included
"1340 NW 60th St, Miami, FL 33142",https://www.zillow.com/homedetails/1340-NW-60th-St-Miami-FL-33142/43810082_zpid/,"$350,000",Apartment for sale,"1,260 sqft","$337,291",Multi Family,1961,Forced air,Central,No Data,$278,,Great solar potentialSun Number™: 86.1,"$1,754","$1,305/mo",$0/mo,$327/mo,$123/mo,$0/mo,Not included
"650 NE 32nd St UNIT 3508, Miami, FL 33137",https://www.zillow.com/homedetails/650-NE-32nd-St-UNIT-3508-Miami-FL-33137/248839409_zpid/,"$549,000",Condo for sale,706 sqft,"$511,137",Condo,2018,Forced air,Central,No Data,$448/month,$778,Great solar potentialSun Number™: 94.2,"$3,200","$2,047/mo",$0/mo,$512/mo,$192/mo,$448/mo,Not included
"488 NE 18th St UNIT 3404, Miami, FL 33132",https://www.zillow.com/homedetails/488-NE-18th-St-UNIT-3404-Miami-FL-33132/2088113103_zpid/,"$589,900",Condo for sale,758 sqft,"$553,130",Condo,2018,Forced air,Central,1 space,$484/month,$778,,"$3,396","$2,155/mo",$0/mo,$551/mo,$206/mo,$484/mo,Not included
"2929 SW 19th St, Miami, FL 33145",https://www.zillow.com/homedetails/2929-SW-19th-St-Miami-FL-33145/43848710_zpid/,"$550,000",House for sale,"1,868 sqft","$526,571",Single Family,1979,Forced air,Central,3 spaces,"7,200 sqft",$294,Great solar potentialSun Number™: 94.23,"$2,757","$2,051/mo",$0/mo,$513/mo,$193/mo,$0/mo,Not included
"(undisclosed Address), Miami, FL 33130",https://www.zillow.com/homedetails/(undisclosed-Address)-Miami-FL-33130/2118330587_zpid/,"$498,000",Condo for sale,"1,462 sqft","$470,888",Condo,2008,Forced air,Central,2 spaces,"$1,077/month",$341,,"$3,573","$1,857/mo",$0/mo,$465/mo,$174/mo,"$1,077/mo",Not included
"888 Brickell Key Dr APT 2608, Miami, FL 33131",https://www.zillow.com/homedetails/888-Brickell-Key-Dr-APT-2608-Miami-FL-33131/43873354_zpid/,"$780,000",Condo for sale,"1,640 sqft","$729,677",Condo,1995,Electric,Central,1 space,"$1,062/month",$476,Great solar potentialSun Number™: 92.7,"$5,102","$3,039/mo",$0/mo,$728/mo,$273/mo,"$1,062/mo",Not included
"2630 Natoma St, Miami, FL 33133",https://www.zillow.com/homedetails/2630-Natoma-St-Miami-FL-33133/2100784900_zpid/,"$1,899,000",Apartment for sale,"5,029 sqft","$1,794,604",Multi Family,1925,Forced air,Central,2 spaces,$378,,Great solar potentialSun Number™: 86.23,"$9,837","$7,400/mo",$0/mo,"$1,772/mo",$665/mo,$0/mo,Not included
"643 SW 11th St APT 10W, Miami, FL 33129",https://www.zillow.com/homedetails/643-SW-11th-St-APT-10W-Miami-FL-33129/2082088120_zpid/,"$152,500",Condo for sale,570 sqft,"$143,163",Condo,1949,No Data,Other,No Data,$206/month,$268,,$982,$580/mo,$0/mo,$142/mo,$53/mo,$206/mo,Not included
"1334 NW 58th Ter, Miami, FL 33142",https://www.zillow.com/homedetails/1334-NW-58th-Ter-Miami-FL-33142/43810119_zpid/,"$260,000",House for sale,"1,134 sqft","$250,315",Single Family,1940,Forced air,Central,No Data,"5,301 sqft",$229,Great solar potentialSun Number™: 94.1,"$1,303",$970/mo,$0/mo,$243/mo,$91/mo,$0/mo,Not included
"1010 Brickell Ave UNIT 2402, Miami, FL 33131",https://www.zillow.com/homedetails/1010-Brickell-Ave-UNIT-2402-Miami-FL-33131/247652411_zpid/,"$815,000",Condo for sale,"1,314 sqft","$769,321",Condo,2017,Forced air,Central,No Data,$935/month,$620,Great solar potentialSun Number™: 94.3,"$5,157","$3,176/mo",$0/mo,$761/mo,$285/mo,$935/mo,Not included
"505 NE 30th St APT 606, Miami, FL 33137",https://www.zillow.com/homedetails/505-NE-30th-St-APT-606-Miami-FL-33137/43831667_zpid/,"$229,000",Condo for sale,760 sqft,"$220,016",Condo,1970,Other,"Central, Wall","Carport, Attached Garage",$410/month,$301,Great solar potentialSun Number™: 86.2,"$1,575",$871/mo,$0/mo,$214/mo,$80/mo,$410/mo,Not included
"2333 Brickell Ave APT 202, Miami, FL 33129",https://www.zillow.com/homedetails/2333-Brickell-Ave-APT-202-Miami-FL-33129/43867315_zpid/,"$1,499,000",Condo for sale,"2,984 sqft","$1,416,076",Condo,1974,Forced air,Central,Attached Garage,"$1,586/month",$502,Great solar potentialSun Number™: 93.5,"$9,351","$5,841/mo",$0/mo,"$1,399/mo",$525/mo,"$1,586/mo",Not included
"851 NE 1st Ave # 3905, Miami, FL 33132",https://www.zillow.com/homedetails/851-NE-1st-Ave-3905-Miami-FL-33132/2082089240_zpid/,"$1,290,000",Condo for sale,-- sqft,"$1,199,869",Condo,2019,Forced air,Central,No Data,No Data,No Data,,"$6,682","$5,027/mo",$0/mo,"$1,204/mo",$452/mo,$0/mo,Not included
