Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"2194 Edison Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2194-Edison-Ave-NE-Atlanta-GA-30305/35897155_zpid/,"$1,200,000",For sale by owner,6 bds,6 ba,"4,000 sqft","$1,241,871",Single Family,2007,"Forced air, Other",Central,2 spaces,"10,019 sqft",$300,Candidate for a community solar programSun Number™: 20.21,"$6,174",$0/mo,"$4,684/mo","$1,070/mo",$420/mo,$0/mo,Not included
"71 Vannoy St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/71-Vannoy-St-SE-Atlanta-GA-30317/14467928_zpid/,"$415,000",House for sale,3 bds,2 ba,"1,195 sqft","$393,461",Single Family,1925,Forced air,Central,4 spaces,"8,712 sqft",$347,"{""targetDiv"":""gpt-ad-6eca065a-4536-4013-87e4-d2f0512c445a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""71 Vannoy St SE"",""bd"":""3"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""14467928"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_agent"",""zguidh"":""377625618353727745"",""sqftrange"":""1000-1499"",""price"":""415000"",""oh"":""yes"",""sqft"":""1195"",""posting_url"":"""",""mlong"":""-84.346703"",""state"":""GA"",""prange"":""400-449k"",""zip"":""30317"",""mlat"":""33.751585"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jjqkpkpxem31000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""hood"":""Edgewood"",""yrblt"":""1920-1939"",""zestimate"":""393461"",""premieragent"":""no""}}","$2,052",$0/mo,"$1,523/mo",$384/mo,$145/mo,$0/mo,Not included
"1531 Centra Villa Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1531-Centra-Villa-Dr-SW-Atlanta-GA-30311/35853656_zpid/,"$315,000",House for sale,4 bds,2 ba,"1,848 sqft","$301,874",Single Family,1955,Forced air,Central,No Data,0.44 acres,$170,Candidate for a community solar programSun Number™: 37.02,"$1,547",$0/mo,"$1,156/mo",$281/mo,$110/mo,$0/mo,Not included
"620 Peachtree St NE APT 701, Atlanta, GA 30308",https://www.zillow.com/homedetails/620-Peachtree-St-NE-APT-701-Atlanta-GA-30308/55016547_zpid/,"$144,900",Condo for sale,1 bd,1 ba,655 sqft,"$141,399",Condo,1965,Forced air,Central,1 space,$501/month,$221,,"$1,239",$0/mo,$558/mo,$129/mo,$51/mo,$501/mo,Not included
"410 Darkwater Ct SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/410-Darkwater-Ct-SW-Atlanta-GA-30331/82614394_zpid/,"$267,990",House for sale,5 bds,4 ba,"4,292 sqft","$261,571",Single Family,2006,Forced air,"Central, Other",2 spaces,0.26 acres,$62,Great solar potentialSun Number™: 77.02,"$1,357",$0/mo,$984/mo,$239/mo,$94/mo,$41/mo,Not included
"1455 Lanier Pl NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1455-Lanier-Pl-NE-Atlanta-GA-30306/35918401_zpid/,"$675,000",House for sale,4 bds,2 ba,"1,394 sqft","$665,000",Single Family,1945,Forced air,Central,3 spaces,0.29 acres,$484,Candidate for a community solar programSun Number™: 20.23,"$3,473",$0/mo,"$2,635/mo",$602/mo,$236/mo,$0/mo,Not included
"241 Woodstone Ct, Atlanta, GA",https://www.zillow.com/homedetails/241-Woodstone-Ct-Atlanta-GA-30331/2082112784_zpid/,"$346,025",New construction,4 bds,4 ba,"3,138 sqft","$331,283",Single Family,2019,Forced air,Central,Attached Garage,No Data,$110,,"$1,737",$0/mo,"$1,270/mo",$309/mo,$121/mo,$37/mo,Not included
"310 Pineland Rd NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/310-Pineland-Rd-NW-Atlanta-GA-30342/35907022_zpid/,"$5,600,000",House for sale,5 bds,6 ba,"6,034 sqft","$5,345,018",Single Family,2015,Forced air,Central,6 spaces,1.17 acres,$928,Candidate for a community solar programSun Number™: 20.21,"$28,812",$0/mo,"$21,858/mo","$4,993/mo","$1,960/mo",$0/mo,Not included
"478 Hamilton St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/478-Hamilton-St-SE-Atlanta-GA-30316/69365676_zpid/,"$799,000",House for sale,4 bds,4 ba,"3,232 sqft","$781,322",Single Family,2005,Forced air,Central,4 spaces,"3,920 sqft",$247,Great solar potentialSun Number™: 92.23,"$4,252",$0/mo,"$3,119/mo",$712/mo,$280/mo,$141/mo,Not included
"2631 W Wesley Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2631-W-Wesley-Rd-NW-Atlanta-GA-30327/35921932_zpid/,"$1,198,000",House for sale,5 bds,5 ba,"5,105 sqft","$1,140,335",Single Family,1959,Forced air,Central,2 spaces,2.17 acres,$235,Candidate for a community solar programSun Number™: 20.21,"$6,164",$0/mo,"$4,676/mo","$1,068/mo",$419/mo,$0/mo,Not included
"553 Loridans Dr NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/553-Loridans-Dr-NE-Atlanta-GA-30342/35934204_zpid/,"$1,749,000",For sale by owner,5 bds,6 ba,"5,000 sqft","$1,469,444",Single Family,2019,Other,Central,3 spaces,0.58 acres,$350,Candidate for a community solar programSun Number™: 20.21,"$8,998",$0/mo,"$6,827/mo","$1,560/mo",$612/mo,$0/mo,Not included
"1973 Cummings Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1973-Cummings-Dr-SW-Atlanta-GA-30311/35854100_zpid/,"$179,900",House for sale,3 bds,2 ba,"1,210 sqft","$176,240",Single Family,1955,"Forced air, Heat pump",Central,No Data,0.28 acres,$149,Candidate for a community solar programSun Number™: 39.42,$916,$0/mo,$692/mo,$160/mo,$63/mo,$0/mo,Not included
"3630 Peachtree Rd NE UNIT 3302, Atlanta, GA 30326",https://www.zillow.com/homedetails/3630-Peachtree-Rd-NE-UNIT-3302-Atlanta-GA-30326/112433002_zpid/,"$3,875,000",Condo for sale,4 bds,4 ba,"4,500 sqft","$3,727,754",Condo,2010,Forced air,Central,3 spaces,"$3,568/month",$861,,"$23,505",$0/mo,"$15,125/mo","$3,455/mo","$1,356/mo","$3,568/mo",Not included
"485 Hillside Dr NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/485-Hillside-Dr-NW-Atlanta-GA-30342/35907031_zpid/,"$1,150,000",House for sale,5 bds,5 ba,"4,399 sqft","$1,094,553",Single Family,1955,Forced air,Central,3 spaces,1.03 acres,$261,Candidate for a community solar programSun Number™: 20.21,"$5,917",$0/mo,"$4,489/mo","$1,025/mo",$403/mo,$0/mo,Not included
"4580 Regency Trce SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/4580-Regency-Trce-SW-Atlanta-GA-30331/65450695_zpid/,"$424,700",House for sale,5 bds,5 ba,"3,252 sqft","$423,007",Single Family,2003,Forced air,Central,No Data,0.48 acres,$131,Great solar potentialSun Number™: 92.21,"$2,194",$0/mo,"$1,559/mo",$379/mo,$149/mo,$108/mo,Not included
"1057 Ferncliff Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1057-Ferncliff-Rd-NE-Atlanta-GA-30324/35938490_zpid/,"$615,000",House for sale,3 bds,2 ba,"1,336 sqft","$587,185",Single Family,1954,Other,Central,2 spaces,1.15 acres,$460,Limited solar potentialSun Number™: 55.41,"$3,164",$0/mo,"$2,401/mo",$548/mo,$215/mo,$0/mo,Not included
"544 Montgomery Ferry Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/544-Montgomery-Ferry-Rd-NE-Atlanta-GA-30324/35931932_zpid/,"$640,000",House for sale,3 bds,2 ba,"1,780 sqft","$625,972",Single Family,1935,Forced air,Central,2 spaces,0.26 acres,$360,Great solar potentialSun Number™: 75.41,"$3,293",$0/mo,"$2,498/mo",$571/mo,$224/mo,$0/mo,Not included
"2772 Jacanar Ln SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2772-Jacanar-Ln-SW-Atlanta-GA-30331/171497873_zpid/,"$675,000",House for sale,8 bds,5 ba,"5,036 sqft","$664,609",Single Family,2018,Forced air,Central,Attached Garage,0.47 acres,$134,Great solar potentialSun Number™: 91.43,"$3,485",$0/mo,"$2,635/mo",$602/mo,$236/mo,$12/mo,Not included
"2166 Wingate St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/2166-Wingate-St-SW-Atlanta-GA-30310/35857675_zpid/,"$83,900",House for sale,3 bds,2 ba,588 sqft,,Single Family,1945,Forced air,Central,No Data,"9,975 sqft",$143,Candidate for a community solar programSun Number™: 20.22,$449,$0/mo,$345/mo,$75/mo,$29/mo,$0/mo,Not included
"591 Woodlawn Ave NW, Atlanta, GA",https://www.zillow.com/homedetails/591-Woodlawn-Ave-NW-Atlanta-GA-30318/35845070_zpid/,"$215,000",New construction,3 bds,2 ba,"1,200 sqft","$207,181",Single Family,2019,None,Central,3 spaces,"5,349 sqft",$179,Candidate for a community solar programSun Number™: 20.22,"$1,094",$0/mo,$828/mo,$192/mo,$75/mo,$0/mo,Not included
"2060 Meador Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/2060-Meador-Ave-SE-Atlanta-GA-30315/35883744_zpid/,"$245,000",House for sale,3 bds,2 ba,"1,455 sqft","$244,084",Single Family,1955,Forced air,Central,4 spaces,0.4 acres,$168,Candidate for a community solar programSun Number™: 20.22,"$1,247",$0/mo,$943/mo,$218/mo,$86/mo,$0/mo,Not included
"1374 W Wesley Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1374-W-Wesley-Rd-NW-Atlanta-GA-30327/35917497_zpid/,"$949,000",House for sale,5 bds,7 ba,"3,840 sqft",,Single Family,1969,Forced air,Central,5 spaces,0.6 acres,$247,Candidate for a community solar programSun Number™: 20.21,"$4,883",$0/mo,"$3,704/mo",$846/mo,$332/mo,$0/mo,Not included
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308",https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1301-Atlanta-GA-30308/2127972341_zpid/,"$859,900",Condo for sale,3 bds,3 ba,"1,875 sqft","$837,709",Condo,2005,No Data,Central,3 spaces,No Data,$459,,"$4,424",$0/mo,"$3,356/mo",$767/mo,$301/mo,$0/mo,Not included
"538 Bismark Rd NE # 48, Atlanta, GA 30324",https://www.zillow.com/homedetails/538-Bismark-Rd-NE-48-Atlanta-GA-30324/2093614722_zpid/,"$485,000",Townhouse for sale,3 bds,3 ba,"1,789 sqft","$469,897",Townhouse,2016,Forced air,Central,Attached Garage,No Data,$271,,"$2,567",$0/mo,"$1,780/mo",$432/mo,$170/mo,$185/mo,Not included
"3621 Wartrace Dr, South Fulton, GA",https://www.zillow.com/homedetails/3621-Wartrace-Dr-South-Fulton-GA-30331/246521076_zpid/,"$254,990",New construction,4 bds,3 ba,"2,176 sqft","$244,790",Single Family,2019,Forced air,Central,Attached Garage,"8,451 sqft",$117,,"$1,298",$0/mo,$936/mo,$227/mo,$89/mo,$45/mo,Not included
"1232 Virginia Ct, Atlanta, GA 30306",https://www.zillow.com/homedetails/1232-Virginia-Ct-Atlanta-GA-30306/2097880557_zpid/,"$599,000",Townhouse for sale,3 bds,4 ba,"2,678 sqft","$587,975",Townhouse,2015,Forced air,Central,Attached Garage,784 sqft,$224,Candidate for a community solar programSun Number™: 20.23,"$2,945",$0/mo,"$2,201/mo",$534/mo,$210/mo,$0/mo,Not included
"1376 Hooper Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1376-Hooper-Ave-NE-Atlanta-GA-30307/14479051_zpid/,"$429,900",House for sale,2 bds,2 ba,"1,029 sqft","$402,587",Single Family,1900,Forced air,Central,No Data,"8,712 sqft",$418,"{""targetDiv"":""gpt-ad-ed591a98-259f-4e40-96cc-a2b51d5df974"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1376 Hooper Ave NE"",""bd"":""2"",""fsbid"":""14311"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""14479051"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""994632594792026177"",""sqftrange"":""1000-1499"",""price"":""429900"",""sqft"":""1029"",""posting_url"":""http://www.chadsells.com"",""mlong"":""-84.342467"",""state"":""GA"",""prange"":""400-449k"",""zip"":""30307"",""mlat"":""33.767938"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISniso7g34i0dv0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""hood"":""Candler_Park"",""yrblt"":""1900-1919"",""zestimate"":""402587"",""premieragent"":""no""}}","$2,126",$0/mo,"$1,578/mo",$398/mo,$150/mo,$0/mo,Not included
"865 Moores Mill Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/865-Moores-Mill-Rd-NW-Atlanta-GA-30327/35911242_zpid/,"$695,000",House for sale,3 bds,4 ba,"2,082 sqft","$670,460",Single Family,1957,Forced air,Central,2 spaces,0.5 acres,$334,Candidate for a community solar programSun Number™: 20.21,"$3,576",$0/mo,"$2,713/mo",$620/mo,$243/mo,$0/mo,Not included
"410 Mulberry Row SE UNIT 1705, Atlanta, GA",https://www.zillow.com/homedetails/410-Mulberry-Row-SE-UNIT-1705-Atlanta-GA-30354/2084385615_zpid/,"$229,455",New construction,3 bds,3 ba,"1,891 sqft","$223,959",Townhouse,2019,No Data,No Data,2 spaces,No Data,$121,,"$1,168",,,,,,
"1388 Liberty Pkwy NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1388-Liberty-Pkwy-NW-Atlanta-GA-30318/88815221_zpid/,"$272,500",Townhouse for sale,3 bds,4 ba,"1,326 sqft","$266,636",Townhouse,2005,Forced air,Central,1 space,653 sqft,$206,Great solar potentialSun Number™: 80.21,"$1,654",$0/mo,"$1,000/mo",$243/mo,$95/mo,$315/mo,Not included
"594 Brownwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/594-Brownwood-Ave-SE-Atlanta-GA-30316/14456314_zpid/,"$289,900",House for sale,3 bds,2 ba,"1,552 sqft","$276,119",Single Family,1923,Forced air,Central,Detached Garage,"8,712 sqft",$187,Great solar potentialSun Number™: 92.23,"$1,434",$0/mo,"$1,064/mo",$268/mo,$101/mo,$0/mo,Not included
"115 Biscayne Dr NW APT F3, Atlanta, GA 30309",https://www.zillow.com/homedetails/115-Biscayne-Dr-NW-APT-F3-Atlanta-GA-30309/35901093_zpid/,"$240,000",Condo for sale,3 bds,2 ba,"1,298 sqft","$233,631",Condo,1964,Forced air,Central,2 spaces,$485/month,$185,,"$1,707",$0/mo,$924/mo,$214/mo,$84/mo,$485/mo,Not included
"88 La Rue Pl NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/88-La-Rue-Pl-NW-Atlanta-GA-30327/35915409_zpid/,"$199,900",Condo for sale,2 bds,2 ba,"1,200 sqft","$194,844",Condo,1968,Forced air,Central,2 spaces,$418/month,$167,Candidate for a community solar programSun Number™: 20.21,"$1,436",$0/mo,$769/mo,$178/mo,$70/mo,$418/mo,Not included
"1122 W Ave Sw, Atlanta, GA 30315",https://www.zillow.com/homedetails/1122-W-Ave-Sw-Atlanta-GA-30315/35888079_zpid/,"$80,000",House for sale,3 bds,1 ba,"1,424 sqft","$77,610",Single Family,1925,Forced air,Central,No Data,"4,255 sqft",$56,,$428,$0/mo,$329/mo,$71/mo,$28/mo,$0/mo,Not included
"Robie Plan, Hampshire Park",https://www.zillow.com/community/hampshire-park/2082898947_zpid/,"$222,600+",New construction,5 bds,3 ba,"2,361 sqft","$217,143",Single Family,2019,No Data,No Data,2 spaces,No Data,$94,,"$1,133",,,,,,
"4096 Powers Ferry Rd NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/4096-Powers-Ferry-Rd-NW-Atlanta-GA-30342/35902604_zpid/,"$1,275,000",House for sale,4 bds,4 ba,"3,170 sqft","$1,217,910",Single Family,1940,Forced air,Central,No Data,0.71 acres,$402,Great solar potentialSun Number™: 90.61,"$6,560",$0/mo,"$4,977/mo","$1,137/mo",$446/mo,$0/mo,Not included
"2390 Baker Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2390-Baker-Rd-NW-Atlanta-GA-30318/35856999_zpid/,"$224,900",House for sale,4 bds,3 ba,"1,980 sqft","$219,437",Single Family,2005,Heat pump,Central,No Data,0.28 acres,$114,Great solar potentialSun Number™: 70.62,"$1,145",$0/mo,$866/mo,$201/mo,$79/mo,$0/mo,Not included
"756 Moores Mill Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/756-Moores-Mill-Rd-NW-Atlanta-GA-30327/35911314_zpid/,"$1,899,995",House for sale,6 bds,7 ba,"7,482 sqft",,Single Family,2016,Forced air,Central,9 spaces,0.69 acres,$254,Great solar potentialSun Number™: 77.81,"$9,775",$0/mo,"$7,416/mo","$1,694/mo",$665/mo,$0/mo,Not included
"1019 Longley Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1019-Longley-Ave-NW-Atlanta-GA-30318/65442170_zpid/,"$449,000",House for sale,3 bds,3 ba,"2,118 sqft",,Single Family,2000,Forced air,Central,4 spaces,"7,274 sqft",$212,Great solar potentialSun Number™: 85.82,"$2,206",$0/mo,"$1,648/mo",$400/mo,$157/mo,$0/mo,Not included
"921 Virginia Cir NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/921-Virginia-Cir-NE-Atlanta-GA-30306/35895747_zpid/,"$799,000",House for sale,3 bds,2 ba,"2,477 sqft","$783,467",Single Family,1918,Forced air,Central,Off street,"6,534 sqft",$323,Limited solar potentialSun Number™: 57.83,"$4,111",$0/mo,"$3,119/mo",$712/mo,$280/mo,$0/mo,Not included
"3086 Lynn Dr SW # 2, Atlanta, GA 30311",https://www.zillow.com/homedetails/3086-Lynn-Dr-SW-2-Atlanta-GA-30311/2082085381_zpid/,"$169,900",House for sale,3 bds,2 ba,"1,466 sqft","$142,144",Single Family,1957,Forced air,Central,4 spaces,0.53 acres,$116,,$865,$0/mo,$654/mo,$151/mo,$59/mo,$0/mo,Not included
"1030 Alloway Pl SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1030-Alloway-Pl-SE-Atlanta-GA-30316/35828790_zpid/,"$394,900",House for sale,3 bds,2 ba,"1,330 sqft","$383,617",Single Family,1998,Forced air,Central,No Data,"8,999 sqft",$297,Candidate for a community solar programSun Number™: 20.23,"$1,940",$0/mo,"$1,449/mo",$352/mo,$138/mo,$0/mo,Not included
"232 Woodstone Ct, Atlanta, GA",https://www.zillow.com/homedetails/232-Woodstone-Ct-Atlanta-GA-30331/2082085939_zpid/,"$385,907",New construction,5 bds,4 ba,"4,443 sqft","$382,700",Single Family,2019,Forced air,Central,Attached Garage,No Data,$87,,"$1,933",$0/mo,"$1,416/mo",$344/mo,$135/mo,$37/mo,Not included
"1447 Akridge St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1447-Akridge-St-NW-Atlanta-GA-30314/35844538_zpid/,"$249,900",House for sale,4 bds,3 ba,"2,800 sqft","$245,335",Single Family,1955,Forced air,Central,No Data,"7,492 sqft",$89,Limited solar potentialSun Number™: 54.62,"$1,272",$0/mo,$962/mo,$223/mo,$87/mo,$0/mo,Not included
"1311 La France St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1311-La-France-St-NE-Atlanta-GA-30307/87688829_zpid/,"$599,900",Townhouse for sale,3 bds,3 ba,"2,057 sqft","$587,064",Townhouse,2007,"Forced air, Heat pump","Central, Solar",3 spaces,"4,356 sqft",$292,Great solar potentialSun Number™: 89.03,"$2,970",$0/mo,"$2,205/mo",$555/mo,$210/mo,$0/mo,Not included
"1220 W Wesley Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1220-W-Wesley-Rd-NW-Atlanta-GA-30327/35917213_zpid/,"$2,999,999",House for sale,6 bds,10 ba,"7,726 sqft",,Single Family,2006,Forced air,Central,4 spaces,2.5 acres,$388,Good solar potentialSun Number™: 64.21,"$15,435",$0/mo,"$11,710/mo","$2,675/mo","$1,050/mo",$0/mo,Not included
"1581 Gilstrap Ln NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1581-Gilstrap-Ln-NW-Atlanta-GA-30318/69379274_zpid/,"$475,000",House for sale,4 bds,3 ba,"2,216 sqft","$462,299",Single Family,2005,Forced air,Central,2 spaces,"3,920 sqft",$214,Great solar potentialSun Number™: 89.81,"$2,449",$0/mo,"$1,743/mo",$424/mo,$166/mo,$116/mo,Not included
"714 Rose Palm Ln, Atlanta, GA 30315",https://www.zillow.com/homedetails/714-Rose-Palm-Ln-Atlanta-GA-30315/171414736_zpid/,"$290,000",House for sale,3 bds,3 ba,"2,414 sqft",,Single Family,2019,Forced air,Central,2 spaces,"1,306 sqft",$120,Great solar potentialSun Number™: 70.62,"$1,462",$0/mo,"$1,064/mo",$259/mo,$102/mo,$37/mo,Not included
"921 Ponce De Leon Pl NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/921-Ponce-De-Leon-Pl-NE-Atlanta-GA-30306/35931006_zpid/,"$1,450,000",House for sale,5 bds,6 ba,"5,670 sqft","$1,384,711",Single Family,2005,Forced air,Central,3 spaces,"8,494 sqft",$256,Great solar potentialSun Number™: 78.63,"$7,460",$0/mo,"$5,660/mo","$1,293/mo",$508/mo,$0/mo,Not included
"3610 Old Ivy Ln NE, Atlanta, GA",https://www.zillow.com/homedetails/3610-Old-Ivy-Ln-NE-Atlanta-GA-30342/2142982801_zpid/,"$1,799,000",New construction,6 bds,7 ba,"6,204 sqft","$1,724,041",Single Family,2019,No Data,No Data,Attached Garage,0.43 acres,$290,,"$9,256",$0/mo,"$7,022/mo","$1,604/mo",$630/mo,$0/mo,Not included
"654 Courtenay Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/654-Courtenay-Dr-NE-Atlanta-GA-30306/35930245_zpid/,"$669,000",House for sale,4 bds,4 ba,"1,896 sqft","$651,246",Single Family,1930,Forced air,Central,4 spaces,0.48 acres,$353,Candidate for a community solar programSun Number™: 20.23,"$3,442",$0/mo,"$2,611/mo",$597/mo,$234/mo,$0/mo,Not included
"20 Marietta St NW APT 8E, Atlanta, GA 30303",https://www.zillow.com/homedetails/20-Marietta-St-NW-APT-8E-Atlanta-GA-30303/35888504_zpid/,"$114,995",Condo for sale,1 bd,1 ba,590 sqft,"$112,824",Condo,1995,"Forced air, Heat pump",Central,No Data,$377/month,$195,,$992,$0/mo,$473/mo,$103/mo,$40/mo,$377/mo,Not included
"567 Greenwood Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/567-Greenwood-Ave-NE-Atlanta-GA-30308/35880206_zpid/,"$615,000",House for sale,4 bds,3 ba,"2,136 sqft","$608,657",Single Family,1987,Heat pump,Central,4 spaces,"5,880 sqft",$288,Limited solar potentialSun Number™: 40.23,"$3,164",$0/mo,"$2,401/mo",$548/mo,$215/mo,$0/mo,Not included
"1720 Niskey Cove Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/1720-Niskey-Cove-Rd-SW-Atlanta-GA-30331/35878399_zpid/,"$310,000",House for sale,4 bds,3 ba,"3,097 sqft","$301,250",Single Family,1993,Forced air,Central,Attached Garage,0.63 acres,$100,Great solar potentialSun Number™: 77.81,"$1,568",$0/mo,"$1,138/mo",$276/mo,$109/mo,$45/mo,Not included
"251 W Paces Ferry Rd NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/251-W-Paces-Ferry-Rd-NW-Atlanta-GA-30305/35902159_zpid/,$--,Pre-foreclosure / Auction,3 bds,4 ba,"3,815 sqft",,Single Family,1960,Forced air,Central,1 space,0.69 acres,,Good solar potentialSun Number™: 62.61,$0,$0/mo,$0/mo,$0/mo,$0/mo,$0/mo,Not included
"673 Park Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/673-Park-Dr-NE-Atlanta-GA-30306/35930716_zpid/,"$1,380,000",New construction,5 bds,4 ba,"4,217 sqft",,Single Family,2018,Forced air,Central,2 spaces,"8,102 sqft",$327,Great solar potentialSun Number™: 72.23,"$7,100",$0/mo,"$5,387/mo","$1,231/mo",$483/mo,$0/mo,Not included
"1258 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1258-Euclid-Ave-NE-Atlanta-GA-30307/14479129_zpid/,"$575,000",House for sale,3 bds,2 ba,"1,438 sqft","$549,350",Single Family,1910,No Data,Central,2 spaces,"4,356 sqft",$400,Great solar potentialSun Number™: 88.23,"$2,846",$0/mo,"$2,113/mo",$532/mo,$201/mo,$0/mo,Not included
"1661 La France St NE UNIT 401, Atlanta, GA 30307",https://www.zillow.com/homedetails/1661-La-France-St-NE-UNIT-401-Atlanta-GA-30307/70831683_zpid/,"$345,000",Condo for sale,2 bds,2 ba,"1,368 sqft","$329,319",Condo,2004,Forced air,Central,2 spaces,$312/month,$252,,"$2,018",$0/mo,"$1,266/mo",$319/mo,$121/mo,$312/mo,Not included
"2657 Lenox Rd NE APT 179, Atlanta, GA 30324",https://www.zillow.com/homedetails/2657-Lenox-Rd-NE-APT-179-Atlanta-GA-30324/71759674_zpid/,"$195,000",For sale by owner,2 bds,2 ba,964 sqft,"$194,531",Condo,1994,Forced air,Central,Off street,$300/month,$202,,"$1,293",$0/mo,$751/mo,$174/mo,$68/mo,$300/mo,Not included
"507 Elmwood Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/507-Elmwood-Rd-NW-Atlanta-GA-30318/35845789_zpid/,"$229,900",House for sale,3 bds,2 ba,"1,495 sqft","$225,108",Single Family,1945,"Forced air, Heat pump",Central,4 spaces,0.4 acres,$154,Limited solar potentialSun Number™: 56.22,"$1,170",$0/mo,$885/mo,$205/mo,$80/mo,$0/mo,Not included
"1105 Moores Mill Rd NW, Atlanta, GA",https://www.zillow.com/homedetails/1105-Moores-Mill-Rd-NW-Atlanta-GA-30327/35914775_zpid/,"$2,800,000",New construction,5 bds,8 ba,"6,857 sqft","$2,682,848",Single Family,2019,Other,Central,3 spaces,1.09 acres,$408,,"$14,406",$0/mo,"$10,929/mo","$2,497/mo",$980/mo,$0/mo,Not included
"2628 Church St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2628-Church-St-NW-Atlanta-GA-30318/35923641_zpid/,"$299,900",House for sale,3 bds,2 ba,"1,400 sqft","$290,072",Single Family,1920,Forced air,Central,No Data,0.34 acres,$214,Limited solar potentialSun Number™: 55.41,"$1,473",$0/mo,"$1,101/mo",$267/mo,$105/mo,$0/mo,Not included
"305 Belgrave Ct SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/305-Belgrave-Ct-SW-Atlanta-GA-30331/65451852_zpid/,"$265,000",House for sale,4 bds,3 ba,"2,624 sqft","$199,701",Single Family,1999,Forced air,Central,No Data,0.41 acres,$101,Great solar potentialSun Number™: 92.21,"$1,347",$0/mo,$973/mo,$236/mo,$93/mo,$45/mo,Not included
"345 Sand Bay Dr SW # 293, Atlanta, GA 30331",https://www.zillow.com/homedetails/345-Sand-Bay-Dr-SW-293-Atlanta-GA-30331/2082149031_zpid/,"$190,000",Townhouse for sale,3 bds,4 ba,"1,744 sqft","$184,483",Townhouse,2015,No Data,No Data,No Data,"2,042 sqft",$109,,"$1,117",$0/mo,$731/mo,$169/mo,$67/mo,$150/mo,Not included
