Address,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"785 Piedmont Ave NE # A, Atlanta, GA 30308","$895,000 ",3 bds,4 ba,"2,289 sqft",,Townhouse,1960,Forced air,Central,Attached Garage,,,"$4,606 ","$3,495/mo",$798/mo,$313/mo,$0/mo
"165 6th St NE # 3, Atlanta, GA","$1,000,000 ",3 bds,4 ba,"2,654 sqft","$1,059,999 ",Townhouse,2019,"Forced air, Heat pump",Central,Attached Garage,,,"$5,397 ","$3,905/mo",$892/mo,$350/mo,$250/mo
"42 W Brookhaven Dr NE, Atlanta, GA 30319","$6,600,000 ",5 bds,7 ba,"10,000 sqft",,Single Family,1929,Forced air,Central,,1.44 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$33,969 ","$25,774/mo","$5,885/mo","$2,310/mo",$0/mo
"1406 Monroe Dr NE, Atlanta, GA 30324","$550,000 ",3 bds,1 ba,"1,536 sqft","$541,955 ",Single Family,1928,Forced air,Central,Carport,"7,492 sqft",Great solar potentialSun Numberâ„¢:Â 90.63,"$2,702 ","$2,019/mo",$490/mo,$193/mo,$0/mo
"190 Central Park Cir NE, Atlanta, GA 30312","$679,500 ",3 bds,4 ba,"2,709 sqft","$664,056 ",Single Family,2016,Forced air,Central,4 spaces,"1,045 sqft",,"$3,747 ","$2,654/mo",$606/mo,$238/mo,$250/mo
"935 Peachtree Battle Ave NW, Atlanta, GA 30327","$1,625,000 ",6 bds,8 ba,"6,800 sqft","$1,542,734 ",Single Family,2016,Forced air,Central,3 spaces,0.61 acres,Great solar potentialSun Numberâ„¢:Â 72.21,"$8,364 ","$6,346/mo","$1,449/mo",$569/mo,$0/mo
"4086 Paran Trl NW, Atlanta, GA 30327","$1,420,000 ",5 bds,7 ba,"6,886 sqft","$1,335,423 ",Single Family,1994,Forced air,Central,,1.72 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$7,308 ","$5,545/mo","$1,266/mo",$497/mo,$0/mo
"4380 Danforth Rd SW, Atlanta, GA 30331","$275,000 ",4 bds,3 ba,"2,809 sqft","$264,220 ",Single Family,1950,Forced air,Central,4 spaces,2.96 acres,,"$1,351 ","$1,010/mo",$245/mo,$96/mo,$0/mo
"260 Haas Ave SE, Atlanta, GA 30316","$400,000 ",3 bds,2 ba,"2,300 sqft","$387,368 ",Single Family,1928,"Forced air, Heat pump",Central,Off street,"8,712 sqft",Great solar potentialSun Numberâ„¢:Â 70.63,"$1,979 ","$1,469/mo",$370/mo,$140/mo,$0/mo
"1109 E Rock Springs Rd NE, Atlanta, GA 30306","$699,000 ",4 bds,3 ba,"2,230 sqft",,Single Family,1935,"Forced air, Other",Central,3 spaces,,Good solar potentialSun Numberâ„¢:Â 63.43,"$3,598 ","$2,730/mo",$623/mo,$245/mo,$0/mo
"26 S Prado NE, Atlanta, GA 30309","$1,397,000 ",4 bds,3 ba,"4,022 sqft","$1,350,203 ",Single Family,1920,Forced air,Central,2 spaces,"7,884 sqft",Great solar potentialSun Numberâ„¢:Â 81.03,"$7,190 ","$5,455/mo","$1,246/mo",$489/mo,$0/mo
"1755 Fairburn Rd SW, Atlanta, GA 30331","$170,000 ",3 bds,2 ba,"1,960 sqft","$161,447 ",Single Family,1960,Forced air,Central,,1.02 acres,Good solar potentialSun Numberâ„¢:Â 66.61,$865 ,$654/mo,$152/mo,$60/mo,$0/mo
"1673 Langston Ave SW, Atlanta, GA 30310","$203,402 ",3 bds,3 ba,"1,604 sqft",,Single Family,2006,Other,"Central, Other",,0.31 acres,Great solar potentialSun Numberâ„¢:Â 91.42,"$1,035 ",$783/mo,$181/mo,$71/mo,$0/mo
"3225 Saville St SW, Atlanta, GA 30331","$183,000 ",3 bds,3 ba,"1,376 sqft","$180,184 ",Single Family,2006,Forced air,Other,Attached Garage,"6,534 sqft",Great solar potentialSun Numberâ„¢:Â 91.43,$982 ,$704/mo,$163/mo,$64/mo,$50/mo
"4091 Peachtree Dunwoody Rd NE, Atlanta, GA 30342","$699,000 ",3 bds,3 ba,"2,402 sqft",,Single Family,1949,Forced air,Central,2 spaces,0.57 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$3,598 ","$2,730/mo",$623/mo,$245/mo,$0/mo
"6438 Stonelake Pl SW, Atlanta, GA 30331","$205,000 ",3 bds,2 ba,"1,867 sqft","$201,111 ",Single Family,2005,Forced air,Central,2 spaces,"10,410 sqft",Great solar potentialSun Numberâ„¢:Â 90.63,"$1,081 ",$789/mo,$183/mo,$72/mo,$37/mo
"3828 Stephanie Dr SW, Atlanta, GA 30331","$199,900 ",4 bds,3 ba,"2,200 sqft","$196,040 ",Single Family,2019,Forced air,Central,4 spaces,0.29 acres,Great solar potentialSun Numberâ„¢:Â 90.63,"$1,018 ",$769/mo,$178/mo,$70/mo,$0/mo
"685 W Conway Dr NW, Atlanta, GA 30327","$2,995,000 ",6 bds,8 ba,"7,224 sqft","$2,877,688 ",Single Family,1998,Forced air,Central,3 spaces,2.08 acres,Great solar potentialSun Numberâ„¢:Â 90.61,"$15,415 ","$11,696/mo","$2,671/mo","$1,048/mo",$0/mo
"1122 W Ave Sw, Atlanta, GA 30315","$80,000 ",3 bds,1 ba,"1,424 sqft","$77,610 ",Single Family,1925,Forced air,Central,,"4,255 sqft",,$428 ,$329/mo,$71/mo,$28/mo,$0/mo
"4032 Powers Ferry Rd NW, Atlanta, GA","$2,190,000 ",5 bds,6 ba,"3,375 sqft","$2,105,473 ",Single Family,2019,Forced air,Central,2 spaces,0.44 acres,,"$11,272 ","$8,552/mo","$1,953/mo",$767/mo,$0/mo
"890 Memorial Dr SE UNIT 107, Atlanta, GA 30316","$380,000 ",2 bds,2 ba,"1,338 sqft","$373,666 ",Single Family,2008,Forced air,Central,1 space,"1,350 sqft",,"$2,167 ","$1,395/mo",$339/mo,$133/mo,$300/mo
"440 Gartrell St SE, Atlanta, GA 30312","$499,000 ",3 bds,3 ba,"1,920 sqft","$487,474 ",Single Family,2007,"Forced air, Heat pump",Central,3 spaces,"2,003 sqft",Great solar potentialSun Numberâ„¢:Â 86.63,"$2,452 ","$1,832/mo",$445/mo,$175/mo,$0/mo
"315 Josephine St NE, Atlanta, GA","$799,000 ",4 bds,3 ba,"2,800 sqft","$774,210 ",Single Family,2019,Forced air,Central,2 spaces,"4,356 sqft",Great solar potentialSun Numberâ„¢:Â 85.83,"$4,139 ","$3,120/mo",$739/mo,$280/mo,$0/mo
"1731 Wildwood Rd NE, Atlanta, GA","$2,585,000 ",6 bds,7 ba,"5,800 sqft",,Single Family,2019,Forced air,Central,,0.47 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$13,304 ","$10,095/mo","$2,305/mo",$905/mo,$0/mo
"215 Stovall St SE, Atlanta, GA 30316","$539,900 ",3 bds,3 ba,"1,550 sqft","$524,609 ",Single Family,1925,Forced air,Central,Off street,"8,886 sqft",Limited solar potentialSun Numberâ„¢:Â 40.23,"$2,653 ","$1,982/mo",$481/mo,$189/mo,$0/mo
"309 Peachtree Battle Ave NW, Atlanta, GA 30305","$1,895,000 ",4 bds,4 ba,"3,568 sqft","$1,775,032 ",Single Family,1930,"Forced air, Other","Central, Other",1 space,0.57 acres,Great solar potentialSun Numberâ„¢:Â 92.21,"$9,753 ","$7,400/mo","$1,690/mo",$663/mo,$0/mo
"525 Overbrook Dr NW, Atlanta, GA 30318","$560,000 ",3 bds,2 ba,#NAME?,,Single Family,1946,Forced air,Central,,"8,999 sqft",Limited solar potentialSun Numberâ„¢:Â 56.21,"$2,751 ","$2,056/mo",$499/mo,$196/mo,$0/mo
"2796 Ridgemore Rd NW, Atlanta, GA 30318","$550,000 ",3 bds,2 ba,"2,046 sqft","$526,842 ",Single Family,1954,Forced air,Central,Detached Garage,0.69 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.21,"$2,702 ","$2,019/mo",$490/mo,$193/mo,$0/mo
"697 Ralph Mcgill Blvd NE, Atlanta, GA 30312","$560,000 ",2 bds,2 ba,"1,218 sqft","$548,519 ",Single Family,1935,Forced air,Central,,"6,272 sqft",Limited solar potentialSun Numberâ„¢:Â 45.03,"$2,751 ","$2,056/mo",$499/mo,$196/mo,$0/mo
"1386 Wayne Ave NE, Atlanta, GA 30306","$615,000 ",4 bds,2 ba,"1,026 sqft","$597,958 ",Single Family,1930,Forced air,Central,,0.33 acres,Candidate for a community solar programSun Numberâ„¢:Â 20.23,"$3,165 ","$2,402/mo",$548/mo,$215/mo,$0/mo
"837 Oak St NW, Atlanta, GA 30318","$80,000 ",2 bds,1 ba,1 sqft,,Single Family,1940,Heat pump,Central,,"5,662 sqft",Good solar potentialSun Numberâ„¢:Â 66.62,$428 ,$329/mo,$71/mo,$28/mo,$0/mo
