Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Condo,Type_Multi Family,"Heating_Baseboard, Forced air",Heating_Forced air,"Heating_Forced air, Heat pump",Heating_Heat pump,Heating_No Data,Heating_Other,Cooling_Central,Cooling_No Data,Cooling_Other
30342,-0.7544626448513485,0.0,-0.40332908410668095,-0.793307732742791,-1.3894446246014722,-2.21524797376513,1.4170425459125107e-15,-0.4183261349715834,-0.7528758879595532,33.882179260253906,-84.37528991699219,2,-0.6122446,1,0,0,1,0,0,0,0,1,0,0
30305,2.1564967960519916,0.0,1.75836507897089,0.3916222458212499,-0.6114776688569205,-1.1897652790731534,1.4170425459125107e-15,0.5104372908341788,1.9074213575701031,33.835697174072266,-84.38911437988281,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30327,1.661014338025891,0.0,-0.3050702585122459,1.6535260222053958,0.8529307184269416,1.3715751140914385e-14,1.4170425459125107e-15,1.099631063679401,1.444972331261291,33.869693756103516,-84.41729736328125,4,-0.12922572,1,0,0,1,0,0,0,0,1,0,0
30327,-0.44478610858503576,0.0,-0.40332908410668095,-0.23349829405111813,-0.5657149067542998,-1.1294427676206842,1.4170425459125107e-15,-0.2546050522941803,-0.46925247468009135,33.869693756103516,-84.41729736328125,4,-0.12922572,1,0,0,1,0,0,0,0,1,0,0
30342,-0.2899478404518794,0.0,-0.40332908410668095,-0.8539537552677222,-0.33690109624119635,-0.8278302103583381,-0.45584230583854995,-0.4102411432344277,-0.3320885816729471,33.882179260253906,-84.37528991699219,2,-0.6122446,1,0,0,1,0,0,0,0,1,0,0
30305,0.9611453660640242,0.0,2.74095333491524,1.858789483059009,0.3037775731954933,0.07700746142870016,1.4170425459125107e-15,-0.5517284986346526,0.8059625878045462,33.835697174072266,-84.38911437988281,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30327,1.9397232206655726,0.0,-0.40332908410668095,1.478585572614248,0.944456242632183,0.8612001103108,1.4170425459125107e-15,1.1360135264966018,1.7018834613537104,33.869693756103516,-84.41729736328125,4,-0.12922572,1,0,0,1,0,0,0,0,1,0,0
30326,1.0416612654932655,0.0,1.75836507897089,0.2563349648040956,0.9902190047348036,0.9215226217632693,1.4170425459125107e-15,-0.027214659686675934,0.893731518276257,33.849517822265625,-84.36396789550781,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30318,-1.057945650392335,0.0,1.75836507897089,-1.968907553995304,0.07496376268238986,1.1024901561206768,1.4170425459125107e-15,-0.500186676310285,-1.0245509919489555,33.792301177978516,-84.44786071777344,1,-0.67727345,1,0,0,1,0,0,0,0,1,0,0
30305,0.14359931032095852,0.0,-0.3050702585122459,1.8447942470917174,-0.29113833413857565,1.404102713383023,-0.45584230583854995,0.2709194106209409,0.07000068839163293,33.835697174072266,-84.38911437988281,0,0.1650611,1,0,0,0,0,0,1,0,0,1,0
30305,-0.6956241029607491,0.0,-0.501587909701116,-0.2941443165760494,-1.0233425277805066,-1.7326678821453765,1.4170425459125107e-15,0.0,-0.6901556943202952,33.835697174072266,-84.38911437988281,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30327,-0.47575376221166704,0.0,-0.40332908410668095,-0.15419195690313114,-0.06232452362547221,-0.4658951416435228,1.4170425459125107e-15,0.0,-0.23710907696833597,33.869693756103516,-84.41729736328125,4,-0.12922572,1,0,0,1,0,0,0,0,1,0,0
30308,-0.9960103431390721,0.0,-0.501587909701116,-0.9845759576291125,-0.7945287172674033,0.3786200186910463,-2.0512903762734807,0.27193003458808535,-0.9728742732649971,33.77112579345703,-84.37810516357422,3,0.43348038,1,0,0,1,0,0,0,0,1,0,0
30342,-0.21562547174796431,0.0,1.75836507897089,-0.35945541775674456,-0.6114776688569205,1.5850702477404306,-0.45584230583854995,-0.37486930438437144,-0.25836425370164007,33.882179260253906,-84.37528991699219,2,-0.6122446,1,0,0,1,0,0,0,0,1,0,0
30326,0.34488905889406185,0.0,-0.40332908410668095,0.7788237742496569,0.349540335298114,0.07700746142870016,1.4170425459125107e-15,-0.28391314734136974,0.24890498266748415,33.849517822265625,-84.36396789550781,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30342,-0.6341223428582594,0.0,-0.40332908410668095,-0.793307732742791,-1.3894446246014722,-2.21524797376513,1.1396057645963806,-0.4102411432344277,-0.6445599119730461,33.882179260253906,-84.37528991699219,2,-0.6122446,1,0,0,1,0,0,0,0,1,0,0
30326,0.1745669639475898,0.0,-0.40332908410668095,-0.38744588969132815,1.1732700531452864,1.162812667573146,1.4170425459125107e-15,0.0,0.09408838999896803,33.849517822265625,-84.36396789550781,0,0.1650611,1,0,0,0,0,0,1,0,0,1,0
30306,-0.1041419186920917,0.0,-0.40332908410668095,0.3589666952309023,-0.06232452362547221,-0.4658951416435228,1.4170425459125107e-15,-0.7750763953735791,-0.16269347804562853,33.78932189941406,-84.35150146484375,3,0.43348038,1,0,0,1,0,0,0,0,1,0,0
30324,2.094561488798729,0.0,-0.3050702585122459,3.577870967708021,1.219032815247907,1.2231351790256153,-0.45584230583854995,0.0,1.8167356008888247,33.81840515136719,-84.3581771850586,0,0.1650611,1,0,0,1,0,0,0,0,1,0,0
30309,-0.9712362202377675,0.0,-0.501587909701116,-0.8422910586283123,-0.8402914793700239,-1.4913778363354995,-0.45584230583854995,-0.42236863084016124,-0.9506749215736826,33.79988479614258,-84.38580322265625,3,0.43348038,1,0,0,1,0,0,0,0,1,0,0
