Address,Bedrooms,Bathrooms,Area,Zestimate,Year Built,Parking,HL,Monthcost,PI,PT,HI,HF,geo,label_0,label_1,label_2,label_3,label_4,Type_Apartment,Type_Condo,Type_Cooperative,Type_Miscellaneous,Type_Multi Family,Heating_Baseboard,"Heating_Baseboard, Forced air","Heating_Baseboard, Forced air, Other, Radiant","Heating_Baseboard, Heat pump","Heating_Baseboard, Other",Heating_Electric,"Heating_Electric, Gas",Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Heat pump, Wall","Heating_Forced air, Wall",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_Oil,Heating_Other,"Heating_Other, Radiant",Heating_Radiant,Heating_Wall,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Wall",Cooling_No Data,Cooling_None,Cooling_Other,"Cooling_Other, Refrigeration","Cooling_Other, Wall",Cooling_Wall,"Cooling_Wall, Refrigeration"
2115.0,-0.21187090020229832,0.24785408797778624,-0.16603776898636544,2.5264535423778725,-1.3236292228878312,-0.3138033304503464,0.17702871534693107,1.2030571706884903,2.356149238390253,2.4202688529479564,2.358354706034722,0.020622093347138163,"(42.337105, -71.105696)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2210.0,-0.9495900587380113,-0.6310746393895946,-0.16470764726898518,0.628525062630605,-0.7635898238879812,0.0,0.2251420320286332,0.3270320995322262,0.5116348648742746,0.6334139323868007,0.6294643064087625,0.034893158885491916,"(42.347471999999996, -71.039271)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2135.0,-0.21187090020229832,-0.6310746393895946,-0.1744277675113793,-0.5260728188444598,-0.11394412104815524,-0.3138033304503464,-0.031089352159966513,-0.26276404867663733,-0.5420468280512101,-0.5282634601368293,-0.5059264037933605,-0.04110856223736878,"(42.349688, -71.153964)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10027.0,-0.21187090020229832,-0.6310746393895946,-0.17074435352478784,0.5293649779953489,0.0,0.0,0.49144364529014734,0.49630094924239326,0.5032541717273618,0.6201122828540874,0.4918411900206264,0.23568373215767846,"(40.811407, -73.95306)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2122.0,1.2635674168691275,1.126782815345167,-0.09958284164494446,1.7758514846515967,-3.250164755447315,-0.3138033304503464,-0.14298078630345984,0.6955444910887358,1.686455667832407,1.7197153108917218,1.6788405688683004,-0.18249167664059435,"(42.291413, -71.042158)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10007.0,-0.9495900587380113,-0.6310746393895946,-0.17570673070116802,0.9515685362171372,0.9389299490715627,0.0,0.5563406770933734,0.0,1.0624749689849942,1.1344427314523358,0.9735220973791028,0.13313119142857824,"(40.713848, -74.007755)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2128.0,-0.21187090020229832,-0.6310746393895946,-0.17391618223546385,-0.8133407119169521,-1.0100071594479152,0.0,-0.28060725029995665,-0.44613863586265173,-0.7805156421406364,-0.7942964507910958,-0.7639697470211158,-0.11511897188976151,"(42.361129, -71.006975)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10306.0,0.5258482583334146,1.126782815345167,-0.15038325954335172,-0.2621156089018473,0.8717252211915807,0.0,0.0,0.0,-0.18243890392913578,-0.1558172732208564,-0.20487583669431272,-0.18249167664059435,"(40.571768, -74.12595)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No Data,-0.21187090020229832,0.24785408797778624,-0.1672655736485626,1.7225759250514208,0.0,0.0,0.5541028484105036,0.9676676765602892,1.6719799251241032,1.7064136613590086,1.6702391240940417,0.13246742093842223,No Data,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2135.0,-0.21187090020229832,-0.6310746393895946,-0.17545093806321027,-0.32649549502833225,-0.5619756402480353,-0.3138033304503464,-0.018781294404182247,-0.1813621886597688,-0.38433742065021564,-0.3597758993891273,-0.3338975083081903,-0.037457824541510844,"(42.349688, -71.153964)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2132.0,-0.21187090020229832,0.24785408797778624,-0.16314731217744297,-0.2767070042063541,0.9837331009915508,0.0,0.03604550832612948,-0.14609784497015066,-0.341672073720478,-0.3110031844358451,-0.2908902844368978,-0.02119544753268912,"(42.280454999999996, -71.162017)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11235.0,-0.21187090020229832,-0.6310746393895946,-0.17084667057997094,-0.9052487276566793,0.42369370199170076,0.0,-0.053467638988665175,-0.22691196592552557,-0.7424215823819421,-1.126837689108929,-0.8327813052151838,0.14408340451615204,"(40.583949, -73.949096)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2136.0,0.5258482583334146,1.126782815345167,-0.15964295303742193,-0.8719680656753258,1.3197567403914607,0.0,-0.08255941186597344,-0.43673481087875354,-0.8666082171952856,-0.887407997520089,-0.8499841947637008,-0.05637528351095652,"(42.255083, -71.12921999999999)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10029.0,-0.21187090020229832,0.24785408797778624,-0.16749578702272455,1.4154876493870037,1.6557803797913706,0.0,0.8315936050863669,0.0,1.4289398238636335,1.5246244510785931,1.33478277789796,0.21477496171776483,"(40.791763, -73.94397)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10037.0,-0.9495900587380113,-0.6310746393895946,-0.17675548051679477,0.00659551964385034,1.6333788038313766,-0.3138033304503464,0.010310478473126017,0.03169322113167418,0.036982880280943445,0.10578183425583892,0.018761727436408453,-0.02882880816948299,"(40.812957, -73.937376)",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
