Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"14 Pine Ridge Rd, Boston, MA 02126",https://www.zillow.com/homedetails/14-Pine-Ridge-Rd-Boston-MA-02126/59138191_zpid/,"$579,900",For sale by owner,"1,424 sqft",3 bds,1 ba,"$546,238",Single Family,1925,Baseboard,Other,4 spaces,"8,276 sqft",$407,Great solar potentialSun Number™: 85.42,"$2,750","$2,141/mo",$0/mo,$406/mo,$203/mo,$0/mo,Not included
"888 Metropolitan Ave, Boston, MA 02136",https://www.zillow.com/homedetails/888-Metropolitan-Ave-Boston-MA-02136/2083588983_zpid/,"$829,000",House for sale,"2,988 sqft",5 bds,2 ba,"$829,086",Single Family,1890,Forced air,None,Attached Garage,0.25 acres,$277,,"$3,932","$3,061/mo",$0/mo,$580/mo,$290/mo,$0/mo,Not included
"9 Oriole St # 1, Boston, MA 02132",https://www.zillow.com/homedetails/9-Oriole-St-1-Boston-MA-02132/2082171607_zpid/,"$649,000",Condo for sale,"1,250 sqft",3 bds,3 ba,"$649,129",Condo,1920,Gas,No Data,No Data,No Data,$519,,"$3,078","$2,397/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
"7 Worcester Sq # 3, Boston, MA 02118",https://www.zillow.com/homedetails/7-Worcester-Sq-3-Boston-MA-02118/123850029_zpid/,"$2,349,000",Condo for sale,"1,989 sqft",3 bds,3 ba,"$2,288,444",Condo,1890,Forced air,Central,No Data,$529/month,"$1,181",Great solar potentialSun Number™: 91.18,"$12,159","$9,163/mo",$0/mo,"$1,644/mo",$822/mo,$529/mo,Not included
"16-18 Bloomfield St, Boston, MA 02124",https://www.zillow.com/homedetails/16-18-Bloomfield-St-Boston-MA-02124/189989766_zpid/,"$739,900",Apartment for sale,"2,867 sqft",5 bds,3 ba,"$727,649",Multi Family,1895,Forced air,No Data,2 spaces,$258,,,"$3,509","$2,732/mo",$0/mo,$518/mo,$259/mo,$0/mo,Not included
"45 Temple St # 1, Boston, MA 02114",https://www.zillow.com/homedetails/45-Temple-St-1-Boston-MA-02114/2089785116_zpid/,"$10,400,000",Condo for sale,"3,469 sqft",4 bds,4 ba,"$9,827,682",Condo,2019,Forced air,Central,No Data,"$7,351/month","$2,998",,"$58,841","$40,570/mo",$0/mo,"$7,280/mo","$3,640/mo","$7,351/mo",Not included
"14 Mount Calvary Rd, Boston, MA 02131",https://www.zillow.com/homedetails/14-Mount-Calvary-Rd-Boston-MA-02131/59146968_zpid/,"$810,000",Apartment for sale,"3,531 sqft",6 bds,4 ba,"$810,900",Multi Family,1890,Other,No Data,5 spaces,$229,,Great solar potentialSun Number™: 76.18,"$3,842","$2,991/mo",$0/mo,$567/mo,$284/mo,$0/mo,Not included
"51 W Eagle St, East Boston, MA 02128",https://www.zillow.com/homedetails/51-W-Eagle-St-East-Boston-MA-02128/59121697_zpid/,"$775,000",Apartment for sale,"2,214 sqft",6 bds,3 ba,"$763,464",Multi Family,1900,Forced air,No Data,1 space,$350,,Great solar potentialSun Number™: 84.2,"$3,676","$2,862/mo",$0/mo,$543/mo,$271/mo,$0/mo,Not included
"339 W 3rd St, South Boston, MA 02127",https://www.zillow.com/homedetails/339-W-3rd-St-South-Boston-MA-02127/59151227_zpid/,"$1,400,000",Apartment for sale,"2,723 sqft",5 bds,4 ba,"$1,357,200",Multi Family,1890,Other,No Data,No Data,$514,,Great solar potentialSun Number™: 90.86,"$6,931","$5,461/mo",$0/mo,$980/mo,$490/mo,$0/mo,Not included
"350 Marlborough St APT 3, Boston, MA 02115",https://www.zillow.com/homedetails/350-Marlborough-St-APT-3-Boston-MA-02115/59169851_zpid/,"$810,000",Condo for sale,790 sqft,1 bd,2 ba,"$790,540",Condo,1890,Baseboard,No Data,On street,$340/month,"$1,025",Great solar potentialSun Number™: 94.38,"$4,182","$2,991/mo",$0/mo,$567/mo,$284/mo,$340/mo,Not included
