Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"17 Louisburg Sq, Boston, MA 02108",https://www.zillow.com/homedetails/17-Louisburg-Sq-Boston-MA-02108/59166308_zpid/,"$20,500,000",House for sale,"7,610 sqft",5 bds,5 ba,"$19,401,786",Single Family,1899,Heat pump,Central,2 spaces,"1,742 sqft","$2,694",Great solar potentialSun Number™: 90.38,"$101,532","$80,007/mo",$0/mo,"$14,350/mo","$7,175/mo",$0/mo,Not included
"12 Coleus Park, Boston, MA 02121",https://www.zillow.com/homedetails/12-Coleus-Park-Boston-MA-02121/68006973_zpid/,"$286,434",House for sale,"3,832 sqft",5 bds,2 ba,"$280,720",Single Family,1970,Baseboard,Other,No Data,"4,356 sqft",$75,Good solar potentialSun Number™: 68.78,"$1,359","$1,058/mo",$0/mo,$201/mo,$100/mo,$0/mo,Not included
"19 Carroll St, Boston, MA 02132",https://www.zillow.com/homedetails/19-Carroll-St-Boston-MA-02132/59157757_zpid/,"$520,000",House for sale,"1,352 sqft",3 bds,1 ba,"$535,055",Single Family,1930,Other,None,1 space,"8,276 sqft",$385,Good solar potentialSun Number™: 69.34,"$2,467","$1,921/mo",$0/mo,$364/mo,$182/mo,$0/mo,Not included
"156 Porter St APT 123, East Boston, MA 02128",https://www.zillow.com/homedetails/156-Porter-St-APT-123-East-Boston-MA-02128/71489369_zpid/,"$401,226",Condo for sale,955 sqft,2 bds,1 ba,"$390,372",Condo,1910,Forced air,Central,1 space,$274/month,$420,Great solar potentialSun Number™: 91.4,"$2,178","$1,482/mo",$0/mo,$281/mo,$140/mo,$274/mo,Not included
"11 Walker St, Boston, MA 02129",https://www.zillow.com/homedetails/11-Walker-St-Boston-MA-02129/59100526_zpid/,"$1,050,000",House for sale,"1,769 sqft",3 bds,3 ba,"$1,024,604",Single Family,2011,Forced air,Central,No Data,871 sqft,$594,Great solar potentialSun Number™: 93.2,"$5,200","$4,098/mo",$0/mo,$735/mo,$368/mo,$0/mo,Not included
"144 Child St, Boston, MA 02136",https://www.zillow.com/homedetails/144-Child-St-Boston-MA-02136/59127734_zpid/,"$539,000",Apartment for sale,"2,045 sqft",5 bds,3 ba,"$549,781",Multi Family,1918,Other,No Data,3 spaces,$264,,Great solar potentialSun Number™: 83.82,"$2,557","$1,991/mo",$0/mo,$377/mo,$189/mo,$0/mo,Not included
"121 Salem St APT 5D, Boston, MA 02113",https://www.zillow.com/homedetails/121-Salem-St-APT-5D-Boston-MA-02113/59181232_zpid/,"$450,000",Condo for sale,495 sqft,1 bd,1 ba,"$439,849",Condo,1920,Other,None,1 space,$186/month,$909,Great solar potentialSun Number™: 94.38,"$2,321","$1,663/mo",$0/mo,$315/mo,$158/mo,$186/mo,Not included
"124 Everett St # 2, East Boston, MA 02128",https://www.zillow.com/homedetails/124-Everett-St-2-East-Boston-MA-02128/67398919_zpid/,"$350,000",Condo for sale,509 sqft,2 bds,1 ba,"$341,097",Condo,1900,Forced air,Central,On street,$184/month,$688,Candidate for a community solar programSun Number™: 21.8,"$1,845","$1,293/mo",$0/mo,$245/mo,$123/mo,$184/mo,Not included
"47 Sargent St # 2, Boston, MA 02125",https://www.zillow.com/homedetails/47-Sargent-St-2-Boston-MA-02125/2082076576_zpid/,"$499,000",Condo for sale,"1,260 sqft",2 bds,2 ba,"$409,848",Condo,2019,Forced air,Central,No Data,$198/month,$396,,"$2,566","$1,844/mo",$0/mo,$349/mo,$175/mo,$198/mo,Not included
"43 Knoll St, Boston, MA 02131",https://www.zillow.com/homedetails/43-Knoll-St-Boston-MA-02131/59142175_zpid/,"$649,000",Apartment for sale,"1,614 sqft",3 bds,2 ba,"$649,003",Multi Family,1920,Other,No Data,1 space,$402,,Great solar potentialSun Number™: 88.18,"$3,083","$2,401/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
"5 Glenellen Rd, Boston, MA 02132",https://www.zillow.com/homedetails/5-Glenellen-Rd-Boston-MA-02132/59160138_zpid/,"$469,000",House for sale,"1,250 sqft",2 bds,1 ba,"$469,093",Single Family,1928,Other,None,1 space,"3,484 sqft",$375,Candidate for a community solar programSun Number™: 22.94,"$2,225","$1,733/mo",$0/mo,$328/mo,$164/mo,$0/mo,Not included
"114 Clare Ave, Boston, MA 02136",https://www.zillow.com/homedetails/114-Clare-Ave-Boston-MA-02136/59125145_zpid/,"$625,000",House for sale,"2,189 sqft",4 bds,3 ba,"$625,083",Single Family,1990,Forced air,Central,3 spaces,"6,098 sqft",$286,Great solar potentialSun Number™: 87.82,"$2,969","$2,312/mo",$0/mo,$438/mo,$219/mo,$0/mo,Not included
"1 Franklin St # GPH, Boston, MA 02110",https://www.zillow.com/homedetails/1-Franklin-St-GPH-Boston-MA-02110/2087162740_zpid/,"$45,000,000",Condo for sale,"13,256 sqft",8 bds,10.5 ba,,Condo,2016,No Data,No Data,No Data,"$17,121/month","$3,395",,"$239,997","$175,626/mo",$0/mo,"$31,500/mo","$15,750/mo","$17,121/mo",Not included
"191 W Canton St APT 2, Boston, MA 02116",https://www.zillow.com/homedetails/191-W-Canton-St-APT-2-Boston-MA-02116/59172375_zpid/,"$779,000",Condo for sale,701 sqft,2 bds,2 ba,"$761,972",Condo,1980,Forced air,No Data,On street,$150/month,"$1,111",Great solar potentialSun Number™: 87.18,"$3,850","$2,882/mo",$0/mo,$545/mo,$273/mo,$150/mo,Not included
"28 Harvard St # 1, Boston, MA 02129",https://www.zillow.com/homedetails/28-Harvard-St-1-Boston-MA-02129/59099284_zpid/,"$939,000",Condo for sale,"1,430 sqft",2 bds,2 ba,"$931,894",Condo,1900,Baseboard,Other,1 space,$330/month,$657,Great solar potentialSun Number™: 93.2,"$4,981","$3,665/mo",$0/mo,$657/mo,$329/mo,$330/mo,Not included
"558 Columbus Ave APT 4F, Boston, MA 02118",https://www.zillow.com/homedetails/558-Columbus-Ave-APT-4F-Boston-MA-02118/2105631264_zpid/,"$549,000",Condo for sale,450 sqft,1 bd,1 ba,"$540,828",Condo,1890,Baseboard,Central,On street,$221/month,"$1,220",,"$2,826","$2,028/mo",$0/mo,$384/mo,$192/mo,$221/mo,Not included
"89 Beacon St, Boston, MA 02108",https://www.zillow.com/homedetails/89-Beacon-St-Boston-MA-02108/190003492_zpid/,"$16,399,000",Condo for sale,"5,703 sqft",4 bds,7 ba,,Condo,1852,Heat pump,Central,3 spaces,No Data,"$2,876",Great solar potentialSun Number™: 94.38,"$81,221","$64,002/mo",$0/mo,"$11,479/mo","$5,740/mo",$0/mo,Not included
"285 Heath St # 285, Boston, MA 02130",https://www.zillow.com/homedetails/285-Heath-St-285-Boston-MA-02130/2087854491_zpid/,"$385,000",Condo for sale,"1,028 sqft",2 bds,1 ba,"$396,295",Condo,1988,Electric,None,No Data,$437/month,$375,,"$2,264","$1,422/mo",$0/mo,$270/mo,$135/mo,$437/mo,Not included
"8 Mount Vernon Pl, Boston, MA 02108",https://www.zillow.com/homedetails/8-Mount-Vernon-Pl-Boston-MA-02108/59174591_zpid/,"$25,000,000",House for sale,"9,768 sqft",5 bds,9 ba,"$23,813,612",Single Family,1899,Forced air,Central,Detached Garage,"3,484 sqft","$2,559",Great solar potentialSun Number™: 90.38,"$123,820","$97,570/mo",$0/mo,"$17,500/mo","$8,750/mo",$0/mo,Not included
"60 Stanton St, Boston, MA 02124",https://www.zillow.com/homedetails/60-Stanton-St-Boston-MA-02124/59109573_zpid/,"$450,000",Apartment for sale,"2,664 sqft",6 bds,2 ba,"$441,849",Multi Family,1925,Other,No Data,2 spaces,$169,,Great solar potentialSun Number™: 92.2,"$2,135","$1,663/mo",$0/mo,$315/mo,$158/mo,$0/mo,Not included
"13-15 Waltham St # B-309, Boston, MA 02118",https://www.zillow.com/homedetails/13-15-Waltham-St-B-309-Boston-MA-02118/2082298376_zpid/,"$629,500",Condo for sale,"1,690 sqft",3 bds,3 ba,"$620,152",Condo,2002,Forced air,Central,No Data,$817/month,$372,,"$3,807","$2,329/mo",$0/mo,$441/mo,$220/mo,$817/mo,Not included
"283 Webster St APT 1, Boston, MA 02128",https://www.zillow.com/homedetails/283-Webster-St-APT-1-Boston-MA-02128/2082092350_zpid/,"$850,000",Condo for sale,"1,421 sqft",3 bds,2 ba,"$827,006",Condo,1910,Forced air,Central,No Data,$216/month,$598,,"$4,253","$3,145/mo",$0/mo,$595/mo,$298/mo,$216/mo,Not included
"91 Standard St, Boston, MA 02126",https://www.zillow.com/homedetails/91-Standard-St-Boston-MA-02126/2082160443_zpid/,"$689,000",House for sale,"2,090 sqft",4 bds,3 ba,"$681,860",Single Family,2019,Forced air,Central,No Data,"6,098 sqft",$330,,"$3,273","$2,549/mo",$0/mo,$482/mo,$241/mo,$0/mo,Not included
"106 13th St APT 317, Boston, MA 02129",https://www.zillow.com/homedetails/106-13th-St-APT-317-Boston-MA-02129/59098755_zpid/,"$639,000",Condo for sale,"1,077 sqft",2 bds,2 ba,"$621,714",Condo,1920,Forced air,Central,1 space,"$1,022/month",$593,Great solar potentialSun Number™: 93.2,"$4,057","$2,364/mo",$0/mo,$447/mo,$224/mo,"$1,022/mo",Not included
"96 Rockwood St, Boston, MA 02130",https://www.zillow.com/homedetails/96-Rockwood-St-Boston-MA-02130/59134938_zpid/,"$3,950,000",House for sale,"15,059 sqft",8 bds,6 ba,"$3,938,298",Single Family,1895,Baseboard,Other,2 spaces,4.72 acres,$262,Great solar potentialSun Number™: 94.38,"$19,564","$15,416/mo",$0/mo,"$2,765/mo","$1,383/mo",$0/mo,Not included
"208 Beacon St, Boston, MA 02116",https://www.zillow.com/homedetails/208-Beacon-St-Boston-MA-02116/59171042_zpid/,"$11,995,000",House for sale,"6,771 sqft",7 bds,8 ba,"$11,282,801",Single Family,1863,Forced air,Central,Off street,"3,049 sqft","$1,772",Great solar potentialSun Number™: 94.38,"$59,409","$46,814/mo",$0/mo,"$8,397/mo","$4,198/mo",$0/mo,Not included
"203 D St # 1, South Boston, MA 02127",https://www.zillow.com/homedetails/203-D-St-1-South-Boston-MA-02127/67096351_zpid/,"$489,000",Condo for sale,600 sqft,2 bds,1 ba,"$483,932",Condo,1890,Forced air,Central,No Data,$186/month,$815,Great solar potentialSun Number™: 94.86,"$2,506","$1,807/mo",$0/mo,$342/mo,$171/mo,$186/mo,Not included
"42 W Newton St # B2, Boston, MA 02118",https://www.zillow.com/homedetails/42-W-Newton-St-B2-Boston-MA-02118/59184022_zpid/,"$829,000",Condo for sale,948 sqft,2 bds,1 ba,"$809,656",Condo,1910,Baseboard,Other,No Data,$357/month,$874,Great solar potentialSun Number™: 94.38,"$4,295","$3,067/mo",$0/mo,$580/mo,$290/mo,$357/mo,Not included
"364-380 Amory St # 3, Boston, MA 02130",https://www.zillow.com/homedetails/364-380-Amory-St-3-Boston-MA-02130/63709243_zpid/,"$869,000",Condo for sale,"2,126 sqft",2 bds,3 ba,"$907,622",Condo,2002,Forced air,Central,1 space,$59/month,$409,Great solar potentialSun Number™: 92.78,"$4,363","$3,392/mo",$0/mo,$608/mo,$304/mo,$59/mo,Not included
"725 Harrison Ave UNIT E203, Boston, MA 02118",https://www.zillow.com/homedetails/725-Harrison-Ave-UNIT-E203-Boston-MA-02118/81856009_zpid/,"$289,900",Condo for sale,940 sqft,1 bd,1 ba,"$284,723",Condo,2006,Forced air,Central,No Data,$440/month,$308,Great solar potentialSun Number™: 90.38,"$1,815","$1,071/mo",$0/mo,$203/mo,$101/mo,$440/mo,Not included
"1391 Hyde Park Ave STE H, Boston, MA 02136",https://www.zillow.com/homedetails/1391-Hyde-Park-Ave-STE-H-Boston-MA-02136/2097378140_zpid/,"$469,000",House for sale,"2,038 sqft",2 bds,2 ba,"$466,987",Miscellaneous,2018,No Data,No Data,On street,$230,,,"$2,225","$1,733/mo",$0/mo,$328/mo,$164/mo,$0/mo,Not included
"40 Bournedale Rd, Boston, MA 02130",https://www.zillow.com/homedetails/40-Bournedale-Rd-Boston-MA-02130/59136260_zpid/,"$799,999",House for sale,"1,560 sqft",3 bds,2 ba,"$855,232",Single Family,1915,Forced air,Central,3 spaces,"4,356 sqft",$513,Great solar potentialSun Number™: 92.78,"$3,800","$2,960/mo",$0/mo,$560/mo,$280/mo,$0/mo,Not included
"94 Waltham St APT 2, Boston, MA 02118",https://www.zillow.com/homedetails/94-Waltham-St-APT-2-Boston-MA-02118/59182312_zpid/,"$925,000",Condo for sale,870 sqft,2 bds,1 ba,"$912,654",Condo,1870,Forced air,None,On street,$272/month,"$1,063",Great solar potentialSun Number™: 82.38,"$4,853","$3,610/mo",$0/mo,$648/mo,$324/mo,$272/mo,Not included
"19-21 Norfolk St UNIT 1, Boston, MA 02119",https://www.zillow.com/homedetails/19-21-Norfolk-St-UNIT-1-Boston-MA-02119/60112935_zpid/,"$495,000",Condo for sale,"1,338 sqft",3 bds,2 ba,"$495,002",Condo,1900,Forced air,None,No Data,$300/month,$370,Great solar potentialSun Number™: 79.22,"$2,649","$1,829/mo",$0/mo,$347/mo,$173/mo,$300/mo,Not included
"14 Walnut St, Boston, MA 02108",https://www.zillow.com/homedetails/14-Walnut-St-Boston-MA-02108/59166273_zpid/,"$15,000,000",House for sale,"7,122 sqft",6 bds,9 ba,"$14,467,640",Single Family,1803,"Forced air, Radiant",Central,No Data,"5,662 sqft","$2,106",Great solar potentialSun Number™: 86.38,"$74,292","$58,542/mo",$0/mo,"$10,500/mo","$5,250/mo",$0/mo,Not included
"40 Mount Vernon St # 5B, Boston, MA 02108",https://www.zillow.com/homedetails/40-Mount-Vernon-St-5B-Boston-MA-02108/59174903_zpid/,"$1,995,000",Condo for sale,"1,369 sqft",3 bds,2 ba,"$1,950,862",Condo,1850,Baseboard,Central,No Data,$864/month,"$1,457",Great solar potentialSun Number™: 93.58,"$10,745","$7,786/mo",$0/mo,"$1,397/mo",$698/mo,$864/mo,Not included
"60 Eutaw St # 60, East Boston, MA 02128",https://www.zillow.com/homedetails/60-Eutaw-St-60-East-Boston-MA-02128/2085519969_zpid/,"$349,900",Coming soon,"1,010 sqft",2 bds,2 ba,"$556,471",Condo,1850,No Data,No Data,No Data,No Data,$346,,"$1,660","$1,293/mo",$0/mo,$245/mo,$122/mo,$0/mo,Not included
"46 Mount Vernon St # A, Boston, MA 02129",https://www.zillow.com/homedetails/46-Mount-Vernon-St-A-Boston-MA-02129/59212316_zpid/,"$1,249,000",Condo for sale,"1,725 sqft",3 bds,3 ba,"$1,236,484",Condo,1875,Forced air,Central,No Data,$250/month,$724,Great solar potentialSun Number™: 92.4,"$6,436","$4,875/mo",$0/mo,$874/mo,$437/mo,$250/mo,Not included
"79 Brunswick St # A, Boston, MA 02121",https://www.zillow.com/homedetails/79-Brunswick-St-A-Boston-MA-02121/81961583_zpid/,"$284,000",Condo for sale,"1,345 sqft",3 bds,2 ba,"$284,002",Condo,2005,Forced air,Central,1 space,$412/month,$211,Great solar potentialSun Number™: 83.18,"$1,759","$1,049/mo",$0/mo,$199/mo,$99/mo,$412/mo,Not included
"186 Commonwealth Ave APT 72, Boston, MA 02116",https://www.zillow.com/homedetails/186-Commonwealth-Ave-APT-72-Boston-MA-02116/59176630_zpid/,"$1,649,000",For sale by owner,"1,237 sqft",2 bds,2 ba,"$1,517,857",Condo,1880,Forced air,Central,None,$489/month,"$1,333",Great solar potentialSun Number™: 87.98,"$8,656","$6,436/mo",$0/mo,"$1,154/mo",$577/mo,$489/mo,Not included
"7 Willow St, Boston, MA 02108",https://www.zillow.com/homedetails/7-Willow-St-Boston-MA-02108/59166258_zpid/,"$2,927,500",House for sale,"2,065 sqft",3 bds,3 ba,"$2,822,759",Single Family,1890,Baseboard,Central,No Data,871 sqft,"$1,418",Great solar potentialSun Number™: 88.78,"$14,499","$11,425/mo",$0/mo,"$2,049/mo","$1,025/mo",$0/mo,Not included
"76 Elm St APT 403, Boston, MA 02130",https://www.zillow.com/homedetails/76-Elm-St-APT-403-Boston-MA-02130/90137259_zpid/,"$429,000",Condo for sale,780 sqft,1 bd,1 ba,"$453,181",Condo,1926,Forced air,Central,1 space,$522/month,$550,Great solar potentialSun Number™: 94.38,"$2,557","$1,585/mo",$0/mo,$300/mo,$150/mo,$522/mo,Not included
"186 Commonwealth Ave APT 72, Boston, MA 02116",https://www.zillow.com/homedetails/186-Commonwealth-Ave-APT-72-Boston-MA-02116/59176630_zpid/,"$1,649,000",For sale by owner,"1,237 sqft",2 bds,2 ba,"$1,517,857",Condo,1880,Forced air,Central,None,$489/month,"$1,333",Great solar potentialSun Number™: 87.98,"$8,656","$6,436/mo",$0/mo,"$1,154/mo",$577/mo,$489/mo,Not included
"7 Willow St, Boston, MA 02108",https://www.zillow.com/homedetails/7-Willow-St-Boston-MA-02108/59166258_zpid/,"$2,927,500",House for sale,"2,065 sqft",3 bds,3 ba,"$2,822,759",Single Family,1890,Baseboard,Central,No Data,871 sqft,"$1,418",Great solar potentialSun Number™: 88.78,"$14,499","$11,425/mo",$0/mo,"$2,049/mo","$1,025/mo",$0/mo,Not included
"356-358 Main St UNIT 32, Boston, MA 02129",https://www.zillow.com/homedetails/356-358-Main-St-UNIT-32-Boston-MA-02129/59098281_zpid/,"$525,000",Condo for sale,"1,095 sqft",2 bds,2 ba,"$510,270",Condo,1900,Heat pump,Central,No Data,$401/month,$479,Candidate for a community solar programSun Number™: 22.38,"$2,892","$1,940/mo",$0/mo,$368/mo,$184/mo,$401/mo,Not included
"11 Ruthven St # 2, Boston, MA 02121",https://www.zillow.com/homedetails/11-Ruthven-St-2-Boston-MA-02121/2082091864_zpid/,"$440,000",Condo for sale,"1,383 sqft",4 bds,2 ba,"$440,694",Condo,2018,Forced air,Central,No Data,$203/month,$318,,"$2,291","$1,626/mo",$0/mo,$308/mo,$154/mo,$203/mo,Not included
"217 Boylston St # 2, Boston, MA 02130",https://www.zillow.com/homedetails/217-Boylston-St-2-Boston-MA-02130/67096288_zpid/,"$365,000",Condo for sale,562 sqft,2 bds,1 ba,"$371,821",Condo,1905,Baseboard,None,On street,$200/month,$649,Great solar potentialSun Number™: 89.58,"$1,932","$1,348/mo",$0/mo,$256/mo,$128/mo,$200/mo,Not included
"61 Cummins Hwy # 2, Boston, MA 02131",https://www.zillow.com/homedetails/61-Cummins-Hwy-2-Boston-MA-02131/81775911_zpid/,"$449,000",Condo for sale,"1,055 sqft",2 bds,1 ba,"$467,467",Condo,1905,Forced air,No Data,1 space,$210/month,$426,Great solar potentialSun Number™: 87.38,"$2,340","$1,659/mo",$0/mo,$314/mo,$157/mo,$210/mo,Not included
"1137 Adams St, Boston, MA 02124",https://www.zillow.com/homedetails/1137-Adams-St-Boston-MA-02124/59118255_zpid/,"$899,000",House for sale,"2,518 sqft",4 bds,2 ba,"$880,139",Single Family,1925,Other,No Data,1 space,0.31 acres,$357,Great solar potentialSun Number™: 81.8,"$4,453","$3,509/mo",$0/mo,$629/mo,$315/mo,$0/mo,Not included
"11 Rutland Sq, Boston, MA 02118",https://www.zillow.com/homedetails/11-Rutland-Sq-Boston-MA-02118/59183310_zpid/,"$6,750,000",House for sale,"4,339 sqft",5 bds,5 ba,"$6,514,010",Single Family,1860,"Other, Radiant",Central,2 spaces,"1,306 sqft","$1,556",Great solar potentialSun Number™: 79.18,"$33,431","$26,344/mo",$0/mo,"$4,725/mo","$2,363/mo",$0/mo,Not included
"198 Allston St UNIT 3, Brighton, MA 02135",https://www.zillow.com/homedetails/198-Allston-St-UNIT-3-Brighton-MA-02135/59091342_zpid/,"$219,900",Condo for sale,318 sqft,1 bd,1 ba,,Condo,1918,Baseboard,None,No Data,$193/month,$692,Great solar potentialSun Number™: 87.98,"$1,269",$845/mo,$0/mo,$154/mo,$77/mo,$193/mo,Not included
"19 Revere St APT 6, Boston, MA 02114",https://www.zillow.com/homedetails/19-Revere-St-APT-6-Boston-MA-02114/59174077_zpid/,"$599,000",Condo for sale,539 sqft,2 bds,1 ba,"$595,406",Condo,1899,Baseboard,No Data,On street,$434/month,"$1,111",Great solar potentialSun Number™: 89.81,"$3,279","$2,216/mo",$0/mo,$419/mo,$210/mo,$434/mo,Not included
"95 Leland Rd, Boston, MA 02130",https://www.zillow.com/homedetails/95-Leland-Rd-Boston-MA-02130/59153707_zpid/,"Est. $482,952",Pre-foreclosure,"1,824 sqft",4 bds,3 ba,"$652,638",Single Family,1938,Other,None,2 spaces,"7,840 sqft",,Great solar potentialSun Number™: 71.98,"$2,294","$1,787/mo",$0/mo,$338/mo,$169/mo,$0/mo,Not included
"288 Marginal St # 3, East Boston, MA 02128",https://www.zillow.com/homedetails/288-Marginal-St-3-East-Boston-MA-02128/295325471_zpid/,"$799,000",Condo for sale,"1,052 sqft",2 bds,2 ba,"$786,455",Condo,2017,Forced air,Central,No Data,$472/month,$760,,"$4,267","$2,956/mo",$0/mo,$559/mo,$280/mo,$472/mo,Not included
"2606 Centre St, Boston, MA 02132",https://www.zillow.com/homedetails/2606-Centre-St-Boston-MA-02132/81854466_zpid/,"$775,000",House for sale,"2,500 sqft",4 bds,3 ba,"$764,869",Single Family,2006,Forced air,Central,Attached Garage,"9,583 sqft",$310,Candidate for a community solar programSun Number™: 22.94,"$3,681","$2,867/mo",$0/mo,$543/mo,$271/mo,$0/mo,Not included
"23 Mountain Ave # 23A, Dorchester, MA 02124",https://www.zillow.com/homedetails/23-Mountain-Ave-23A-Dorchester-MA-02124/2083067888_zpid/,"$300,000",Coming soon,"1,109 sqft",3 bds,1 ba,"$345,078",Single Family,No Data,No Data,No Data,No Data,No Data,$271,,"$1,423","$1,108/mo",$0/mo,$210/mo,$105/mo,$0/mo,Not included
"12 Glenville Ave # A, Allston, MA 02134",https://www.zillow.com/homedetails/12-Glenville-Ave-A-Allston-MA-02134/59088091_zpid/,"$500,000",Condo for sale,950 sqft,3 bds,2 ba,"$492,673",Condo,1910,"Other, Radiant",Central,Off street,$340/month,$526,Great solar potentialSun Number™: 93.58,"$2,712","$1,847/mo",$0/mo,$350/mo,$175/mo,$340/mo,Not included
"180 Commonwealth Ave APT 7, Boston, MA 02116",https://www.zillow.com/homedetails/180-Commonwealth-Ave-APT-7-Boston-MA-02116/59176654_zpid/,"$1,299,000",Condo for sale,"1,070 sqft",2 bds,2 ba,"$1,299,003",Condo,1925,Baseboard,No Data,No Data,$639/month,"$1,214",Great solar potentialSun Number™: 93.58,"$7,073","$5,070/mo",$0/mo,$909/mo,$455/mo,$639/mo,Not included
"2691 Washington St # 2691, Boston, MA 02119",https://www.zillow.com/homedetails/2691-Washington-St-2691-Boston-MA-02119/2082656907_zpid/,"$445,000",Condo for sale,"1,459 sqft",3 bds,3 ba,"$445,002",Condo,2003,Forced air,Central,1 space,$250/month,$305,,"$2,361","$1,644/mo",$0/mo,$312/mo,$156/mo,$250/mo,Not included
"44 Mount Vernon St # 2, Boston, MA 02125",https://www.zillow.com/homedetails/44-Mount-Vernon-St-2-Boston-MA-02125/81853618_zpid/,"$419,000",Condo for sale,698 sqft,2 bds,1 ba,"$414,461",Condo,1905,Other,Central,On street,$193/month,$600,Great solar potentialSun Number™: 94.38,"$2,181","$1,548/mo",$0/mo,$293/mo,$147/mo,$193/mo,Not included
"55 Bourne St # 55, Jamaica Plain, MA 02130",https://www.zillow.com/homedetails/55-Bourne-St-55-Jamaica-Plain-MA-02130/2082793689_zpid/,"$655,900",Coming soon,"1,646 sqft",4 bds,2 ba,"$998,825",Single Family,No Data,No Data,No Data,No Data,No Data,$398,,"$3,115","$2,427/mo",$0/mo,$459/mo,$230/mo,$0/mo,Not included
"2496 Beacon St, Chestnut Hill, MA 02467",https://www.zillow.com/homedetails/2496-Beacon-St-Chestnut-Hill-MA-02467/59162760_zpid/,"$1,850,000",House for sale,"3,318 sqft",5 bds,4 ba,"$1,850,002",Single Family,1925,Other,None,Detached Garage,0.31 acres,$558,Great solar potentialSun Number™: 91.18,"$9,163","$7,220/mo",$0/mo,"$1,295/mo",$648/mo,$0/mo,Not included
"36 Joy Ct, Boston, MA 02114",https://www.zillow.com/homedetails/36-Joy-Ct-Boston-MA-02114/2130482141_zpid/,"$2,299,000",House for sale,"2,400 sqft",3 bds,4 ba,"$2,216,745",Single Family,1850,Forced air,Other,No Data,"2,178 sqft",$958,,"$11,387","$8,973/mo",$0/mo,"$1,609/mo",$805/mo,$0/mo,Not included
"7 Hunnewell Ave # 2, Boston, MA 02135",https://www.zillow.com/homedetails/7-Hunnewell-Ave-2-Boston-MA-02135/2119420447_zpid/,"$499,900",Condo for sale,950 sqft,3 bds,1 ba,"$500,456",Condo,1925,Forced air,Central,On street,$255/month,$526,,"$2,627","$1,847/mo",$0/mo,$350/mo,$175/mo,$255/mo,Not included
"8 Saint Peter St # 3, Boston, MA 02130",https://www.zillow.com/homedetails/8-Saint-Peter-St-3-Boston-MA-02130/71488488_zpid/,"$525,000",Condo for sale,931 sqft,2 bds,1 ba,"$548,507",Condo,1905,Other,None,2 spaces,$158/month,$564,Candidate for a community solar programSun Number™: 22.38,"$2,649","$1,940/mo",$0/mo,$368/mo,$184/mo,$158/mo,Not included
"1 Franklin St PH 3A, Boston, MA 02110",https://www.zillow.com/homedetails/1-Franklin-St-PH-3A-Boston-MA-02110/2083616716_zpid/,"$12,500,000",Condo for sale,"4,172 sqft",3 bds,5 ba,"$11,780,658",Condo,2016,Forced air,Central,No Data,"$6,002/month","$2,996",Great solar potentialSun Number™: 94.38,"$67,912","$48,785/mo",$0/mo,"$8,750/mo","$4,375/mo","$6,002/mo",Not included
"150 Staniford St APT 520, Boston, MA 02114",https://www.zillow.com/homedetails/150-Staniford-St-APT-520-Boston-MA-02114/2146427940_zpid/,"$699,000",Condo for sale,"1,131 sqft",2 bds,1 ba,"$697,959",Condo,1997,Forced air,Central,No Data,$138/month,$618,,"$3,458","$2,586/mo",$0/mo,$489/mo,$245/mo,$138/mo,Not included
"99 Chestnut Hill Ave APT 220, Boston, MA 02135",https://www.zillow.com/homedetails/99-Chestnut-Hill-Ave-APT-220-Boston-MA-02135/81857582_zpid/,"$599,000",Condo for sale,897 sqft,2 bds,1 ba,"$599,869",Condo,1924,Forced air,Central,1 space,$453/month,$668,Great solar potentialSun Number™: 90.65,"$3,298","$2,216/mo",$0/mo,$419/mo,$210/mo,$453/mo,Not included
"55 Main St APT 6, Boston, MA 02129",https://www.zillow.com/homedetails/55-Main-St-APT-6-Boston-MA-02129/59101330_zpid/,"$680,000",Condo for sale,758 sqft,2 bds,1 ba,"$666,047",Condo,1850,Forced air,Central,1 space,$204/month,$897,Great solar potentialSun Number™: 91.6,"$3,434","$2,516/mo",$0/mo,$476/mo,$238/mo,$204/mo,Not included
"60 Melrose St # 1, Boston, MA 02116",https://www.zillow.com/homedetails/60-Melrose-St-1-Boston-MA-02116/59165889_zpid/,"$749,000",Townhouse for sale,762 sqft,2 bds,2 ba,"$746,340",Townhouse,1900,Baseboard,Other,On street,762 sqft,$983,Great solar potentialSun Number™: 90.38,"$3,838","$2,771/mo",$0/mo,$524/mo,$262/mo,$280/mo,Not included
"345 Beacon St, Boston, MA 02116",https://www.zillow.com/homedetails/345-Beacon-St-Boston-MA-02116/59170196_zpid/,"$6,690,000",House for sale,"4,997 sqft",5 bds,5 ba,"$6,302,174",Single Family,1873,Forced air,Central,1 space,"1,742 sqft","$1,339",Great solar potentialSun Number™: 92.78,"$33,134","$26,110/mo",$0/mo,"$4,683/mo","$2,342/mo",$0/mo,Not included
