Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"10 Hancock St # 2, Boston, MA 02114","$1,049,000 ",2 bds,1 ba,"1,028 sqft","$1,031,903 ",Condo,1880,Baseboard,No Data,No Data,$513/month,,"$5,706 ","$4,091/mo",$734/mo,$367/mo,$513/mo
"52 Newburg St # 1, Boston, MA 02131","$530,000 ",2 bds,1 ba,"1,325 sqft","$554,780 ",Condo,1914,Forced air,Central,No Data,$215/month,Great solar potentialSun Number™: 94.58,"$2,733 ","$1,961/mo",$371/mo,$186/mo,$215/mo
"177 Beacon St APT 4, Boston, MA 02116","$1,998,500 ",3 bds,3 ba,"1,690 sqft","$1,969,903 ",Condo,1900,Forced air,Central,1 space,$626/month,Great solar potentialSun Number™: 91.18,"$10,519 ","$7,794/mo","$1,399/mo",$699/mo,$626/mo
"21 Welles Ave, Boston, MA 02124","$999,000 ",8 bds,3 ba,"3,859 sqft","$979,282 ",Multi Family,1923,Forced air,None,4 spaces,$259 ,Great solar potentialSun Number™: 84.2,"$4,945 ","$3,896/mo",$699/mo,$350/mo,$0/mo
"11 Parker St # 1, Boston, MA 02129","$599,000 ",2 bds,2 ba,940 sqft,"$590,886 ",Condo,1900,Forced air,Central,1 space,$185/month,Great solar potentialSun Number™: 84.4,"$3,027 ","$2,214/mo",$419/mo,$210/mo,$185/mo
"65 E India Row APT 8C, Boston, MA 02110","$885,000 ",2 bds,2 ba,"1,224 sqft","$878,006 ",Condo,1970,Forced air,Central,No Data,"$1,113/month",Great solar potentialSun Number™: 94.38,"$5,494 ","$3,452/mo",$620/mo,$310/mo,"$1,113/mo"
"159 Cottage St APT 3, East Boston, MA 02128","$329,900 ",1 bd,1 ba,578 sqft,"$321,652 ",Condo,1905,Other,None,1 space,$190/month,Great solar potentialSun Number™: 93.8,"$1,757 ","$1,221/mo",$231/mo,$115/mo,$190/mo
"28 Larch St # 28, Boston, MA 02135","$580,000 ",3 bds,2 ba,"1,700 sqft","$584,867 ",Condo,1930,Baseboard,Other,On street,$12/month,,"$2,764 ","$2,143/mo",$406/mo,$203/mo,$12/mo
"99 Fulton St APT 1-3, Boston, MA 02109","$915,000 ",3 bds,2 ba,"1,225 sqft","$886,723 ",Condo,1979,Forced air,Wall,No Data,$246/month,Great solar potentialSun Number™: 94.38,"$4,775 ","$3,569/mo",$641/mo,$320/mo,$246/mo
"15 Melrose St # 1, Boston, MA 02116","$1,444,000 ",2 bds,2 ba,"1,250 sqft","$1,428,528 ",Condo,1910,Radiant,Central,No Data,$166/month,Great solar potentialSun Number™: 90.38,"$7,314 ","$5,632/mo","$1,011/mo",$505/mo,$166/mo
"21 Beaver Pl, Boston, MA 02108","$10,750,000 ",5 bds,5 ba,"5,000 sqft","$10,173,697 ",Condo,1900,Forced air,Central,4 spaces,"$1,200/month",Great solar potentialSun Number™: 94.38,"$54,413 ","$41,925/mo","$7,525/mo","$3,763/mo","$1,200/mo"
"545 E 3rd St # 2, Boston, MA 02127","$759,900 ",2 bds,4 ba,948 sqft,"$749,966 ",Condo,2019,Forced air,Central,"Off street, On street",$325/month,,"$3,931 ","$2,808/mo",$532/mo,$266/mo,$325/mo
"15 Saint George St APT 5, Boston, MA 02118","$599,000 ",2 bds,1 ba,625 sqft,"$595,378 ",Condo,1899,Baseboard,No Data,1 space,$200/month,Great solar potentialSun Number™: 93.58,"$3,042 ","$2,214/mo",$419/mo,$210/mo,$200/mo
"6 Wyman St # 2, Boston, MA 02130","$585,000 ",3 bds,2 ba,"1,008 sqft","$607,967 ",Condo,1905,Forced air,Central,No Data,$275/month,Great solar potentialSun Number™: 92.78,"$3,051 ","$2,162/mo",$410/mo,$205/mo,$275/mo
"28 Sidlaw Rd APT 15, Boston, MA 02135","$399,000 ",1 bd,1 ba,574 sqft,"$393,060 ",Condo,1925,Baseboard,None,No Data,$347/month,Great solar potentialSun Number™: 78.65,"$2,242 ","$1,476/mo",$279/mo,$140/mo,$347/mo
