Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"4289 Mcclatchey Cir NE, Atlanta, GA 30342","$599,900 ",4 bds,3 ba,"3,547 sqft","$575,165 ",Single Family,1964,Forced air,Central,No Data,0.67 acres,Candidate for a community solar programSun Number™: 20.21,"$2,950 ","$2,205/mo",$535/mo,$210/mo,$0/mo
"305 Goodson Ln NW, Atlanta, GA 30309","$469,900 ",3 bds,3 ba,"1,862 sqft","$461,261 ",Townhouse,2011,Forced air,Central,2 spaces,871 sqft,Great solar potentialSun Number™: 83.41,"$2,514 ","$1,725/mo",$419/mo,$164/mo,$206/mo
"650 Courtenay Dr NE, Atlanta, GA 30306","$1,099,000 ",4 bds,4 ba,"3,100 sqft",,Single Family,2016,Forced air,Central,Off street,0.26 acres,Candidate for a community solar programSun Number™: 20.23,"$5,654 ","$4,290/mo",$980/mo,$385/mo,$0/mo
"1210 Lavista Cir NE, Atlanta, GA 30324","$475,000 ",3 bds,4 ba,"3,300 sqft","$463,785 ",Townhouse,2011,Forced air,Central,2 spaces,"1,306 sqft",Great solar potentialSun Number™: 92.21,"$2,583 ","$1,743/mo",$424/mo,$166/mo,$250/mo
"775 Stovall Blvd NE, Atlanta, GA 30342","$469,000 ",3 bds,2 ba,"1,780 sqft",,Single Family,1948,Forced air,Central,1 space,0.52 acres,Candidate for a community solar programSun Number™: 20.21,"$2,304 ","$1,721/mo",$418/mo,$164/mo,$0/mo
"714 Grant Ter SE, Atlanta, GA 30315","$180,000 ",3 bds,1 ba,960 sqft,,Single Family,1990,Forced air,Central,No Data,"3,484 sqft","{""targetDiv"":""gpt-ad-84ebeaf8-1f43-46f7-9faa-4d4bb6ef2701"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""30315"",""aamgnrc1"":""714 Grant Ter SE"",""mlat"":""33.735075"",""bd"":""3"",""fsbid"":""15858"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvs9j1p2sdry41000000000.jpg"",""zusr"":""true"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35882241"",""hood"":""Grant_Park"",""yrblt"":""1990-1999"",""lot"":""1"",""listtp"":""buy_foreclosure"",""stale"":""yes"",""zguidh"":""7616695064555000644"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""180000"",""sqft"":""960"",""posting_url"":""http://www.bhhsgeorgia.com/mls=FRM6586257?s=zillow"",""mlong"":""-84.37967"",""state"":""GA"",""prange"":""150-199k""}}",$916 ,$693/mo,$161/mo,$63/mo,$0/mo
"964 Hall Pl NW, Atlanta, GA 30318","$399,000 ",3 bds,2 ba,"1,498 sqft","$393,237 ",Single Family,1930,Forced air,Central,Off street,"7,492 sqft",Limited solar potentialSun Number™: 55.42,"$1,960 ","$1,465/mo",$356/mo,$140/mo,$0/mo
"1057 Ferncliff Rd NE, Atlanta, GA 30324","$615,000 ",3 bds,2 ba,"1,336 sqft","$587,185 ",Single Family,1954,Other,Central,2 spaces,1.15 acres,Limited solar potentialSun Number™: 55.41,"$3,164 ","$2,401/mo",$548/mo,$215/mo,$0/mo
"32 Whitehouse Dr SW, Atlanta, GA 30314","$239,900 ",3 bds,2 ba,"1,550 sqft","$234,928 ",Single Family,1930,Forced air,Central,2 spaces,"5,009 sqft",Great solar potentialSun Number™: 92.22,"$1,221 ",$923/mo,$214/mo,$84/mo,$0/mo
"478 Hamilton St SE, Atlanta, GA 30316","$799,000 ",4 bds,4 ba,"3,232 sqft","$781,322 ",Single Family,2005,Forced air,Central,4 spaces,"3,920 sqft",Great solar potentialSun Number™: 92.23,"$4,252 ","$3,119/mo",$712/mo,$280/mo,$141/mo
"993 Albion Ave NE, Atlanta, GA","$934,900 ",4 bds,3 ba,"2,228 sqft","$919,823 ",Single Family,2019,No Data,No Data,2 spaces,"4,443 sqft",,"$4,810 ","$3,649/mo",$834/mo,$327/mo,$0/mo
"232 Midvale Dr NE, Atlanta, GA 30342","$750,000 ",4 bds,3 ba,"3,186 sqft",,Single Family,1945,Forced air,Central,"Carport, Detached Garage","9,583 sqft",Great solar potentialSun Number™: 92.21,"$3,859 ","$2,927/mo",$669/mo,$263/mo,$0/mo
"1310 N Highland Ave NE, Atlanta, GA 30306","$1,199,000 ",5 bds,3 ba,"3,364 sqft",,Single Family,1928,Forced air,Central,3 spaces,"8,276 sqft",Great solar potentialSun Number™: 76.23,"$6,169 ","$4,680/mo","$1,069/mo",$420/mo,$0/mo
"686 Alex Way SW, Atlanta, GA 30331","$123,000 ",3 bds,2 ba,"1,042 sqft","$118,241 ",Single Family,1986,Forced air,Central,Attached Garage,0.5 acres,Good solar potentialSun Number™: 67.41,$658 ,$506/mo,$110/mo,$43/mo,$0/mo
"415 Westchester Blvd NW, Atlanta, GA 30314","$167,000 ",5 bds,4 ba,"2,304 sqft","$163,708 ",Single Family,2007,Forced air,Central,Attached Garage,"6,708 sqft",Candidate for a community solar programSun Number™: 20.22,$850 ,$643/mo,$149/mo,$58/mo,$0/mo
"692 Highland Ave NE, Atlanta, GA 30312","$1,099,000 ",3 bds,3 ba,"1,564 sqft",,Single Family,1930,Forced air,Central,Off street,"7,405 sqft",Great solar potentialSun Number™: 92.23,"$5,654 ","$4,290/mo",$980/mo,$385/mo,$0/mo
"771 Norwood Rd SE, Atlanta, GA 30315","$189,400 ",3 bds,2 ba,"1,185 sqft","$186,819 ",Single Family,1952,Forced air,Central,2 spaces,"9,191 sqft","{""targetDiv"":""gpt-ad-e6fcf06c-2d96-43ee-bc3e-834060cfbc1f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""771 Norwood Rd SE"",""bd"":""3"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35874659"",""lot"":""2"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""-7709476444627125498"",""sqftrange"":""1000-1499"",""price"":""189400"",""sqft"":""1185"",""posting_url"":"""",""mlong"":""-84.364344"",""state"":""GA"",""prange"":""150-199k"",""zip"":""30315"",""mlat"":""33.696735"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb99qopber3l31000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""hood"":""Norwood_Manor"",""yrblt"":""1940-1959"",""zestimate"":""186819"",""premieragent"":""no""}}",$964 ,$729/mo,$169/mo,$66/mo,$0/mo
"1270 Monroe Dr NE, Atlanta, GA 30306","$599,900 ",3 bds,2 ba,"1,580 sqft",,Single Family,1930,Forced air,Central,4 spaces,"7,501 sqft",Candidate for a community solar programSun Number™: 20.23,"$2,950 ","$2,205/mo",$535/mo,$210/mo,$0/mo
"2365 Pine Grove Dr NW, Atlanta, GA 30318","$525,000 ",4 bds,3 ba,"2,408 sqft","$509,339 ",Single Family,1998,Heat pump,Central,4 spaces,0.65 acres,Candidate for a community solar programSun Number™: 20.21,"$2,579 ","$1,927/mo",$468/mo,$184/mo,$0/mo
"3621 Wartrace Dr, South Fulton, GA","$254,990 ",4 bds,3 ba,"2,176 sqft","$244,790 ",Single Family,2019,Forced air,Central,Attached Garage,"8,451 sqft",,"$1,298 ",$936/mo,$227/mo,$89/mo,$45/mo
"20 Mayson Ave NE, Atlanta, GA 30317","$419,900 ",4 bds,3 ba,"1,940 sqft","$419,900 ",Single Family,2003,No Data,Central,No Data,"4,356 sqft",Great solar potentialSun Number™: 79.43,"$2,077 ","$1,541/mo",$388/mo,$147/mo,$0/mo
"811 Brookridge Dr NE, Atlanta, GA 30306","$755,000 ",4 bds,3 ba,"2,660 sqft","$736,820 ",Single Family,1930,Forced air,Central,1 space,"8,415 sqft",Candidate for a community solar programSun Number™: 20.23,"$3,884 ","$2,947/mo",$673/mo,$264/mo,$0/mo
"2464 Woodward Way NW, Atlanta, GA 30305","$2,895,000 ",4 bds,7 ba,"5,508 sqft","$2,702,135 ",Single Family,1947,Forced air,Central,2 spaces,0.65 acres,Limited solar potentialSun Number™: 52.21,"$14,895 ","$11,300/mo","$2,581/mo","$1,013/mo",$0/mo
"2410 Larchwood Rd SW, Atlanta, GA 30310","$90,000 ",2 bds,1 ba,997 sqft,"$112,451 ",Single Family,1925,None,No Data,8 spaces,0.51 acres,Great solar potentialSun Number™: 76.22,$482 ,$370/mo,$80/mo,$32/mo,$0/mo
"1765 Garraux Pl NW, Atlanta, GA 30327","$2,850,000 ",6 bds,9 ba,"9,956 sqft",,Single Family,1987,Forced air,Central,Attached Garage,3.5 acres,Great solar potentialSun Number™: 92.21,"$14,663 ","$11,124/mo","$2,541/mo",$998/mo,$0/mo
"219 Degress Ave NE, Atlanta, GA 30307","$569,999 ",2 bds,2 ba,"1,490 sqft",,Single Family,1920,Forced air,Central,No Data,"3,123 sqft",Candidate for a community solar programSun Number™: 20.23,"$2,803 ","$2,095/mo",$508/mo,$199/mo,$0/mo
"3128 E Wood Valley Rd NW, Atlanta, GA 30327","$999,999 ",5 bds,5 ba,"4,698 sqft","$963,341 ",Single Family,2003,Forced air,Central,No Data,0.69 acres,Candidate for a community solar programSun Number™: 35.41,"$5,145 ","$3,903/mo",$892/mo,$350/mo,$0/mo
"867 Myrtle St NE, Atlanta, GA 30308","$1,199,000 ",4 bds,5 ba,"3,800 sqft","$1,163,159 ",Single Family,1920,Other,Central,1 space,"7,405 sqft",Good solar potentialSun Number™: 68.23,"$6,169 ","$4,680/mo","$1,069/mo",$420/mo,$0/mo
"1400 Wesley Oaks Ct NW, Atlanta, GA 30327","$1,249,000 ",5 bds,6 ba,"6,092 sqft","$1,178,132 ",Single Family,1997,Forced air,Central,No Data,0.41 acres,Great solar potentialSun Number™: 90.61,"$6,426 ","$4,875/mo","$1,114/mo",$437/mo,$0/mo
"1600 Westwood Ave SW, Atlanta, GA 30310","$252,000 ",7 bds,3 ba,"1,800 sqft","$241,714 ",Single Family,1930,Forced air,Central,No Data,"9,931 sqft",Great solar potentialSun Number™: 86.62,"$1,238 ",$925/mo,$225/mo,$88/mo,$0/mo
"422 Glen Iris Dr NE, Atlanta, GA 30308","$899,000 ",4 bds,3 ba,"2,792 sqft","$882,654 ",Single Family,2015,Gas,Central,4 spaces,"7,270 sqft",Great solar potentialSun Number™: 77.03,"$4,625 ","$3,509/mo",$802/mo,$315/mo,$0/mo
"18 Peachtree Ave NE APT 2, Atlanta, GA 30305","$715,000 ",3 bds,4 ba,#NAME?,"$698,703 ",Townhouse,2016,Forced air,Central,3 spaces,"1,045 sqft",,"$3,714 ","$2,791/mo",$638/mo,$250/mo,$35/mo
"150 Dahlgren St SE, Atlanta, GA","$699,000 ",4 bds,3 ba,"2,596 sqft",,Single Family,2019,Forced air,Central,2 spaces,"5,100 sqft",Great solar potentialSun Number™: 89.03,"$3,620 ","$2,728/mo",$647/mo,$245/mo,$0/mo
"180 Sewanee Ave NW, Atlanta, GA 30314","$60,000 ",3 bds,1 ba,900 sqft,,Single Family,1956,Other,Central,No Data,"7,501 sqft",Candidate for a community solar programSun Number™: 20.22,$321 ,$247/mo,$54/mo,$21/mo,$0/mo
"4055 N Ivy Rd NE, Atlanta, GA","$1,800,000 ",5 bds,5 ba,"5,100 sqft","$1,753,910 ",Single Family,2019,Forced air,Central,1 space,0.36 acres,"{""targetDiv"":""gpt-ad-47b942d6-26a8-4005-80ba-ecbbf412e9ab"",""slot"":""zillow/property_details/buy_new_home/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4055 N Ivy Rd NE"",""bd"":""5"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35927863"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_new_home"",""stale"":""yes"",""zguidh"":""-4594345545397271973"",""sqftrange"":""5000-5999"",""price"":""1800000"",""sqft"":""5100"",""posting_url"":""http://www.muffleyhomes.com"",""mlong"":""-84.365031"",""state"":""GA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""30342"",""mlat"":""33.865893"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyj1y9umk106z0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""North_Buckhead"",""yrblt"":""2010-2019"",""zestimate"":""1753910"",""premieragent"":""no""}}","$9,261 ","$7,026/mo","$1,605/mo",$630/mo,$0/mo
"713 Moreland Ave SE # 3, Atlanta, GA 30316","$524,900 ",3 bds,4 ba,"1,978 sqft","$514,077 ",Townhouse,2019,Heat pump,Central,2 spaces,No Data,,"$2,603 ","$1,927/mo",$468/mo,$184/mo,$25/mo
"1333 Berwick Ave NE, Atlanta, GA","$1,700,000 ",5 bds,4 ba,"3,500 sqft","$1,642,783 ",Single Family,2019,Forced air,Central,Detached Garage,"9,104 sqft",Limited solar potentialSun Number™: 51.43,"$8,746 ","$6,636/mo","$1,516/mo",$595/mo,$0/mo
"2486 Ivydale Dr SW, Atlanta, GA 30311","$199,000 ",3 bds,2 ba,"1,500 sqft",,Single Family,1955,Forced air,Central,No Data,"9,583 sqft",Candidate for a community solar programSun Number™: 20.21,"$1,013 ",$766/mo,$177/mo,$70/mo,$0/mo
"840 Beechwood Ave SW, Atlanta, GA 30310","$379,000 ",3 bds,3 ba,"1,700 sqft","$371,554 ",Single Family,2004,Forced air,Central,2 spaces,"5,797 sqft",Great solar potentialSun Number™: 79.42,"$1,862 ","$1,391/mo",$338/mo,$133/mo,$0/mo
"2166 Wingate St SW, Atlanta, GA 30310","$83,900 ",3 bds,2 ba,588 sqft,,Single Family,1945,Forced air,Central,No Data,"9,975 sqft",Candidate for a community solar programSun Number™: 20.22,$449 ,$345/mo,$75/mo,$29/mo,$0/mo
"2354 Burroughs Ave SE, Atlanta, GA 30315","$215,000 ",3 bds,2 ba,"1,236 sqft","$211,284 ",Single Family,1920,Forced air,Central,2 spaces,0.25 acres,Limited solar potentialSun Number™: 52.22,"$1,094 ",$828/mo,$192/mo,$75/mo,$0/mo
"1480 Monroe Dr NE, Atlanta, GA 30324","$599,000 ",3 bds,3 ba,"2,000 sqft","$590,769 ",Single Family,1930,Forced air,Central,4 spaces,"7,501 sqft",Limited solar potentialSun Number™: 54.63,"$2,945 ","$2,201/mo",$534/mo,$210/mo,$0/mo
"1450 Lanier Pl NE, Atlanta, GA","$1,694,500 ",6 bds,7 ba,"4,830 sqft","$1,649,451 ",Single Family,2019,Forced air,Central,2 spaces,"8,189 sqft",Great solar potentialSun Number™: 79.43,"$8,721 ","$6,617/mo","$1,511/mo",$593/mo,$0/mo
"114 Lindbergh Dr NE, Atlanta, GA 30305","$1,328,000 ",4 bds,6 ba,"4,424 sqft","$1,281,544 ",Single Family,1996,Forced air,Central,4 spaces,0.34 acres,Great solar potentialSun Number™: 77.81,"$6,851 ","$5,186/mo","$1,184/mo",$465/mo,$16/mo
"334 Dargan Pl SW, Atlanta, GA 30310","$310,000 ",3 bds,3 ba,"1,696 sqft","$301,870 ",Single Family,1920,Forced air,Central,1 space,"5,227 sqft",Great solar potentialSun Number™: 72.22,"$1,523 ","$1,138/mo",$276/mo,$109/mo,$0/mo
"400 Lindbergh Dr NE, Atlanta, GA 30305","$370,000 ",3 bds,2 ba,"1,089 sqft","$359,945 ",Single Family,1953,Forced air,Central,No Data,0.27 acres,Great solar potentialSun Number™: 73.01,"$1,818 ","$1,358/mo",$330/mo,$130/mo,$0/mo
"3851 Club Dr NE, Atlanta, GA 30319","$2,300,000 ",6 bds,6 ba,"8,191 sqft","$2,128,387 ",Single Family,2006,Forced air,Central,Attached Garage,1.17 acres,Great solar potentialSun Number™: 77.01,"$11,838 ","$8,982/mo","$2,051/mo",$805/mo,$0/mo
"3707 Randall Mill Rd NW, Atlanta, GA 30327","$1,100,000 ",4 bds,5 ba,"3,160 sqft","$1,048,703 ",Single Family,1954,"Forced air, Other","Central, Other",2 spaces,1.74 acres,Candidate for a community solar programSun Number™: 20.21,"$5,661 ","$4,296/mo",$981/mo,$385/mo,$0/mo
"1770 Flagler Ave NE, Atlanta, GA 30309","$775,000 ",3 bds,3 ba,"3,549 sqft","$754,155 ",Single Family,1930,Forced air,Central,3 spaces,"9,670 sqft",Great solar potentialSun Number™: 84.21,"$4,005 ","$3,026/mo",$691/mo,$271/mo,$16/mo
"1719 Niskey Lake Rd SW, Atlanta, GA 30331","$375,000 ",5 bds,5 ba,"4,034 sqft","$364,246 ",Single Family,2004,Forced air,Central,Attached Garage,1.1 acres,Great solar potentialSun Number™: 92.21,"$1,842 ","$1,377/mo",$334/mo,$131/mo,$0/mo
"211 Peters St SW, Atlanta, GA 30313","$2,695,000 ",3 bds,5 ba,"16,200 sqft",,Single Family,1910,Forced air,Central,No Data,0.27 acres,Great solar potentialSun Number™: 90.62,"$13,871 ","$10,524/mo","$2,403/mo",$943/mo,$0/mo
"3765 Paces Rdg NW, Atlanta, GA 30327","$3,373,000 ",6 bds,9 ba,"8,821 sqft","$3,142,319 ",Single Family,2002,Heat pump,Central,Attached Garage,2.01 acres,Great solar potentialSun Number™: 92.21,"$17,360 ","$13,172/mo","$3,008/mo","$1,181/mo",$0/mo
"Ashley Plan, Summit At Stonewall Tell","$334,990+",4 bds,3 ba,"3,138 sqft","$321,426 ",Single Family,2019,No Data,No Data,2 spaces,No Data,Great solar potentialSun Number™: 92.23,"$1,646 ",,,,
"Ansley Plan, Hampshire Park","$196,300+",3 bds,3 ba,"1,663 sqft","$192,662 ",Single Family,2019,No Data,No Data,1 space,No Data,,$999 ,,,,
"800 Fulton Ter SE, Atlanta, GA 30316","$585,000 ",3 bds,3 ba,"1,850 sqft","$570,022 ",Single Family,1920,Forced air,Central,Detached Garage,"2,613 sqft",Great solar potentialSun Number™: 90.63,"$2,876 ","$2,150/mo",$522/mo,$205/mo,$0/mo
"691 Darlington Rd NE, Atlanta, GA 30305","$1,099,000 ",5 bds,5 ba,"4,632 sqft","$1,062,011 ",Single Family,2005,Forced air,Central,4 spaces,0.68 acres,Candidate for a community solar programSun Number™: 20.21,"$5,656 ","$4,292/mo",$980/mo,$385/mo,$0/mo
"3776 Powers Ferry Rd NW, Atlanta, GA 30342","$525,000 ",3 bds,2 ba,"2,191 sqft","$502,115 ",Single Family,1939,Forced air,Central,4 spaces,0.55 acres,Candidate for a community solar programSun Number™: 20.21,"$2,579 ","$1,927/mo",$468/mo,$184/mo,$0/mo
"4402 Whitewater Creek Rd NW, Atlanta, GA 30327","$1,750,000 ",5 bds,7 ba,"6,863 sqft","$1,666,094 ",Single Family,1963,Forced air,Central,6 spaces,1.69 acres,Great solar potentialSun Number™: 77.81,"$9,007 ","$6,834/mo","$1,560/mo",$613/mo,$0/mo
"3070 Mabry Rd NE, Brookhaven, GA 30319","$1,000,000 ",4 bds,3 ba,"4,300 sqft","$967,741 ",Single Family,1999,Forced air,Central,2 spaces,0.8 acres,Great solar potentialSun Number™: 84.21,"$5,147 ","$3,905/mo",$892/mo,$350/mo,$0/mo
"301 Englewood Ave SE, Atlanta, GA 30315","$365,900 ",3 bds,3 ba,"2,332 sqft","$360,976 ",Single Family,2004,Forced air,Central,1 space,"9,452 sqft",Great solar potentialSun Number™: 92.23,"$1,798 ","$1,343/mo",$326/mo,$128/mo,$0/mo
"1764 Springview Rd NW, Atlanta, GA 30314","$205,000 ",3 bds,2 ba,954 sqft,,Single Family,1950,Other,Central,No Data,"9,100 sqft",Great solar potentialSun Number™: 77.82,"$1,044 ",$789/mo,$183/mo,$72/mo,$0/mo
"2820 Waters Rd SW, Atlanta, GA 30354","$115,000 ",3 bds,2 ba,900 sqft,"$110,740 ",Single Family,1920,Forced air,Other,Off street,"8,276 sqft",,$615 ,$473/mo,$103/mo,$40/mo,$0/mo
"3067 Eastbrook Ter SW, Atlanta, GA 30331","$299,950 ",5 bds,3 ba,"2,957 sqft","$314,181 ",Single Family,2007,Forced air,Central,Attached Garage,"10,454 sqft",Great solar potentialSun Number™: 92.23,"$1,524 ","$1,101/mo",$267/mo,$105/mo,$50/mo
"1445 Meridian St SE, Atlanta, GA","$699,900 ",4 bds,4 ba,"3,714 sqft","$670,430 ",Single Family,2019,Forced air,Central,Attached Garage,"7,492 sqft",,"$3,626 ","$2,733/mo",$647/mo,$245/mo,$0/mo
"3060 Browns Mill Rd SE, Atlanta, GA 30354","$239,900 ",3 bds,3 ba,"1,700 sqft","$230,866 ",Single Family,1965,Forced air,None,No Data,"10,497 sqft",Candidate for a community solar programSun Number™: 20.22,"$1,221 ",$923/mo,$214/mo,$84/mo,$0/mo
"1094 Alta Ave NE, Atlanta, GA 30307","$1,120,000 ",5 bds,3 ba,"3,532 sqft","$1,069,346 ",Single Family,1920,Forced air,Central,2 spaces,"7,492 sqft",Great solar potentialSun Number™: 80.23,"$5,764 ","$4,374/mo",$999/mo,$392/mo,$0/mo
"807 Lake Ave NE, Atlanta, GA 30307","$799,900 ",3 bds,2 ba,"1,431 sqft","$789,409 ",Single Family,1920,Forced air,Central,2 spaces,"4,948 sqft",Great solar potentialSun Number™: 75.43,"$4,117 ","$3,124/mo",$713/mo,$280/mo,$0/mo
"460 Andrew J Hairston Pl NW, Atlanta, GA 30318","$95,000 ",5 bds,2 ba,"1,980 sqft",,Single Family,1940,Other,Other,No Data,"4,800 sqft",,$508 ,$390/mo,$85/mo,$33/mo,$0/mo
"1092 Hobson St SW, Atlanta, GA 30310","$224,900 ",3 bds,2 ba,"1,044 sqft","$219,601 ",Single Family,1930,Forced air,Central,4 spaces,"5,924 sqft",Candidate for a community solar programSun Number™: 20.22,"$1,145 ",$866/mo,$201/mo,$79/mo,$0/mo
"1132 Richland Rd SW, Atlanta, GA 30310","$195,000 ",3 bds,2 ba,"1,120 sqft","$191,140 ",Single Family,1925,Other,Central,On street,"8,755 sqft",Candidate for a community solar programSun Number™: 20.22,$993 ,$751/mo,$174/mo,$68/mo,$0/mo
"597 Pickett St SE, Atlanta, GA 30316","$670,000 ",4 bds,3 ba,"2,395 sqft","$654,847 ",Single Family,2002,Forced air,Central,2 spaces,"4,094 sqft","{""targetDiv"":""gpt-ad-a7611186-7fcc-4168-b0c9-7e139a892444"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""597 Pickett St SE"",""bd"":""4"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""65460969"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-4345391058238261870"",""sqftrange"":""2000-2499"",""price"":""670000"",""oh"":""yes"",""sqft"":""2395"",""posting_url"":""http://www.rootsatlanta.com"",""mlong"":""-84.367694"",""state"":""GA"",""prange"":""600-699k"",""zip"":""30316"",""mlat"":""33.748717"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7uud4foyqkrl0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Cabbagetown"",""yrblt"":""2000-2009"",""zestimate"":""654847"",""premieragent"":""no""}}","$3,448 ","$2,616/mo",$597/mo,$235/mo,$0/mo
"405 Fairburn Rd SW APT 90, Atlanta, GA 30331","$35,000 ",2 bds,1 ba,#NAME?,,Townhouse,1970,Forced air,Central,No Data,No Data,,$641 ,$144/mo,$31/mo,$12/mo,$454/mo
"4473 Jett Rd NW, Atlanta, GA 30327","$675,000 ",3 bds,3 ba,"1,920 sqft","$647,999 ",Single Family,1945,Forced air,Central,2 spaces,0.47 acres,Candidate for a community solar programSun Number™: 20.21,"$3,474 ","$2,636/mo",$602/mo,$236/mo,$0/mo
"2546 Wrangler Dr SW, Atlanta, GA 30331","Est. $189,938",5 bds,3 ba,"3,486 sqft","$189,938 ",Single Family,2006,Forced air,Central,Attached Garage,0.36 acres,Great solar potentialSun Number™: 88.23,$967 ,$731/mo,$169/mo,$66/mo,$0/mo
"815 Coleman St SW, Atlanta, GA 30310","$209,999 ",3 bds,2 ba,"1,240 sqft","$204,750 ",Single Family,1920,Forced air,Central,2 spaces,"5,797 sqft",Great solar potentialSun Number™: 84.22,"$1,069 ",$808/mo,$187/mo,$73/mo,$0/mo
"10 Habersham Way NW, Atlanta, GA 30305","$3,495,000 ",9 bds,12 ba,"13,986 sqft",,Single Family,1929,Other,Central,8 spaces,1.5 acres,Great solar potentialSun Number™: 91.41,"$17,988 ","$13,648/mo","$3,116/mo","$1,223/mo",$0/mo
"85 Beverly Rd NE, Atlanta, GA 30309","$2,040,000 ",5 bds,6 ba,"5,856 sqft","$1,934,482 ",Single Family,2009,Forced air,Central,2 spaces,0.31 acres,Great solar potentialSun Number™: 92.23,"$10,499 ","$7,966/mo","$1,819/mo",$714/mo,$0/mo
"2393 Montview Dr NW, Atlanta, GA 30305","$860,000 ",4 bds,4 ba,"3,305 sqft","$922,150 ",Single Family,1990,Forced air,Central,2 spaces,0.49 acres,Candidate for a community solar programSun Number™: 20.21,"$4,426 ","$3,358/mo",$767/mo,$301/mo,$0/mo
"1347 W Wesley Rd NW, Atlanta, GA","$2,000,000 ",6 bds,8 ba,"5,500 sqft","$1,899,893 ",Single Family,2019,"Baseboard, Forced air",Central,4 spaces,1.38 acres,Limited solar potentialSun Number™: 53.81,"$10,294 ","$7,810/mo","$1,783/mo",$700/mo,$0/mo
"1664 Homestead Ave NE, Atlanta, GA 30306","$1,125,000 ",4 bds,3 ba,"3,112 sqft",,Single Family,1932,Forced air,Central,Attached Garage,"8,712 sqft",Candidate for a community solar programSun Number™: 20.21,"$5,828 ","$4,393/mo","$1,041/mo",$394/mo,$0/mo
"2628 Church St NW, Atlanta, GA 30318","$299,900 ",3 bds,2 ba,"1,400 sqft","$290,072 ",Single Family,1920,Forced air,Central,No Data,0.34 acres,Limited solar potentialSun Number™: 55.41,"$1,473 ","$1,101/mo",$267/mo,$105/mo,$0/mo
"232 Childs Dr NW, Atlanta, GA 30314","Est. $21,765",3 bds,2 ba,"1,228 sqft","$21,765 ",Single Family,1945,Baseboard,Other,1 space,"6,250 sqft",Limited solar potentialSun Number™: 56.22,$116 ,$89/mo,$19/mo,$8/mo,$0/mo
"2742 Jacanar Ln SW, Atlanta, GA 30331","$535,000 ",4 bds,3 ba,"4,457 sqft","$519,497 ",Single Family,2014,Forced air,Central,No Data,0.58 acres,"{""targetDiv"":""gpt-ad-fb0f660b-8668-4359-8d82-9eb0a4357d3c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2742 Jacanar Ln SW"",""bd"":""4"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""125826120"",""lot"":""4"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-4506563917189435011"",""sqftrange"":""4000-4499"",""price"":""535000"",""sqft"":""4457"",""posting_url"":"""",""mlong"":""-84.585643"",""state"":""GA"",""prange"":""500-599k"",""zip"":""30331"",""mlat"":""33.679284"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvk3dawavd74c1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""519497"",""premieragent"":""no""}}","$2,641 ","$1,964/mo",$477/mo,$187/mo,$12/mo
