Address,Bedrooms,Bathrooms,Area,Zestimate,Year Built,Parking,HL,Monthcost,PI,PT,HI,HF,lat,lng,label,Avgprice,Type_Apartment,Type_Condo,Type_Cooperative,Type_Miscellaneous,Type_Multi Family,Heating_Baseboard,"Heating_Baseboard, Forced air","Heating_Baseboard, Forced air, Other, Radiant","Heating_Baseboard, Heat pump","Heating_Baseboard, Other",Heating_Electric,"Heating_Electric, Gas",Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Heat pump, Wall","Heating_Forced air, Wall",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_Oil,Heating_Other,"Heating_Other, Radiant",Heating_Radiant,Heating_Wall,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Wall",Cooling_No Data,Cooling_None,Cooling_Other,"Cooling_Other, Refrigeration","Cooling_Other, Wall",Cooling_Wall,"Cooling_Wall, Refrigeration"
30309.0,-0.2114667310816606,0.24631361819287126,-0.16334815150090778,-0.8417653287914281,0.8265216200106384,-0.11252363727225055,-0.16629037295445626,-0.41951082597671474,-0.8316468258492649,-0.523356621243904,-0.8054909071333795,-0.08117416027405182,33.799884000000006,-84.385805,2,-0.98114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30324.0,-0.2114667310816606,0.24631361819287126,-0.16647374428510703,-1.248028608064643,0.6695698027503878,-0.24565019404505603,-0.17525588822641885,-0.5892976342578253,-1.1472224109623317,-1.0157788425537357,-1.1755348067779876,-0.0838335176098912,33.818405,-84.358175,47,-1.2044576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30306.0,-0.2114667310816606,1.1260051117388405,-0.14718217570722145,0.24033933917533734,-0.4515146062514019,-0.24565019404505603,-0.03292833328401277,0.1634140738584328,0.26143382403512616,0.843004136985179,0.23579541512237823,-0.041616219903441116,33.789322999999996,-84.35149799999999,37,-0.82536876,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
