Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"948 Margaret Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/948-Margaret-Pl-NW-Atlanta-GA-30318/35921175_zpid/,"$110,000",House for sale,3 bds,1 ba,"1,016 sqft","$129,425",Single Family,1957,Forced air,Central,No Data,0.26 acres,$108,$587
"890 Memorial Dr SE UNIT 102, Atlanta, GA 30316",https://www.zillow.com/homedetails/890-Memorial-Dr-SE-UNIT-102-Atlanta-GA-30316/121353197_zpid/,"$350,000",Condo for sale,2 bds,2 ba,"1,037 sqft","$338,576",Condo,2008,Forced air,Central,No Data,No Data,$338,"$1,719"
"1101 Juniper St NE APT 423, Atlanta, GA 30309",https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-423-Atlanta-GA-30309/55019398_zpid/,"$379,900",Condo for sale,2 bds,2 ba,"1,169 sqft","$353,136",Condo,1999,Forced air,Central,4 spaces,$433/month,$325,"$2,299"
"2184 Willow Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2184-Willow-Ave-NE-Atlanta-GA-30305/35900803_zpid/,"$509,000",House for sale,3 bds,2 ba,"2,100 sqft","$620,458",Single Family,1935,Other,Central,2 spaces,"6,865 sqft",$242,"$2,500"
"800 Peachtree St NE APT 107, Atlanta, GA 30308",https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-107-Atlanta-GA-30308/2088474535_zpid/,"$249,000",Condo for sale,1 bd,1 ba,891 sqft,,Condo,1927,Forced air,Central,No Data,No Data,$279,"$1,268"
"1101 Juniper St NE APT 1008, Atlanta, GA 30309",https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-1008-Atlanta-GA-30309/55019561_zpid/,"$240,000",Condo for sale,1 bd,1 ba,723 sqft,"$223,295",Condo,1999,Forced air,Central,2 spaces,$296/month,$332,"$1,518"
"361 17th St NW UNIT 2016, Atlanta, GA 30363",https://www.zillow.com/homedetails/361-17th-St-NW-UNIT-2016-Atlanta-GA-30363/71756708_zpid/,"$364,900",Condo for sale,2 bds,2 ba,"1,167 sqft","$365,588",Condo,2005,Forced air,Central,Attached Garage,$550/month,$313,"$2,342"
"212 Berean Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/212-Berean-Ave-SE-Atlanta-GA-30316/35862513_zpid/,"$289,000",Condo for sale,2 bds,1 ba,879 sqft,"$277,119",Condo,1964,Forced air,Central,1 space,$158/month,$329,"$1,577"
"1020 Parsons St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1020-Parsons-St-SW-Atlanta-GA-30314/35834699_zpid/,"$285,000",House for sale,3 bds,2 ba,"1,220 sqft",,Single Family,1924,Forced air,Central,No Data,"5,009 sqft",$234,"$1,400"
"2194 Edison Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2194-Edison-Ave-NE-Atlanta-GA-30305/35897155_zpid/,"$1,200,000",For sale by owner,6 bds,6 ba,"3,503 sqft","$1,162,649",Single Family,2007,"Forced air, Other",Central,2 spaces,"10,019 sqft",$343,"$6,089"
"95 Bill Lucas Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/95-Bill-Lucas-Dr-SE-Atlanta-GA-30315/69345545_zpid/,"$399,900",House for sale,3 bds,3 ba,"1,855 sqft",,Single Family,2005,Heat pump,Central,Attached Garage,"2,090 sqft",$216,"$1,964"
"837 Oak St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/837-Oak-St-NW-Atlanta-GA-30318/35856854_zpid/,"$80,000",For sale by owner,2 bds,1 ba,1 sqft,"$71,937",Single Family,1940,Heat pump,Central,No Data,"5,662 sqft","$80,000",$427
"488 Joseph E Lowery Blvd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/488-Joseph-E-Lowery-Blvd-NW-Atlanta-GA-30314/35833812_zpid/,"$89,000",For sale by owner,2 bds,1 ba,853 sqft,"$93,811",Single Family,1930,Forced air,Central,No Data,"6,969 sqft",$104,$475
"2152 Main St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2152-Main-St-NW-Atlanta-GA-30318/35923873_zpid/,"$275,000",House for sale,4 bds,2 ba,"1,472 sqft","$284,156",Single Family,1930,Forced air,Central,Off street,0.44 acres,$187,"$1,351"
"1905 Whittier Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1905-Whittier-Ave-NW-Atlanta-GA-30318/35924087_zpid/,"$330,000",House for sale,2 bds,2 ba,"1,192 sqft","$331,955",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",$277,"$1,621"
"1019 Longley Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1019-Longley-Ave-NW-Atlanta-GA-30318/65442170_zpid/,"$449,000",House for sale,3 bds,3 ba,"2,118 sqft",,Single Family,2000,Forced air,Central,4 spaces,"7,274 sqft",$212,"$2,205"
"77 Peachtree Pl NE UNIT 509, Atlanta, GA 30309",https://www.zillow.com/homedetails/77-Peachtree-Pl-NE-UNIT-509-Atlanta-GA-30309/65469129_zpid/,"$869,900",Condo for sale,2 bds,3 ba,"1,757 sqft",,Condo,2001,"Forced air, Heat pump",Central,4 spaces,"$1,018/month",$495,"$5,432"
"950 W Peachtree St NW UNIT 1310, Atlanta, GA 30309",https://www.zillow.com/homedetails/950-W-Peachtree-St-NW-UNIT-1310-Atlanta-GA-30309/2082892209_zpid/,"$316,900",Condo for sale,1 bd,1 ba,866 sqft,"$329,761",Condo,2006,No Data,No Data,2 spaces,$345/month,$366,"$1,902"
"1290 N Morningside Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1290-N-Morningside-Dr-NE-Atlanta-GA-30306/2082096205_zpid/,"$749,000",House for sale,2 bds,2 ba,"1,569 sqft",,Single Family,1925,Forced air,Central,Detached Garage,"8,015 sqft",$477,"$3,801"
"634 Delmar Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/634-Delmar-Ave-SE-Atlanta-GA-30312/35867716_zpid/,"$765,000",House for sale,5 bds,3 ba,"3,108 sqft",,Single Family,1920,Forced air,Central,No Data,"8,102 sqft",$246,"$3,882"
"855 Peachtree St NE UNIT 2608, Atlanta, GA 30308",https://www.zillow.com/homedetails/855-Peachtree-St-NE-UNIT-2608-Atlanta-GA-30308/92193686_zpid/,"$359,000",Condo for sale,1 bd,1 ba,802 sqft,"$345,836",Condo,2008,Forced air,Central,Attached Garage,$384/month,$448,"$2,147"
"887 Proctor Oaks St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/887-Proctor-Oaks-St-NW-Atlanta-GA-30318/283676895_zpid/,"$415,000",Townhouse for sale,4 bds,4 ba,"2,492 sqft","$396,765",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",$167,"$2,238"
"195 14th St NE UNIT 901, Atlanta, GA 30309",https://www.zillow.com/homedetails/195-14th-St-NE-UNIT-901-Atlanta-GA-30309/65469490_zpid/,"$219,000",Condo for sale,1 bd,1 ba,720 sqft,"$228,923",Condo,2002,Forced air,Central,1 space,$26/month,$304,"$1,147"
"Coming Soon Plan, Main Street Commons",https://www.zillow.com/community/main-street-commons/2082274040_zpid/,$--,New construction,-- bds,-- ba,-- sqft,,Single Family,2019,No Data,No Data,No Data,No Data,No Data,$0
"563 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/563-Angier-Ave-NE-Atlanta-GA-30308/82628581_zpid/,"$649,900",Coming soon,4 bds,3 ba,"2,412 sqft","$643,751",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",$269,"$3,298"
"1183 Oak St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1183-Oak-St-SW-Atlanta-GA-30310/35835258_zpid/,"$256,621",Auction,4 bds,4 ba,"1,974 sqft",,Single Family,1920,Forced air,Central,No Data,"8,712 sqft",,"$1,260"
"1481 Talia Wood Cir NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1481-Talia-Wood-Cir-NW-Atlanta-GA-30314/88823438_zpid/,$--,Auction,3 bds,-- ba,"2,472 sqft",,Single Family,2007,Forced air,Central,No Data,"1,307 sqft",,$0
"230 Degress Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/230-Degress-Ave-NE-Atlanta-GA-30307/35843269_zpid/,"$465,000",House for sale,2 bds,2 ba,"1,260 sqft",,Single Family,1920,Forced air,Central,No Data,"7,680 sqft",$369,"$2,284"
"247 Stovall St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/247-Stovall-St-SE-Atlanta-GA-30316/35839196_zpid/,"$450,000",House for sale,3 bds,2 ba,"1,200 sqft","$442,592",Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",$375,"$2,210"
"751 Kennolia Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/751-Kennolia-Dr-SW-Atlanta-GA-30310/35854888_zpid/,"$140,000",Lot / Land for sale,0.27 acres lot,,,"$137,057",,,,,,,,$717
"1150 Collier Rd NW APT M2, Atlanta, GA 30318",https://www.zillow.com/homedetails/1150-Collier-Rd-NW-APT-M2-Atlanta-GA-30318/69365329_zpid/,"$139,900",House for sale,1 bd,1 ba,775 sqft,,Single Family,2004,Forced air,Central,No Data,784 sqft,$181,$985
"1470 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1470-S-Gordon-St-SW-Atlanta-GA-30310/2082103166_zpid/,"$419,000",House for sale,3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",$227,"$2,058"
"384 Ralph Mcgill Blvd NE UNIT 101, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-101-Atlanta-GA-30312/2082103183_zpid/,"$275,000",Condo for sale,2 bds,2 ba,"1,062 sqft",,Condo,2006,Forced air,Central,No Data,$455/month,$259,"$1,806"
"1401 Mims St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1401-Mims-St-SW-Atlanta-GA-30314/35843915_zpid/,"$160,000",House for sale,3 bds,2 ba,"1,697 sqft",,Single Family,1940,Forced air,Central,Off street,"7,492 sqft",$94,$819
"33 Chappell Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/33-Chappell-Rd-NW-Atlanta-GA-30314/35843673_zpid/,"$140,000",House for sale,2 bds,2 ba,"1,280 sqft","$153,705",Single Family,1940,None,None,No Data,"8,712 sqft",$109,$717
"167 1st St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/167-1st-St-SW-Atlanta-GA-30314/35834808_zpid/,"$195,000",Apartment for sale,Studio,-- ba,676 sqft,,Multi Family,1950,Forced air,Central,No Data,$288,,$998
"The Reynolds Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390359_zpid/,"$729,900+",New construction,3 bds,5 ba,"2,907 sqft","$711,063",Townhouse,2019,No Data,No Data,No Data,No Data,$251,"$3,704"
"1770 Bolton Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1770-Bolton-Rd-NW-Atlanta-GA-30318/171573597_zpid/,"$1,750,000",Lot / Land for sale,2.68 acres lot,,,,,,,,,,,"$8,880"
"860 Peachtree St NE UNIT 2111, Atlanta, GA 30308",https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-2111-Atlanta-GA-30308/2082104658_zpid/,"$279,900",Condo for sale,1 bd,1 ba,745 sqft,,Condo,2005,No Data,No Data,1 space,$356/month,$376,"$1,731"
"20 Marietta St NW # 15B, Atlanta, GA 30303",https://www.zillow.com/homedetails/20-Marietta-St-NW-15B-Atlanta-GA-30303/35888542_zpid/,"$194,900",Condo for sale,2 bds,2 ba,"1,156 sqft","$189,902",Condo,1995,Other,Central,None,$590/month,$169,"$1,588"
"563 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/563-Angier-Ave-NE-Atlanta-GA-30308/82628581_zpid/,"$649,900",Coming soon,4 bds,3 ba,"2,412 sqft","$643,751",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",$269,"$3,298"
"261 Devin Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/261-Devin-Pl-NE-Atlanta-GA-30305/2082098690_zpid/,"$996,635",New construction,3 bds,4 ba,"3,310 sqft",,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$301,"$5,057"
"157 Adair Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/157-Adair-Ave-SE-Atlanta-GA-30315/35883460_zpid/,"$87,084",Auction,2 bds,1 ba,"1,320 sqft",,Single Family,1920,Forced air,Central,2 spaces,0.25 acres,,$465
"713 Moreland Ave SE # 3, Atlanta, GA 30316",https://www.zillow.com/homedetails/713-Moreland-Ave-SE-3-Atlanta-GA-30316/2088168331_zpid/,"$524,900",Townhouse for sale,3 bds,4 ba,"1,978 sqft","$534,986",Townhouse,2019,Heat pump,Central,2 spaces,No Data,$265,"$2,603"
"1198 Milmar Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1198-Milmar-Dr-NW-Atlanta-GA-30327/35914787_zpid/,"$675,000",House for sale,3 bds,2 ba,"1,734 sqft","$643,854",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,$389,"$3,425"
"1287 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1287-Euclid-Ave-NE-Atlanta-GA-30307/14479162_zpid/,"$475,000",House for sale,4 bds,2 ba,"1,614 sqft","$540,887",Single Family,1920,Forced air,Central,2 spaces,"8,712 sqft",$294,"$2,349"
"3081 Peachtree Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/3081-Peachtree-Dr-NE-Atlanta-GA-30305/35928689_zpid/,"$1,125,000",House for sale,4 bds,3 ba,"3,073 sqft","$1,092,741",Single Family,1938,Forced air,Central,Detached Garage,0.46 acres,$366,"$5,709"
"30 Dorothy St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/30-Dorothy-St-SE-Atlanta-GA-30315/35883279_zpid/,"$275,000",Coming soon,3 bds,3 ba,"1,723 sqft",,Single Family,2019,Other,None,No Data,"7,143 sqft",$160,"$1,351"
"188 Rhodesia Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/188-Rhodesia-Ave-SE-Atlanta-GA-30315/35883365_zpid/,"$92,500",For sale by owner,5 bds,3 ba,"1,540 sqft",,Single Family,1924,Forced air,Central,Detached Garage,0.35 acres,$60,$494
"0 Pine Meadow Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-NW-Atlanta-GA-30327/2084416557_zpid/,"$449,900",Lot / Land for sale,0.73 acres lot,,,,,,,,,,,"$2,210"
"1057 Ferncliff Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1057-Ferncliff-Rd-NE-Atlanta-GA-30324/35938490_zpid/,"$615,000",House for sale,3 bds,2 ba,"1,336 sqft","$538,835",Single Family,1954,Other,Central,2 spaces,1.15 acres,$460,"$3,121"
"0 Pine Meadow Rd, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-Atlanta-GA-30327/2097295384_zpid/,"$449,900",Lot / Land for sale,0.73 acres lot,,,,,,,,,,,"$2,210"
"2626 Peachtree Rd NW UNIT 1706, Atlanta, GA 30305",https://www.zillow.com/homedetails/2626-Peachtree-Rd-NW-UNIT-1706-Atlanta-GA-30305/71755295_zpid/,"$217,500",Condo for sale,1 bd,1 ba,652 sqft,"$156,425",Condo,2005,Forced air,Central,1 space,$550/month,$334,"$1,663"
"1387 Jonesboro Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1387-Jonesboro-Rd-SE-Atlanta-GA-30315/35883028_zpid/,"$300,000",House for sale,4 bds,3 ba,"2,008 sqft","$290,918",Single Family,1935,Forced air,Central,No Data,"7,187 sqft",$149,"$1,474"
"1820 Shadydale Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1820-Shadydale-Ave-SE-Atlanta-GA-30315/35883597_zpid/,"$85,000",For sale by owner,1 bd,1 ba,651 sqft,,Single Family,1940,Other,Other,No Data,"7,474 sqft",$131,$454
"The Courtland Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336530_zpid/,"$380,900+",New construction,2 bds,2 ba,"1,318 sqft","$370,122",Townhouse,2019,No Data,No Data,1 space,No Data,$289,"$1,871"
"3277-L Ivanhoe Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3277-L-Ivanhoe-Dr-NW-Atlanta-GA-30327/2082104125_zpid/,"$775,000",Lot / Land for sale,0.69 acres lot,,,,,,,,,,,"$3,933"
"1030 Alloway Pl SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1030-Alloway-Pl-SE-Atlanta-GA-30316/35828790_zpid/,"$394,900",House for sale,3 bds,2 ba,"1,330 sqft","$386,521",Single Family,1998,Forced air,Central,No Data,"8,999 sqft",$297,"$1,940"
"205 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082180855_zpid/,"$269,900+",New construction,1 bd,1 ba,888 sqft,"$255,612",Condo,2019,Heat pump,Central,"Carport, Off street, On street",$195/month,$304,"$1,521"
"65 Weyman Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/65-Weyman-Ave-SW-Atlanta-GA-30315/65462510_zpid/,"$515,000",Apartment for sale,Studio,-- ba,"3,040 sqft","$501,327",Multi Family,2000,Forced air,Central,2 spaces,$169,,"$2,530"
"1638 Orlando St SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1638-Orlando-St-SW-Atlanta-GA-30311/35848356_zpid/,"$425,000",House for sale,5 bds,3 ba,"3,156 sqft","$411,354",Single Family,1950,Forced air,Central,3 spaces,0.29 acres,$135,"$2,087"
"2626 Peachtree Rd NW UNIT 1107, Atlanta, GA 30305",https://www.zillow.com/homedetails/2626-Peachtree-Rd-NW-UNIT-1107-Atlanta-GA-30305/71756932_zpid/,"$625,000",Condo for sale,2 bds,3 ba,"2,100 sqft","$609,818",Condo,2005,Forced air,Central,4 spaces,"$1,058/month",$298,"$4,229"
"384 Ralph Mcgill Blvd NE UNIT 106, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-106-Atlanta-GA-30312/88810739_zpid/,"$270,000",Condo for sale,2 bds,2 ba,"1,062 sqft","$264,809",Condo,2006,Forced air,Central,No Data,$456/month,$254,"$1,782"
"2166 Wingate St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/2166-Wingate-St-SW-Atlanta-GA-30310/35857675_zpid/,"$83,900",House for sale,3 bds,2 ba,588 sqft,,Single Family,1945,Forced air,Central,No Data,"9,975 sqft",$143,$448
"951 Fern Ave SE # B, Atlanta, GA",https://www.zillow.com/homedetails/951-Fern-Ave-SE-B-Atlanta-GA-30315/2082109452_zpid/,"$385,000",New construction,3 bds,3 ba,"1,725 sqft","$374,733",Townhouse,2019,"Forced air, Heat pump",Central,No Data,"3,920 sqft",$223,"$1,891"
"951 Fern Ave SE # B, Atlanta, GA",https://www.zillow.com/homedetails/951-Fern-Ave-SE-B-Atlanta-GA-30315/2082109452_zpid/,"$385,000",New construction,3 bds,3 ba,"1,725 sqft","$374,733",Townhouse,2019,"Forced air, Heat pump",Central,No Data,"3,920 sqft",$223,"$1,891"
"0 Sims Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/0-Sims-Ave-NW-Atlanta-GA-30318/2082109889_zpid/,"$50,000",Lot / Land for sale,"7,344 sqft lot",,,,,,,,,,,$267
"567 Holderness St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/567-Holderness-St-SW-Atlanta-GA-30310/35842915_zpid/,"$199,000",House for sale,2 bds,1 ba,"1,222 sqft","$240,407",Single Family,1900,Forced air,Central,2 spaces,0.34 acres,$163,"$1,019"
"855 Peachtree St NE UNIT 601, Atlanta, GA 30308",https://www.zillow.com/homedetails/855-Peachtree-St-NE-UNIT-601-Atlanta-GA-30308/92193813_zpid/,"$360,000",Condo for sale,1 bd,1 ba,885 sqft,,Condo,2008,Forced air,Central,Attached Garage,"$3,564/month",$407,"$5,332"
"375 Ralph Mcgill Blvd NE APT 1404, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Ralph-Mcgill-Blvd-NE-APT-1404-Atlanta-GA-30312/65461294_zpid/,"$125,000",Condo for sale,1 bd,1 ba,566 sqft,"$120,284",Condo,1980,Forced air,Central,1 space,$282/month,$221,$949
"951 Palmetto Ave SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/951-Palmetto-Ave-SW-Atlanta-GA-30314/35834736_zpid/,"$360,000",House for sale,4 bds,3 ba,"2,272 sqft","$352,792",Single Family,1920,Forced air,Central,No Data,"5,000 sqft",$158,"$1,768"
"470 Monument Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/470-Monument-Ave-SE-Atlanta-GA-30316/14456527_zpid/,"$345,000",House for sale,2 bds,2 ba,"1,792 sqft","$396,129",Single Family,1925,Forced air,Central,No Data,"8,712 sqft",$193,"$1,706"
"385 Lindbergh Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/385-Lindbergh-Dr-NE-Atlanta-GA-30305/35932567_zpid/,"$369,900",House for sale,3 bds,2 ba,"1,474 sqft",,Single Family,1957,Forced air,Central,No Data,0.3 acres,$251,"$1,817"
"The Edgewood Plan, Pratt Stacks",https://www.zillow.com/community/pratt-stacks/2082336531_zpid/,"$499,900+",New construction,3 bds,3 ba,"2,223 sqft","$488,708",Townhouse,2019,No Data,No Data,1 space,No Data,$225,"$2,455"
"63 Johnson Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/63-Johnson-Rd-NW-Atlanta-GA-30318/35921063_zpid/,"$65,000",Lot / Land for sale,0.32 acres lot,,,,,,,,,,,$347
"490 N Highland Ave NE UNIT 1B, Atlanta, GA 30307",https://www.zillow.com/homedetails/490-N-Highland-Ave-NE-UNIT-1B-Atlanta-GA-30307/82618814_zpid/,"$600,000",Condo for sale,2 bds,3 ba,"1,332 sqft","$585,314",Condo,2002,Forced air,Central,2 spaces,$444/month,$450,"$3,387"
"2621 Forrest Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2621-Forrest-Ave-NW-Atlanta-GA-30318/35923540_zpid/,"$119,900",House for sale,2 bds,1 ba,964 sqft,"$194,465",Single Family,1925,Forced air,Central,No Data,"10,018 sqft",$124,$640
"2243 Brookview Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2243-Brookview-Dr-NW-Atlanta-GA-30318/35910551_zpid/,"$1,250,000",House for sale,5 bds,4 ba,"3,900 sqft","$1,196,808",Single Family,1945,Forced air,"Central, Other",No Data,0.38 acres,$321,"$6,343"
"538 Bismark Rd NE # 48, Atlanta, GA 30324",https://www.zillow.com/homedetails/538-Bismark-Rd-NE-48-Atlanta-GA-30324/2093614722_zpid/,"$485,000",Townhouse for sale,3 bds,3 ba,"1,789 sqft","$469,897",Townhouse,2016,Forced air,Central,Attached Garage,No Data,$271,"$2,567"
"75 14th St NE UNIT 4840, Atlanta, GA 30309",https://www.zillow.com/homedetails/75-14th-St-NE-UNIT-4840-Atlanta-GA-30309/35899414_zpid/,"$1,695,000",Condo for sale,3 bds,4 ba,"2,773 sqft","$1,636,802",Condo,1992,Forced air,Central,Attached Garage,$130/month,$611,"$8,731"
"250 Pharr Rd NE APT 317, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-317-Atlanta-GA-30305/2082112872_zpid/,"$230,000",Condo for sale,1 bd,1 ba,-- sqft,,Condo,2004,Forced air,Central,No Data,$296/month,No Data,"$1,473"
"15 Gould St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/15-Gould-St-SE-Atlanta-GA-30315/35876531_zpid/,"$99,000",For sale by owner,5 bds,2 ba,"1,492 sqft",,Multi Family,1920,Other,Other,Off street,$66,,$528
"626 Parkway Dr NE # 14, Atlanta, GA",https://www.zillow.com/homedetails/626-Parkway-Dr-NE-14-Atlanta-GA-30308/2082114157_zpid/,"$575,000",New construction,3 bds,4 ba,-- sqft,"$553,846",Townhouse,2019,Forced air,Central,Attached Garage,No Data,No Data,"$3,070"
"626 Parkway Dr NE # 13, Atlanta, GA",https://www.zillow.com/homedetails/626-Parkway-Dr-NE-13-Atlanta-GA-30308/2082114433_zpid/,"$575,000",New construction,3 bds,4 ba,-- sqft,"$736,393",Townhouse,2019,Forced air,Central,Attached Garage,No Data,No Data,"$3,070"
"2870 Pharr Ct S NW APT 2907, Atlanta, GA 30305",https://www.zillow.com/homedetails/2870-Pharr-Ct-S-NW-APT-2907-Atlanta-GA-30305/2082114871_zpid/,"$181,600",Condo for sale,1 bd,1 ba,-- sqft,,Condo,1988,Electric,Central,Attached Garage,$345/month,No Data,"$1,275"
"2393 Baker Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2393-Baker-Rd-NW-Atlanta-GA-30318/35856946_zpid/,"$89,900",House for sale,3 bds,2 ba,725 sqft,"$74,963",Single Family,1945,Other,Other,Detached Garage,"8,276 sqft",$124,$480
"1184 John Collier Rd, Atlanta, GA 30318",https://www.zillow.com/homedetails/1184-John-Collier-Rd-Atlanta-GA-30318/171603468_zpid/,"$560,000",Townhouse for sale,3 bds,4 ba,"2,530 sqft","$545,837",Townhouse,2015,Gas,Central,No Data,"1,769 sqft",$221,"$2,951"
"202 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082115144_zpid/,"$199,900+",New construction,1 bd,1 ba,685 sqft,"$272,439",Condo,2019,Heat pump,Central,"Carport, Off street, On street",No Data,$292,"$1,023"
"437 Griffin St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/437-Griffin-St-NW-Atlanta-GA-30318/35833234_zpid/,"$259,900",House for sale,3 bds,2 ba,"1,313 sqft",,Single Family,1940,Forced air,Central,No Data,"4,477 sqft",$198,"$1,277"
"1210 Lavista Cir NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1210-Lavista-Cir-NE-Atlanta-GA-30324/118453969_zpid/,"$475,000",Townhouse for sale,3 bds,4 ba,"3,300 sqft","$463,785",Townhouse,2011,Forced air,Central,2 spaces,"1,306 sqft",$144,"$2,583"
"18 Peachtree Ave NE APT 2, Atlanta, GA 30305",https://www.zillow.com/homedetails/18-Peachtree-Ave-NE-APT-2-Atlanta-GA-30305/2086243943_zpid/,"$715,000",Townhouse for sale,3 bds,4 ba,-- sqft,"$698,750",Townhouse,2016,Forced air,Central,3 spaces,"1,045 sqft",No Data,"$3,663"
"2796 Margaret Mitchell Dr NW, Atlanta, GA",https://www.zillow.com/homedetails/2796-Margaret-Mitchell-Dr-NW-Atlanta-GA-30327/35920056_zpid/,"$1,798,000",New construction,6 bds,6 ba,"5,463 sqft","$1,725,839",Single Family,2019,Forced air,Central,No Data,0.58 acres,$329,"$9,124"
"1764 Springview Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1764-Springview-Rd-NW-Atlanta-GA-30314/35846238_zpid/,"$205,000",For sale by owner,3 bds,2 ba,954 sqft,,Single Family,1950,Other,Central,No Data,No Data,$215,"$1,049"
"226 Lampkin St NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/226-Lampkin-St-NE-Atlanta-GA-30312/35860136_zpid/,"$689,000",House for sale,3 bds,3 ba,"1,823 sqft","$670,626",Single Family,2005,Forced air,Central,2 spaces,"4,356 sqft",$378,"$3,496"
"The Glenwood Plan, Madison Yards at Reynoldstown",https://www.zillow.com/community/madison-yards-at-reynoldstown/2082390358_zpid/,"$599,900+",New construction,2 bds,4 ba,"2,277 sqft","$589,282",Townhouse,2019,No Data,No Data,No Data,No Data,$263,"$2,942"
