Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"1774 NW Sanford Dr, Atlanta, GA 30318",https://www.zillow.com/homedetails/1774-NW-Sanford-Dr-Atlanta-GA-30318/296370799_zpid/,"$463,900",House for sale,4 bds,3 ba,"3,041 sqft","$451,466",Single Family,No Data,No Data,No Data,No Data,0.3 acres,$153,"$2,388"
"401 16th St NW UNIT 1263, Atlanta, GA 30363",https://www.zillow.com/homedetails/401-16th-St-NW-UNIT-1263-Atlanta-GA-30363/69371214_zpid/,"$174,900",Condo for sale,1 bd,1 ba,800 sqft,"$171,418",Condo,2004,Forced air,Central,1 space,$277/month,$219,"$1,172"
"1315 Eastridge Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1315-Eastridge-Rd-SW-Atlanta-GA-30311/35848819_zpid/,"$94,900",House for sale,3 bds,2 ba,"1,600 sqft","$91,663",Single Family,1947,None,Central,No Data,0.27 acres,$59,$506
"1018 Peachtree Battle Cir NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1018-Peachtree-Battle-Cir-NW-Atlanta-GA-30327/35914928_zpid/,"$1,200,000",House for sale,5 bds,4 ba,"4,500 sqft","$1,150,909",Single Family,1958,Forced air,Central,Attached Garage,0.66 acres,$267,"$6,066"
"2870 Pharr Ct S NW APT 2004, Atlanta, GA 30305",https://www.zillow.com/homedetails/2870-Pharr-Ct-S-NW-APT-2004-Atlanta-GA-30305/2082277783_zpid/,"$184,000",Condo for sale,1 bd,1 ba,807 sqft,"$177,059",Condo,1988,Forced air,Central,Attached Garage,$345/month,$228,"$1,287"
"B101 Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593733_zpid/,"$448,900+",New construction,1 bd,1 ba,974 sqft,"$435,825",Condo,2019,No Data,No Data,2 spaces,No Data,$461,"$2,205"
"B-2 Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118305_zpid/,"$551,900+",New construction,2 bds,2 ba,"1,129 sqft","$534,918",Condo,2019,Heat pump,Central,Attached Garage,No Data,$489,"$2,711"
"Katarina Plan, Broadview Place Terrace",https://www.zillow.com/community/broadview-place-terrace/2088071972_zpid/,"$584,490+",New construction,3 bds,4 ba,"2,025 sqft",,Single Family,2019,No Data,No Data,2 spaces,No Data,$289,"$2,867"
"400 17th St NW UNIT 1108, Atlanta, GA 30363",https://www.zillow.com/homedetails/400-17th-St-NW-UNIT-1108-Atlanta-GA-30363/2082282160_zpid/,"$184,900",Condo for sale,1 bd,1 ba,884 sqft,"$179,991",Condo,2004,No Data,No Data,1 space,$361/month,$209,"$1,308"
"891 Sims St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/891-Sims-St-SW-Atlanta-GA-30310/249112134_zpid/,"$38,000",Lot / Land for sale,"3,031 sqft lot",,,,,,,,,,,$203
"1531 Mims St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1531-Mims-St-SW-Atlanta-GA-30314/35843846_zpid/,"$179,900",House for sale,3 bds,2 ba,"1,026 sqft","$175,348",Single Family,1950,Forced air,Central,1 space,"5,998 sqft",$175,$921
