Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"1084 Cato St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1084-Cato-St-NW-Atlanta-GA-30318/35921083_zpid/,Sold 06/03/2019,"$54,000 ",3 bds,2 ba,914 sqft,Single Family,1985,1985,Other,Central,,0.26 acres,,"$112,882 ","$89,000 - $132,000","+$6,076 (+5.7 %)"
"3248 W Shadowlawn Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/3248-W-Shadowlawn-Ave-NE-Atlanta-GA-30305/35933269_zpid/,Sold 05/31/2019,"$610,000 ",3 bds,2 ba,"2,117 sqft",Single Family,1928,1995,"Forced air, Other",Central,,"8,176 sqft",,"$613,464 ","$564,000 - $669,000",+$586 (+0.1 %)
"1315 Northview Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1315-Northview-Ave-NE-Atlanta-GA-30306/35918568_zpid/,Sold 05/31/2019,"$695,000 ",3 bds,2 ba,"1,806 sqft",Single Family,1940,1970,"Forced air, Heat pump",Central,2 spaces,"8,215 sqft",,"$698,947 ","$643,000 - $762,000",+$667 (+0.1 %)
"847 Wildwood Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/847-Wildwood-Rd-NE-Atlanta-GA-30324/35929706_zpid/,Sold 05/31/2019,$1.05M,3 bds,4.5 ba,"2,820 sqft",Single Family,2007,2007,Forced air,Central,,"10,410 sqft",Limited solar potentialSun Number™: 40.21,"$1,055,963 ","$971,000 - $1.15M","+$1,008 (+0.1 %)"
"315 Springdale Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/315-Springdale-Dr-NE-Atlanta-GA-30305/35932552_zpid/,Sold 05/31/2019,"$650,000 ",3 bds,2 ba,"2,000 sqft",Single Family,1958,1965,Forced air,Central,,0.26 acres,,"$653,691 ","$601,000 - $713,000",+$624 (+0.1 %)
"315 Springdale Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/315-Springdale-Dr-NE-Atlanta-GA-30305/35932552_zpid/,Sold 05/31/2019,"$650,000 ",3 bds,2 ba,"2,000 sqft",Single Family,1958,1965,Forced air,Central,,0.26 acres,,"$653,691 ","$601,000 - $713,000",+$624 (+0.1 %)
"134 Tuxedo Ter NW, Atlanta, GA 30342",https://www.zillow.com/homedetails/134-Tuxedo-Ter-NW-Atlanta-GA-30342/35902509_zpid/,Sold 05/31/2019,"$950,000 ",3 bds,2 ba,"2,118 sqft",Single Family,1954,1980,Forced air,Central,2 spaces,0.77 acres,,"$955,395 ","$879,000 - $1.04M",+$912 (+0.1 %)
"1882 Cambria Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1882-Cambria-Ave-NW-Atlanta-GA-30318/35916033_zpid/,Sold 05/31/2019,"$475,000 ",3 bds,3 ba,"2,318 sqft",Single Family,1945,1980,Forced air,Central,2 spaces,"8,712 sqft",,"$477,697 ","$439,000 - $521,000",+$455 (+0.1 %)
"31 Howell Mill Plantation NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/31-Howell-Mill-Plantation-NW-Atlanta-GA-30327/35914666_zpid/,Sold 05/31/2019,"$360,000 ",3 bds,2.5 ba,"1,200 sqft",Townhouse,1981,1981,Forced air,Central,2 spaces,"1,197 sqft",,"$362,044 ","$333,000 - $395,000",+$345 (+0.1 %)
"3581 Fairburn Pl NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3581-Fairburn-Pl-NW-Atlanta-GA-30331/35872103_zpid/,Sold 05/31/2019,"$62,000 ",3 bds,1 ba,960 sqft,Single Family,1962,,Other,Central,,"9,723 sqft",Great solar potentialSun Number™: 92.21,"$62,352 ","$57,000 - $68,000",+$60 (+0.1 %)
"3 Paces West Ter NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3-Paces-West-Ter-NW-Atlanta-GA-30327/35917764_zpid/,Sold 05/31/2019,"$472,500 ",3 bds,2.5 ba,"2,130 sqft",Townhouse,1982,1982,Forced air,Central,2 spaces,"2,134 sqft",,"$645,116 ","$594,000 - $703,000","+$2,103 (+0.3 %)"
"829 Piedmont Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/829-Piedmont-Ave-NE-Atlanta-GA-30308/35880690_zpid/,Sold 05/31/2019,"$440,000 ",3 bds,4 ba,"1,250 sqft",Townhouse,1997,2013,Forced air,Central,3 spaces,"1,054 sqft",Great solar potentialSun Number™: 88.23,"$442,499 ","$407,000 - $482,000",+$423 (+0.1 %)
"391 9th St NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/391-9th-St-NE-Atlanta-GA-30309/35931275_zpid/,Sold 05/31/2019,"$865,000 ",3 bds,2.5 ba,"3,141 sqft",Single Family,1993,1993,Forced air,Central,Attached Garage,"8,002 sqft",Good solar potentialSun Number™: 63.43,"$869,913 ","$800,000 - $948,000",+$831 (+0.1 %)
"1199 Milmar Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1199-Milmar-Dr-NW-Atlanta-GA-30327/35914785_zpid/,Sold 05/31/2019,"$547,875 ",3 bds,3.5 ba,"1,900 sqft",Single Family,1956,,Forced air,Central,6 spaces,0.48 acres,,"$550,986 ","$507,000 - $601,000",+$526 (+0.1 %)
"80 Paces West Cir NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/80-Paces-West-Cir-NW-Atlanta-GA-30327/35917818_zpid/,Sold 05/31/2019,"$510,000 ",3 bds,2.5 ba,"2,130 sqft",Townhouse,1982,1982,Forced air,Central,2 spaces,"2,130 sqft",,"$628,415 ","$566,000 - $691,000",-$978 (-0.2 %)
"1776 Morningtide Ln NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1776-Morningtide-Ln-NE-Atlanta-GA-30324/2089531847_zpid/,Sold 05/31/2019,"$466,325 ",3 bds,3.5 ba,"1,880 sqft",Townhouse,2018,,Gas,Central,,,,"$468,973 ","$431,000 - $511,000",+$447 (+0.1 %)
"3050 Margaret Mitchell Dr NW APT 39, Atlanta, GA 30327",https://www.zillow.com/homedetails/3050-Margaret-Mitchell-Dr-NW-APT-39-Atlanta-GA-30327/2138273988_zpid/,Sold 05/30/2019,"$407,500 ",3 bds,4.5 ba,"3,600 sqft",Townhouse,1972,,,,Attached Garage,,,"$409,861 ","$377,000 - $447,000",+$420 (+0.1 %)
"2350 W Wesley Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2350-W-Wesley-Rd-NW-Atlanta-GA-30327/35922298_zpid/,Sold 05/30/2019,$1.45M,3 bds,5 ba,"4,259 sqft",Single Family,1980,1980,Forced air,Central,2 spaces,1.7 acres,,"$1,458,402 ",$1.34M - $1.59M,"+$1,495 (+0.1 %)"
"3075 Howell Mill Rd NW UNIT 11, Atlanta, GA 30327",https://www.zillow.com/homedetails/3075-Howell-Mill-Rd-NW-UNIT-11-Atlanta-GA-30327/2084873719_zpid/,Sold 05/30/2019,"$542,000 ",3 bds,2.5 ba,"2,378 sqft",Townhouse,1982,,Forced air,Central,,,,"$545,140 ","$502,000 - $594,000",+$559 (+0.1 %)
"3222 Jamaica Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/3222-Jamaica-Rd-NW-Atlanta-GA-30318/35871157_zpid/,Sold 05/30/2019,"$110,000 ",3 bds,1.5 ba,"1,560 sqft",Single Family,1960,2009,Other,Central,Off street,0.34 acres,,"$148,556 ","$119,000 - $175,000",-$295 (-0.2 %)
"3075 Howell Mill Rd NW UNIT 11, Atlanta, GA 30327",https://www.zillow.com/homedetails/3075-Howell-Mill-Rd-NW-UNIT-11-Atlanta-GA-30327/35914689_zpid/,Sold 05/30/2019,"$542,000 ",3 bds,2.5 ba,"2,378 sqft",Townhouse,1982,,"Forced air, Heat pump",Central,,"2,378 sqft",,"$545,140 ","$502,000 - $594,000",+$559 (+0.1 %)
"227 Devin Pl NE # 42, Atlanta, GA 30305",https://www.zillow.com/homedetails/227-Devin-Pl-NE-42-Atlanta-GA-30305/2088005675_zpid/,Sold 05/30/2019,"$850,000 ",3 bds,3.5 ba,"3,375 sqft",Townhouse,2018,,Forced air,Central,4 spaces,,,"$854,925 ","$787,000 - $932,000",+$876 (+0.1 %)
"2963 Dale Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2963-Dale-Dr-NE-Atlanta-GA-30305/35928934_zpid/,Sold 05/30/2019,"$705,000 ",3 bds,3 ba,"3,205 sqft",Single Family,1948,1980,Forced air,Central,,0.47 acres,,"$709,085 ","$652,000 - $773,000",+$727 (+0.1 %)
"3050 Margaret Mitchell Dr NW APT 39, Atlanta, GA 30327",https://www.zillow.com/homedetails/3050-Margaret-Mitchell-Dr-NW-APT-39-Atlanta-GA-30327/35917620_zpid/,Sold 05/30/2019,"$407,500 ",3 bds,4.5 ba,1 sqft,Townhouse,1972,1972,Forced air,Central,,"1,886 sqft",,"$409,861 ","$377,000 - $447,000",+$420 (+0.1 %)
"3338 Peachtree Rd NE, Atlanta, GA 30326",https://www.zillow.com/homedetails/3338-Peachtree-Rd-NE-Atlanta-GA-30326/69372558_zpid/,Sold 05/30/2019,"$570,000 ",3 bds,3 ba,"1,876 sqft",Townhouse,2004,2004,Forced air,Central,,"1,877 sqft",,"$573,303 ","$527,000 - $625,000",+$588 (+0.1 %)
"2633 Brown St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2633-Brown-St-NW-Atlanta-GA-30318/35923082_zpid/,Sold 05/30/2019,"$218,000 ",3 bds,2 ba,"1,366 sqft",Single Family,1930,1930,Forced air,Other,1 space,"7,013 sqft",,"$219,263 ","$202,000 - $239,000",+$225 (+0.1 %)
"831 Canterbury Rd, Atlanta, GA 30324",https://www.zillow.com/homedetails/831-Canterbury-Rd-Atlanta-GA-30324/171603192_zpid/,Sold 05/30/2019,"$520,000 ",3 bds,3 ba,"2,028 sqft",Townhouse,2015,,Forced air,Central,3 spaces,"2,178 sqft",,"$523,013 ","$481,000 - $570,000",+$536 (+0.1 %)
"17 Paces West Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/17-Paces-West-Dr-NW-Atlanta-GA-30327/35917750_zpid/,Sold 05/30/2019,"$650,000 ",3 bds,2.5 ba,"2,130 sqft",Townhouse,1982,1982,Forced air,Central,2 spaces,"2,130 sqft",Great solar potentialSun Number™: 87.41,"$653,766 ","$601,000 - $713,000",+$670 (+0.1 %)
"1600 Defoors Walk NW # 1600, Atlanta, GA 30318",https://www.zillow.com/homedetails/1600-Defoors-Walk-NW-1600-Atlanta-GA-30318/2084753634_zpid/,Sold 05/29/2019,"$324,900 ",3 bds,3.5 ba,"1,715 sqft",Townhouse,1982,1982,Forced air,Central,,"1,716 sqft","GreenEnergyEfficient:,Double Pane/Thermo","$326,820 ","$301,000 - $356,000",+$358 (+0.1 %)
"1277 N Druid Hills Rd NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/1277-N-Druid-Hills-Rd-NE-Atlanta-GA-30319/14558701_zpid/,Sold 05/28/2019,"$383,000 ",3 bds,2 ba,"1,312 sqft",Single Family,1945,1945,Forced air,Central,Carport,0.3 acres,,"$383,362 ","$357,000 - $414,000","+$2,699 (+0.7 %)"
"1429 Wessyngton Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1429-Wessyngton-Rd-NE-Atlanta-GA-30306/35918342_zpid/,Sold 05/28/2019,"$585,000 ",3 bds,3 ba,"1,336 sqft",Single Family,1958,1965,Forced air,Central,2 spaces,"9,016 sqft",,"$588,445 ","$512,000 - $653,000","-$15,074 (-2.5 %)"
"811 Vanderbilt Ct NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/811-Vanderbilt-Ct-NW-Atlanta-GA-30318/35871265_zpid/,Sold 05/28/2019,"$157,000 ",3 bds,2.5 ba,"1,173 sqft",Single Family,1960,1960,Forced air,Central,2 spaces,0.36 acres,,"$158,348 ","$146,000 - $173,000",+$185 (+0.1 %)
