Address,Bedrooms,Bathrooms,Area,Zestimate,Year Built,Parking,HL,Monthcost,PI,PT,HI,HF,lat,lng,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,"Heating_Baseboard, Forced air","Heating_Baseboard, Radiant",Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Heat pump, Other","Heating_Forced air, Other",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other, Stove",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Solar",Cooling_No Data,Cooling_None,Cooling_Other,Cooling_Wall,"Cooling_Wall, Refrigeration"
30314.0,-0.5207817922313535,-0.407124291807648,-0.8623770606396216,-0.8291027188367396,-0.9699250180760804,-1.644039916712949e-14,-0.27640003938756197,-0.10716222035889157,-0.5817296909494936,-0.5360091433906214,-0.5646537189755276,-0.041078579635787246,33.757576,-84.432245,-1.0021195,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30307.0,0.42495794246078505,-0.407124291807648,-0.26244427908767914,-0.010262319685050633,0.507676632674473,-1.644039916712949e-14,-0.0827851287341569,-0.044856852638376354,-0.09815115652883634,0.144067752576267,-0.048173176169712534,-0.041078579635787246,33.771079,-84.3336,0.31026712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30331.0,2.316437411845062,0.8723199933363256,2.087950269689832,-0.7646039337962292,1.068146224338476,-0.4165821921781283,0.12219670804123271,-0.10372683667505364,-0.5548337225197408,-0.5008327522199204,-0.5400594074133459,-0.041078579635787246,33.707454999999996,-84.544149,-0.9296833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30305.0,0.42495794246078505,0.01935713657367655,0.8989387536206042,1.0230380157902867,-0.02731706845934806,2.7566024748035822,2.0353605179448695,-0.006026606757420338,0.2366762055558412,0.41668478414920074,0.2162156731237404,-0.041078579635787246,33.835696,-84.389116,1.1184897,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30310.0,-0.5207817922313535,-0.407124291807648,-0.5811585692871486,-0.6720981376864885,-0.9444491275458985,0.6411460301491085,-0.12837855541531762,-0.09690812057531471,-0.5010417856602352,-0.4304799698785181,-0.47857362850789176,-0.041078579635787246,33.726586,-84.425995,-1.0021195,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30314.0,-0.5207817922313535,-0.407124291807648,-0.6768715295018499,-1.4062089929337946,-0.8680214559553526,-0.4165821921781283,-0.39048791906962277,-0.14713759413446023,-0.8896610846044183,-0.9727826670934938,-0.9274198145177073,-0.041078579635787246,33.757576,-84.432245,-1.0021195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11422.0,0.42495794246078505,-0.407124291807648,-0.9156605642643006,-0.25532713963246617,-0.1801724116404398,-1.644039916712949e-14,-0.31237275743846793,-7.574456385473366e-16,-0.14261183903516236,-0.3571958216062241,-0.2080362013238934,-0.041078579635787246,40.660059999999994,-73.736012,0.5393337,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11224.0,-0.5207817922313535,-0.407124291807648,-0.8031731677233115,-0.05807637243679834,0.20196594631228953,-1.644039916712949e-14,-0.4482638718255377,-0.04293095572470964,0.031388609785891364,-0.43927406767119337,-0.042024598279167116,-0.041078579635787246,40.577372,-73.98870600000001,0.8718684,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11414.0,0.42495794246078505,0.01935713657367655,0.12435448796554689,1.225668601952502,0.07458649366137976,-1.644039916712949e-14,-0.42217332812557323,0.0506051727579686,0.7581286547041095,0.5632530806937888,0.7572905274917372,-0.041078579635787246,40.657604,-73.84480400000001,0.4239927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30318.0,-0.5207817922313535,-0.407124291807648,-0.7706110266193409,-0.92546364667848,-0.5623107695931692,-1.644039916712949e-14,-0.3042160746379824,-0.11356452631513499,-0.6322282439196416,-0.6004991938702402,-0.6199909199904363,-0.041078579635787246,33.792303000000004,-84.447862,-0.66111696,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11434.0,-0.5207817922313535,0.01935713657367655,-1.0557764441662345,0.005731267365272473,-0.5623107695931692,-1.644039916712949e-14,-0.45757073048792957,-7.574456385473366e-16,0.03358419904546302,-0.19597069540717724,-0.042024598279167116,-0.041078579635787246,40.676808,-73.776425,0.5393337,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30318.0,-0.5207817922313535,-0.407124291807648,-0.9728909940834004,-1.4504631267438315,-0.5623107695931692,-1.644039916712949e-14,0.015146538088460408,-0.1595778471713885,-0.9901092932298216,-1.0871059383982724,-1.0196484828758885,-0.041078579635787246,33.792303000000004,-84.447862,-0.66111696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30305.0,-0.5207817922313535,-0.407124291807648,-0.3621041654968012,0.3461150876592934,-0.5623107695931692,-1.4743104145053652,-0.12382955294207888,-0.0667704364398274,-0.26336924831160347,-0.12268654713488322,-0.22648193499552963,-0.041078579635787246,33.835696,-84.389116,1.1184897,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2126.0,-0.5207817922313535,-0.407124291807648,-0.8919790070977767,-0.4622608863495892,-1.326587485498628,-1.644039916712949e-14,-0.2194606402832871,-0.08373914978726932,-0.36546414888168544,-0.48031319070367806,-0.34330491491589255,-0.041078579635787246,42.274227,-71.09742299999999,0.46811172,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
