Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"970 Park Ave # 2N, New York, NY 10028",https://www.zillow.com/homedetails/970-Park-Ave-2N-New-York-NY-10028/72530506_zpid/,Sold 11/07/2019,$1.77M,3 bds,2 ba,,Cooperative,1912,,,,,,,"$1,772,629 ",$1.68M - $1.86M,"-$81,745 (-4.4 %)"
"21784 Hempstead Ave, Jamaica, NY 11429",https://www.zillow.com/homedetails/21784-Hempstead-Ave-Jamaica-NY-11429/32161111_zpid/,Sold 11/07/2019,"$450,000 ",3 bds,2 ba,"2,400 sqft",Miscellaneous,1930,1930,,,On street,,,,,
"250 W 103rd St APT 4B, New York, NY 10025",https://www.zillow.com/homedetails/250-W-103rd-St-APT-4B-New-York-NY-10025/89666673_zpid/,Sold 11/07/2019,$1.37M,3 bds,2 ba,,Cooperative,1917,,,Central,,,,"$1,368,170 ",$1.30M - $1.44M,"+$23,775 (+1.8 %)"
"63-11 Queens Blvd # A-3, Woodside, NY 11377",https://www.zillow.com/homedetails/63-11-Queens-Blvd-A-3-Woodside-NY-11377/81380344_zpid/,Sold 11/07/2019,"$540,000 ",3 bds,1 ba,950 sqft,Cooperative,1963,,,,,,,"$539,863 ","$491,000 - $588,000","-$1,856 (-0.3 %)"
"240 E 47th St APT 17D, New York, NY 10017",https://www.zillow.com/homedetails/240-E-47th-St-APT-17D-New-York-NY-10017/31529611_zpid/,Sold 11/06/2019,$1.90M,3 bds,3 ba,"1,516 sqft",Condo,1982,,,,1 space,"$1,840/month",,"$1,897,145 ",$1.80M - $1.99M,"-$21,522 (-1.1 %)"
"22720 67th Ave # 24, Oakland Gardens, NY 11364",https://www.zillow.com/homedetails/22720-67th-Ave-24-Oakland-Gardens-NY-11364/32088099_zpid/,Sold 11/06/2019,"$570,220 ",3 bds,2.5 ba,"1,310 sqft",Condo,1949,,,,,$546/month,,"$613,325 ","$577,000 - $644,000","-$124,402 (-16.9 %)"
"613 Baltic St # 7E, Brooklyn, NY 11217",https://www.zillow.com/homedetails/613-Baltic-St-7E-Brooklyn-NY-11217/300076389_zpid/,Sold 11/06/2019,$1.80M,3 bds,3 ba,"1,356 sqft",Condo,2017,,,Central,,"$1,282/month",,"$1,799,520 ",$1.71M - $1.89M,"-$99,580 (-5.2 %)"
"12705 102nd Rd, South Richmond Hill, NY 11419",https://www.zillow.com/homedetails/12705-102nd-Rd-South-Richmond-Hill-NY-11419/32124418_zpid/,Sold 11/06/2019,"$680,000 ",3 bds,2 ba,"1,316 sqft",Multi Family,1915,,Other,,Attached Garage,,,"$679,806 ","$619,000 - $741,000","-$26,644 (-3.8 %)"
"3777 Independence Ave APT 3H, Bronx, NY 10463",https://www.zillow.com/homedetails/3777-Independence-Ave-APT-3H-Bronx-NY-10463/215957368_zpid/,Sold 11/04/2019,"$799,900 ",3 bds,2 ba,"1,600 sqft",Cooperative,1963,,Forced air,Central,1 space,,Great solar potentialSun Number™: 92.58,"$801,957 ","$738,000 - $874,000","+$19,374 (+2.5 %)"
"6603 78th St, Flushing, NY 11379",https://www.zillow.com/homedetails/6603-78th-St-Flushing-NY-11379/31998434_zpid/,Sold 11/04/2019,"$600,000 ",3 bds,1.5 ba,"1,681 sqft",Multi Family,1931,1945,Radiant,None,Attached Garage,,,"$599,791 ","$546,000 - $654,000","-$308,421 (-34.0 %)"
"1485 5th Ave APT 19C, New York, NY 10035",https://www.zillow.com/homedetails/1485-5th-Ave-APT-19C-New-York-NY-10035/89229258_zpid/,Sold 11/04/2019,$1.62M,3 bds,2 ba,"1,500 sqft",Condo,2007,,Forced air,Central,Attached Garage,"$1,207/month",,"$1,622,016 ",$1.54M - $1.70M,"-$14,112 (-0.9 %)"
"79 Laight St # 3A, New York, NY 10013",https://www.zillow.com/homedetails/79-Laight-St-3A-New-York-NY-10013/61965815_zpid/,Sold 11/04/2019,$6.70M,3 bds,4 ba,"3,555 sqft",Condo,1853,,Forced air,Other,,"$3,576/month",,"$6,687,698 ",$6.35M - $7.02M,"-$115,373 (-1.7 %)"
"160 W 95th St APT 9A, New York, NY 10025",https://www.zillow.com/homedetails/160-W-95th-St-APT-9A-New-York-NY-10025/82778513_zpid/,Sold 11/04/2019,$1.49M,3 bds,2 ba,,Cooperative,1914,,,,,,,"$1,484,369 ",$1.41M - $1.56M,"+$59,754 (+4.2 %)"
"118 E 60th St APT 25G, New York, NY 10022",https://www.zillow.com/homedetails/118-E-60th-St-APT-25G-New-York-NY-10022/304861170_zpid/,Sold 11/04/2019,$1.16M,3 bds,2 ba,"1,350 sqft",Cooperative,1963,,,,,,,"$1,160,365 ",$1.10M - $1.22M,
"233 E 31st St # 3, New York, NY 10016",https://www.zillow.com/homedetails/233-E-31st-St-3-New-York-NY-10016/304861167_zpid/,Sold 11/04/2019,$2.20M,3 bds,2.5 ba,,Cooperative,1926,,,,,,,"$2,195,960 ",$2.09M - $2.31M,
"254-38 75th Ave #2ND FLOOR, Glen Oaks, NY 11004",https://www.zillow.com/homedetails/254-38-75th-Ave-2ND-FLOOR-Glen-Oaks-NY-11004/2082138498_zpid/,Sold 11/03/2019,"$150,000 ",3 bds,1 ba,856 sqft,Cooperative,,,,,,,,"$149,943 ","$136,000 - $163,000",
"3744 103rd St, Corona, NY 11368",https://www.zillow.com/homedetails/3744-103rd-St-Corona-NY-11368/2129378062_zpid/,Sold 11/01/2019,$1.58M,3 bds,2 ba,,Multi Family,1915,,,,,,,"$1,579,300 ",$1.44M - $1.72M,"+$852,661 (+117.3 %)"
"15820 73rd Ave, Flushing, NY 11366",https://www.zillow.com/homedetails/15820-73rd-Ave-Flushing-NY-11366/32072593_zpid/,Sold 11/01/2019,"$850,000 ",3 bds,2 ba,"1,268 sqft",Multi Family,1950,1950,Other,,2 spaces,,Great solar potentialSun Number™: 92.6,"$849,623 ","$773,000 - $926,000",+$48 (+0.0 %)
"3011 21st St APT 4F, Long Island City, NY 11102",https://www.zillow.com/homedetails/3011-21st-St-APT-4F-Long-Island-City-NY-11102/117616249_zpid/,Sold 11/01/2019,$1.37M,3 bds,2 ba,"1,372 sqft",Condo,2010,,Radiant,Central,,$591/month,,"$1,393,879 ",$1.32M - $1.46M,"+$30,604 (+2.2 %)"
"1192 Park Ave # 9B, New York, NY 10128",https://www.zillow.com/homedetails/1192-Park-Ave-9B-New-York-NY-10128/121423604_zpid/,Sold 11/01/2019,$3.74M,3 bds,3 ba,,Cooperative,1926,,,,,,,"$3,728,269 ",$3.54M - $3.91M,"+$10,554 (+0.3 %)"
"201 E 62nd St APT 8D, New York, NY 10065",https://www.zillow.com/homedetails/201-E-62nd-St-APT-8D-New-York-NY-10065/304833578_zpid/,Sold 11/01/2019,$1.48M,3 bds,3.5 ba,,Cooperative,1963,,,,,,,"$1,471,554 ",$1.40M - $1.55M,
"123-12 153rd St, Jamaica, NY 11432",https://www.zillow.com/homedetails/123-12-153rd-St-Jamaica-NY-11432/2082149215_zpid/,Sold 10/31/2019,"$600,000 ",3 bds,2 ba,"1,200 sqft",Multi Family,,,,,,,,"$599,719 ","$546,000 - $654,000",
"1342 Prospect Ave # 3, Bronx, NY 10459",https://www.zillow.com/homedetails/1342-Prospect-Ave-3-Bronx-NY-10459/2087851768_zpid/,Sold 10/31/2019,"$2,300 ",3 bds,2 ba,904 sqft,Apartment,2018,,Gas,Wall,,,,,,
"391 Putnam Ave, Brooklyn, NY 11216",https://www.zillow.com/homedetails/391-Putnam-Ave-Brooklyn-NY-11216/30609609_zpid/,Sold 10/31/2019,"$254,667 ",3 bds,1.5 ba,"1,400 sqft",Multi Family,1915,,,,,,,"$1,040,561 ","$905,000 - $1.23M","-$13,259 (-1.3 %)"
"524 E 72nd St APT 42DE, New York, NY 10021",https://www.zillow.com/homedetails/524-E-72nd-St-APT-42DE-New-York-NY-10021/31539698_zpid/,Sold 10/31/2019,$2.50M,3 bds,3 ba,"1,625 sqft",Condo,1988,,,,,"$2,452/month",,"$2,402,319 ",$2.28M - $2.52M,"-$16,112 (-0.7 %)"
"290 W End Ave # 14D, New York, NY 10023",https://www.zillow.com/homedetails/290-W-End-Ave-14D-New-York-NY-10023/304833510_zpid/,Sold 10/31/2019,$1.45M,3 bds,3 ba,,Cooperative,1925,,,,,,,"$2,028,363 ",$1.81M - $2.29M,
"60 E 96th St APT 3A, New York, NY 10128",https://www.zillow.com/homedetails/60-E-96th-St-APT-3A-New-York-NY-10128/304833509_zpid/,Sold 10/31/2019,$1.60M,3 bds,3 ba,,Cooperative,1929,,,,,,,"$1,596,007 ",$1.52M - $1.68M,
"8727 Kingston Pl, Jamaica, NY 11432",https://www.zillow.com/homedetails/8727-Kingston-Pl-Jamaica-NY-11432/64844548_zpid/,Sold 10/31/2019,"$2,300 ",3 bds,2 ba,"2,400 sqft",Multi Family,2002,,,,,,,"$1,166,240 ",$1.00M - $1.28M,"+$9,368 (+0.8 %)"
"1219 Waring Ave, Bronx, NY 10469",https://www.zillow.com/homedetails/1219-Waring-Ave-Bronx-NY-10469/29821052_zpid/,Sold 10/31/2019,"$670,000 ",3 bds,2 ba,"1,592 sqft",Multi Family,1950,,Oil,,Attached Garage,,,"$672,347 ","$619,000 - $733,000","-$13,777 (-2.0 %)"
"92 Laight St APT 6A, New York, NY 10013",https://www.zillow.com/homedetails/92-Laight-St-APT-6A-New-York-NY-10013/69509874_zpid/,Sold 10/31/2019,$5.67M,3 bds,4 ba,"2,666 sqft",Condo,2005,,Forced air,Other,Attached Garage,"$3,521/month",,"$5,870,747 ",$5.58M - $6.16M,"+$3,808 (+0.1 %)"
"6052 68th Rd, Flushing, NY 11385",https://www.zillow.com/homedetails/6052-68th-Rd-Flushing-NY-11385/32010831_zpid/,Sold 10/30/2019,"$2,000 ",3 bds,1 ba,"1,000 sqft",Multi Family,1905,,,,,,,"$1,136,496 ","$932,000 - $1.32M","+$2,256 (+0.2 %)"
"134-15 232nd, Laurelton, NY 11413",https://www.zillow.com/homedetails/134-15-232nd-Laurelton-NY-11413/2082118098_zpid/,Sold 10/30/2019,"$470,000 ",3 bds,3 ba,"1,331 sqft",Multi Family,,,,,,,,"$469,768 ","$427,000 - $512,000",
