Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"201 Cottsford Dr SW, Atlanta, GA 30331","$194,000 ",3 bds,2 ba,"1,451 sqft","$189,674 ",Condo,2001,Forced air,Central,Attached Garage,$260/month,Good solar potentialSun Number™: 67.41,"$1,233 ",$732/mo,$173/mo,$68/mo,$260/mo
"38 Belmonte Cir SW, Atlanta, GA 30311","$75,000 ",2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,Great solar potentialSun Number™: 79.42,$424 ,$308/mo,$67/mo,$26/mo,$23/mo
"620 Peachtree St NE APT 1204, Atlanta, GA 30308","$289,900 ",3 bds,2 ba,"1,344 sqft","$286,407 ",Condo,1965,Forced air,Central,2 spaces,$860/month,,"$2,284 ","$1,064/mo",$258/mo,$101/mo,$860/mo
"943 Peachtree St NE UNIT 1215, Atlanta, GA 30309","$277,900 ",1 bd,1 ba,768 sqft,"$273,359 ",Condo,2002,Forced air,Central,Attached Garage,$358/month,,"$1,723 ","$1,020/mo",$248/mo,$97/mo,$358/mo
"75 14th St NE UNIT 4840, Atlanta, GA 30309","$1,695,000 ",3 bds,4 ba,"2,773 sqft","$1,636,802 ",Condo,1992,Forced air,Central,Attached Garage,$130/month,,"$8,836 ","$6,602/mo","$1,511/mo",$593/mo,$130/mo
