Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"319 Lakemoore Dr NE APT B, Atlanta, GA 30342",https://www.zillow.com/homedetails/319-Lakemoore-Dr-NE-APT-B-Atlanta-GA-30342/35933928_zpid/,"$200,000",2 bds,2 ba,-- sqft,"$204,696",Condo,1952,Forced air,Central,2 spaces,No Data,No Data,"$1,034"
"250 Pharr Rd NE APT 1601, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-1601-Atlanta-GA-30305/69375059_zpid/,"$375,000",2 bds,2 ba,"1,056 sqft","$362,008",Condo,2004,Forced air,Central,2 spaces,$431/month,$355,"$2,276"
"2152 Main St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2152-Main-St-NW-Atlanta-GA-30318/35923873_zpid/,"$275,000",4 bds,2 ba,"1,321 sqft","$284,700",Single Family,1930,Forced air,Central,Off street,0.44 acres,$208,"$1,353"
"4280 W Club Ln NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/4280-W-Club-Ln-NE-Atlanta-GA-30319/35903157_zpid/,"$1,749,000",5 bds,5 ba,"4,516 sqft","$1,745,795",Single Family,2000,Forced air,Central,No Data,0.49 acres,$387,"$8,861"
"3777 Peachtree Rd NE APT 534, Brookhaven, GA 30319",https://www.zillow.com/homedetails/3777-Peachtree-Rd-NE-APT-534-Brookhaven-GA-30319/2098262436_zpid/,"$289,900",3 bds,2 ba,"1,402 sqft","$267,000",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$592/month,$207,"$2,018"
"2987 Northside Dr NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/2987-Northside-Dr-NW-Atlanta-GA-30305/69381492_zpid/,"$1,200,000",3 bds,4 ba,"2,736 sqft",,Single Family,2004,"Forced air, Radiant",Central,2 spaces,0.54 acres,$439,"$6,079"
"1747 Moores Mill Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1747-Moores-Mill-Rd-NW-Atlanta-GA-30318/35920219_zpid/,"$435,000",4 bds,2 ba,"1,375 sqft","$447,904",Single Family,1952,Other,"Central, Other",Off street,0.28 acres,$316,"$2,140"
"3660 Peachtree Rd NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/3660-Peachtree-Rd-NE-Atlanta-GA-30319/35895224_zpid/,"$222,000",2 bds,2 ba,"1,200 sqft","$220,721",Single Family,1955,Forced air,Other,1 space,"1,197 sqft",$185,"$1,482"
"3462 Landen Pine Ct NE # 29, Atlanta, GA",https://www.zillow.com/homedetails/3462-Landen-Pine-Ct-NE-29-Atlanta-GA-30305/2082098306_zpid/,"$839,900",4 bds,4 ba,"2,806 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$299,"$4,550"
"3003 Rivermeade Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3003-Rivermeade-Dr-NW-Atlanta-GA-30327/35922278_zpid/,"$1,050,000",4 bds,5 ba,"5,315 sqft","$1,228,108",Single Family,1968,Forced air,Central,Attached Garage,1 acre,$198,"$5,369"
"261 Devin Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/261-Devin-Pl-NE-Atlanta-GA-30305/2082098690_zpid/,"$996,635",3 bds,4 ba,"3,310 sqft",,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$301,"$5,049"
"3533 Roxboro Rd NE UNIT 2, Atlanta, GA 30326",https://www.zillow.com/homedetails/3533-Roxboro-Rd-NE-UNIT-2-Atlanta-GA-30326/2117630721_zpid/,"$985,000",3 bds,5 ba,"2,696 sqft",,Townhouse,2001,Forced air,Central,2 spaces,"3,175 sqft",$365,"$5,890"
"1198 Milmar Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1198-Milmar-Dr-NW-Atlanta-GA-30327/35914787_zpid/,"$675,000",3 bds,2 ba,"1,734 sqft","$649,396",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,$389,"$3,420"
"3081 Peachtree Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/3081-Peachtree-Dr-NE-Atlanta-GA-30305/35928689_zpid/,"$1,125,000",4 bds,3 ba,"3,073 sqft","$1,207,763",Single Family,1938,Forced air,Central,Detached Garage,0.46 acres,$366,"$5,699"
"0 Pine Meadow Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-NW-Atlanta-GA-30327/2084416557_zpid/,"$449,900",0.73 acres lot,,,,,,,,,,,"$2,213"
"1091 E Paces Ln, Atlanta, GA 30326",https://www.zillow.com/homedetails/1091-E-Paces-Ln-Atlanta-GA-30326/2132496601_zpid/,"$515,000",3 bds,4 ba,"2,808 sqft","$481,090",Townhouse,2010,Forced air,Central,No Data,871 sqft,$183,"$2,708"
"1057 Ferncliff Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1057-Ferncliff-Rd-NE-Atlanta-GA-30324/35938490_zpid/,"$615,000",3 bds,2 ba,"1,336 sqft","$539,827",Single Family,1954,Other,Central,2 spaces,1.15 acres,$460,"$3,116"
"0 Pine Meadow Rd, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-Atlanta-GA-30327/2097295384_zpid/,"$449,900",0.73 acres lot,,,,,,,,,,,"$2,213"
"1150 Collier Rd NW APT M2, Atlanta, GA 30318",https://www.zillow.com/homedetails/1150-Collier-Rd-NW-APT-M2-Atlanta-GA-30318/69365329_zpid/,"$139,900",1 bd,1 ba,775 sqft,,Single Family,2004,Forced air,Central,No Data,784 sqft,$181,$992
"2626 Peachtree Rd NW UNIT 1706, Atlanta, GA 30305",https://www.zillow.com/homedetails/2626-Peachtree-Rd-NW-UNIT-1706-Atlanta-GA-30305/71755295_zpid/,"$217,500",1 bd,1 ba,652 sqft,"$155,724",Condo,2005,Forced air,Central,1 space,$550/month,$334,"$1,674"
"3277-L Ivanhoe Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3277-L-Ivanhoe-Dr-NW-Atlanta-GA-30327/2082104125_zpid/,"$775,000",0.69 acres lot,,,,,,,,,,,"$3,926"
"2626 Peachtree Rd NW UNIT 1107, Atlanta, GA 30305",https://www.zillow.com/homedetails/2626-Peachtree-Rd-NW-UNIT-1107-Atlanta-GA-30305/71756932_zpid/,"$625,000",2 bds,3 ba,"2,100 sqft","$609,818",Condo,2005,Forced air,Central,4 spaces,"$1,058/month",$298,"$4,224"
"1091 E Paces Ln NE, Atlanta, GA 30326",https://www.zillow.com/homedetails/1091-E-Paces-Ln-NE-Atlanta-GA-30326/112087134_zpid/,"$515,000",3 bds,4 ba,"2,371 sqft","$504,073",Townhouse,2010,Forced air,Central,4 spaces,871 sqft,$217,"$2,708"
"3445 Stratford Rd NE APT 307, Atlanta, GA 30326",https://www.zillow.com/homedetails/3445-Stratford-Rd-NE-APT-307-Atlanta-GA-30326/82623580_zpid/,"$379,900",4 bds,4 ba,"1,363 sqft","$370,671",Condo,2006,Forced air,Central,2 spaces,$584/month,$279,"$2,453"
"385 Lindbergh Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/385-Lindbergh-Dr-NE-Atlanta-GA-30305/35932567_zpid/,"$369,900",3 bds,2 ba,"1,474 sqft",,Single Family,1957,Forced air,Central,No Data,0.3 acres,$251,"$1,820"
"2621 Forrest Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2621-Forrest-Ave-NW-Atlanta-GA-30318/35923540_zpid/,"$119,900",2 bds,1 ba,964 sqft,"$197,666",Single Family,1925,Forced air,Central,No Data,"10,018 sqft",$124,$640
"2243 Brookview Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2243-Brookview-Dr-NW-Atlanta-GA-30318/35910551_zpid/,"$1,250,000",5 bds,4 ba,"3,900 sqft","$1,196,808",Single Family,1945,Forced air,"Central, Other",No Data,0.38 acres,$321,"$6,333"
"538 Bismark Rd NE # 48, Atlanta, GA 30324",https://www.zillow.com/homedetails/538-Bismark-Rd-NE-48-Atlanta-GA-30324/2093614722_zpid/,"$485,000",3 bds,3 ba,"1,789 sqft",,Townhouse,2016,Forced air,Central,Attached Garage,No Data,$271,"$2,571"
"250 Pharr Rd NE APT 317, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-317-Atlanta-GA-30305/2082112872_zpid/,"$230,000",1 bd,1 ba,-- sqft,,Condo,2004,Forced air,Central,No Data,$296/month,No Data,"$1,485"
"2870 Pharr Ct S NW APT 2907, Atlanta, GA 30305",https://www.zillow.com/homedetails/2870-Pharr-Ct-S-NW-APT-2907-Atlanta-GA-30305/2082114871_zpid/,"$181,600",1 bd,1 ba,-- sqft,,Condo,1988,Electric,Central,Attached Garage,$345/month,No Data,"$1,284"
"1184 John Collier Rd, Atlanta, GA 30318",https://www.zillow.com/homedetails/1184-John-Collier-Rd-Atlanta-GA-30318/171603468_zpid/,"$560,000",3 bds,4 ba,"2,530 sqft","$545,837",Townhouse,2015,Gas,Central,No Data,"1,769 sqft",$221,"$2,955"
"3334 Peachtree Tree Rd # 1707, Atlanta, GA 30326",https://www.zillow.com/homedetails/3334-Peachtree-Tree-Rd-1707-Atlanta-GA-30326/2082115712_zpid/,"$539,000",2 bds,2 ba,-- sqft,,Condo,1997,Forced air,Central,Attached Garage,$45/month,No Data,"$2,697"
"1210 Lavista Cir NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1210-Lavista-Cir-NE-Atlanta-GA-30324/118453969_zpid/,"$475,000",3 bds,4 ba,"3,300 sqft","$463,785",Townhouse,2011,Forced air,Central,2 spaces,"1,306 sqft",$144,"$2,587"
"18 Peachtree Ave NE APT 2, Atlanta, GA 30305",https://www.zillow.com/homedetails/18-Peachtree-Ave-NE-APT-2-Atlanta-GA-30305/2086243943_zpid/,"$715,000",3 bds,4 ba,-- sqft,"$698,703",Townhouse,2016,Forced air,Central,3 spaces,"1,045 sqft",No Data,"$3,657"
"2796 Margaret Mitchell Dr NW, Atlanta, GA",https://www.zillow.com/homedetails/2796-Margaret-Mitchell-Dr-NW-Atlanta-GA-30327/35920056_zpid/,"$1,798,000",6 bds,6 ba,"5,463 sqft","$1,725,839",Single Family,2019,Forced air,Central,No Data,0.58 acres,$329,"$9,109"
"Woodland Plan, Enclave at Chastain",https://www.zillow.com/community/enclave-at-chastain/2082390375_zpid/,"$1,199,900+",4 bds,5 ba,"3,755 sqft","$1,153,365",Single Family,2019,No Data,No Data,No Data,No Data,$320,"$6,079"
"The Lockland 27-33 Plan, Landen Pine",https://www.zillow.com/community/landen-pine/2082434145_zpid/,"$839,900+",4 bds,4 ba,"2,806 sqft","$818,225",Townhouse,2019,No Data,No Data,No Data,No Data,$299,"$4,255"
"Coming Soon Plan, Main Street Commons",https://www.zillow.com/community/main-street-commons/2082274040_zpid/,$--,-- bds,-- ba,-- sqft,,Single Family,2019,No Data,No Data,No Data,No Data,No Data,$0
"2657 Lenox Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/2657-Lenox-Rd-NE-Atlanta-GA-30324/2109593788_zpid/,"$205,000",2 bds,2 ba,949 sqft,"$189,247",Condo,1994,Forced air,Central,1 space,$298/month,$216,"$1,358"
"1823 Monroe Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1823-Monroe-Dr-NE-Atlanta-GA-30324/35931895_zpid/,"$569,900",3 bds,4 ba,"2,033 sqft","$555,950",Single Family,1987,"Forced air, Heat pump",Central,2 spaces,"3,484 sqft",$280,"$2,794"
"2243 Brookview Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2243-Brookview-Dr-NW-Atlanta-GA-30318/35910551_zpid/,"$1,250,000",5 bds,4 ba,"3,900 sqft","$1,196,808",Single Family,1945,Forced air,"Central, Other",No Data,0.38 acres,$321,"$6,333"
"538 Bismark Rd NE # 48, Atlanta, GA 30324",https://www.zillow.com/homedetails/538-Bismark-Rd-NE-48-Atlanta-GA-30324/2093614722_zpid/,"$485,000",3 bds,3 ba,"1,789 sqft",,Townhouse,2016,Forced air,Central,Attached Garage,No Data,$271,"$2,571"
"75 14th St NE UNIT 4840, Atlanta, GA 30309",https://www.zillow.com/homedetails/75-14th-St-NE-UNIT-4840-Atlanta-GA-30309/35899414_zpid/,"$1,695,000",3 bds,4 ba,"2,773 sqft","$1,636,802",Condo,1992,Forced air,Central,Attached Garage,$130/month,$611,"$8,717"
"955 Juniper St NE UNIT 3125, Atlanta, GA 30309",https://www.zillow.com/homedetails/955-Juniper-St-NE-UNIT-3125-Atlanta-GA-30309/65469284_zpid/,"$275,000",2 bds,1 ba,"1,031 sqft","$270,407",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$310/month,$267,"$1,663"
"260 18th St NW UNIT 10319, Atlanta, GA 30363",https://www.zillow.com/homedetails/260-18th-St-NW-UNIT-10319-Atlanta-GA-30363/2082122533_zpid/,"$354,900",2 bds,2 ba,"1,094 sqft",,Townhouse,2005,Forced air,Central,2 spaces,No Data,$324,"$2,098"
"1325 Peachtree St NE APT 802, Atlanta, GA 30309",https://www.zillow.com/homedetails/1325-Peachtree-St-NE-APT-802-Atlanta-GA-30309/35897996_zpid/,"$550,000",2 bds,2 ba,"1,441 sqft",,Single Family,1924,Forced air,Central,2 spaces,"1,306 sqft",$382,"$3,573"
"675 Greenwood Ave NE APT 105, Atlanta, GA 30306",https://www.zillow.com/homedetails/675-Greenwood-Ave-NE-APT-105-Atlanta-GA-30306/71757615_zpid/,"$720,000",2 bds,3 ba,"1,813 sqft","$704,355",Condo,1925,Forced air,Central,2 spaces,$424/month,$397,"$4,072"
"2927 Besto Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2927-Besto-Dr-NW-Atlanta-GA-30318/35924155_zpid/,"$85,376",3 bds,2 ba,"1,106 sqft",,Single Family,1969,Forced air,Central,No Data,"7,840 sqft",,$456
"20 Iron Bound Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/20-Iron-Bound-Pl-NW-Atlanta-GA-30318/35920675_zpid/,"$278,500",2 bds,3 ba,"1,320 sqft","$271,358",Townhouse,1979,No Data,Central,2 spaces,"1,306 sqft",$211,"$1,653"
"1507 River Green Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1507-River-Green-Dr-NW-Atlanta-GA-30327/65470703_zpid/,"$169,900",1 bd,1 ba,710 sqft,"$165,214",Condo,1991,Forced air,Central,Attached Garage,$350/month,$239,"$1,228"
"576 Broadview Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/576-Broadview-Pl-NE-Atlanta-GA-30324/249123101_zpid/,"$633,663",3 bds,3 ba,"2,074 sqft",,Single Family,No Data,No Data,No Data,2 spaces,"1,612 sqft",$306,"$3,210"
"The Lochner Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434168_zpid/,"$649,900+",2 bds,4 ba,"2,466 sqft","$637,885",Townhouse,2019,No Data,No Data,No Data,No Data,$264,"$3,292"
"2628 Church St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2628-Church-St-NW-Atlanta-GA-30318/35923641_zpid/,"$299,900",3 bds,2 ba,"1,400 sqft",,Single Family,1920,Forced air,Central,No Data,0.34 acres,$214,"$1,475"
"2214 Peachtree Rd NW, Atlanta, GA 30309",https://www.zillow.com/homedetails/2214-Peachtree-Rd-NW-Atlanta-GA-30309/35900969_zpid/,"$209,000",2 bds,1 ba,"1,151 sqft","$202,980",Condo,1938,Forced air,Other,2 spaces,$400/month,$182,"$1,480"
"1787 Westmoreland Ln NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1787-Westmoreland-Ln-NW-Atlanta-GA-30318/171603486_zpid/,"$430,000",3 bds,3 ba,"2,480 sqft","$417,597",Single Family,2015,Forced air,Central,Detached Garage,"6,098 sqft",$173,"$2,223"
"Arbor Plan, Enclave at Chastain",https://www.zillow.com/community/enclave-at-chastain/2082390377_zpid/,"$1,024,900+",4 bds,5 ba,"3,572 sqft","$990,405",Single Family,2019,No Data,No Data,No Data,No Data,$287,"$5,192"
"721 Taylor Ct NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/721-Taylor-Ct-NE-Atlanta-GA-30324/283678125_zpid/,"$449,900",3 bds,3 ba,"1,513 sqft","$439,038",Townhouse,2017,Forced air,Central,2 spaces,"1,001 sqft",$297,"$2,503"
"3611 E Paces Way NE, Atlanta, GA 30326",https://www.zillow.com/homedetails/3611-E-Paces-Way-NE-Atlanta-GA-30326/88810437_zpid/,"$850,000",3 bds,4 ba,"3,042 sqft",,Single Family,2007,Forced air,Central,Attached Garage,"1,306 sqft",$279,"$4,306"
"2640 Peachtree Rd NW # 2, Atlanta, GA 30305",https://www.zillow.com/homedetails/2640-Peachtree-Rd-NW-2-Atlanta-GA-30305/2137247725_zpid/,"$2,000,000",3 bds,6 ba,"5,990 sqft","$1,875,151",Townhouse,2008,Forced air,"Central, Other",5 spaces,"3,920 sqft",$334,"$11,707"
"3820 Roswell Rd NE UNIT 609, Atlanta, GA 30342",https://www.zillow.com/homedetails/3820-Roswell-Rd-NE-UNIT-609-Atlanta-GA-30342/71757576_zpid/,"$378,000",2 bds,2 ba,"1,505 sqft","$363,738",Condo,2005,Forced air,"Central, Other",2 spaces,$636/month,$251,"$2,496"
"212 Summit North Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/212-Summit-North-Dr-NE-Atlanta-GA-30324/65466703_zpid/,"$140,000",1 bd,1 ba,859 sqft,"$142,507",Condo,1982,Forced air,Central,Off street,$240/month,$163,$964
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308",https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1301-Atlanta-GA-30308/2127972341_zpid/,"$859,900",3 bds,3 ba,"1,875 sqft","$837,080",Condo,2005,No Data,Central,3 spaces,No Data,$459,"$4,356"
"766 Berkeley Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/766-Berkeley-Ave-NW-Atlanta-GA-30318/35909992_zpid/,"$395,000",2 bds,2 ba,"1,113 sqft","$383,533",Single Family,1941,Forced air,Central,Carport,"6,359 sqft",$355,"$1,943"
"30 Barbara Ln, Atlanta, GA 30327",https://www.zillow.com/homedetails/30-Barbara-Ln-Atlanta-GA-30327/35902855_zpid/,"$875,000",4 bds,3 ba,"2,365 sqft","$829,140",Single Family,1965,Forced air,Central,No Data,0.69 acres,$370,"$4,433"
"1388 Liberty Pkwy NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1388-Liberty-Pkwy-NW-Atlanta-GA-30318/88815221_zpid/,"$272,500",3 bds,4 ba,"1,326 sqft","$265,557",Townhouse,2005,Forced air,Central,1 space,653 sqft,$206,"$1,656"
"875 Eleanor Ct NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/875-Eleanor-Ct-NW-Atlanta-GA-30318/35865021_zpid/,"$160,000",4 bds,2 ba,"1,166 sqft","$152,470",Single Family,1963,Forced air,Central,Attached Garage,0.31 acres,$137,$827
"1507 River Green Dr NW # 1507, Atlanta, GA 30327",https://www.zillow.com/homedetails/1507-River-Green-Dr-NW-1507-Atlanta-GA-30327/2096927158_zpid/,"$169,900",1 bd,1 ba,710 sqft,"$161,997",Condo,1991,Forced air,Central,2 spaces,$214/month,$239,"$1,092"
"3602 Haddon Hall Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3602-Haddon-Hall-Rd-NW-Atlanta-GA-30327/35911482_zpid/,"$1,400,000",5 bds,6 ba,"4,903 sqft","$1,350,222",Single Family,1960,Forced air,Central,Attached Garage,1.02 acres,$286,"$7,092"
"3602 Haddon Hall Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3602-Haddon-Hall-Rd-NW-Atlanta-GA-30327/35911482_zpid/,"$1,400,000",5 bds,6 ba,"4,903 sqft","$1,350,222",Single Family,1960,Forced air,Central,Attached Garage,1.02 acres,$286,"$7,092"
"785 Piedmont Ave NE # A, Atlanta, GA 30308",https://www.zillow.com/homedetails/785-Piedmont-Ave-NE-A-Atlanta-GA-30308/2082142641_zpid/,"$895,000",3 bds,4 ba,"2,289 sqft",,Townhouse,1960,Forced air,Central,Attached Garage,No Data,$391,"$4,534"
"919 E Rock Springs Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/919-E-Rock-Springs-Rd-NE-Atlanta-GA-30306/35925645_zpid/,"$649,000",4 bds,4 ba,"1,917 sqft",,Single Family,1935,Forced air,Central,No Data,"8,712 sqft",$339,"$3,288"
"The Adaland Plan, Landen Pine",https://www.zillow.com/community/landen-pine/2082434150_zpid/,"$789,900+",4 bds,4 ba,"2,672 sqft","$771,320",Townhouse,2019,No Data,No Data,No Data,No Data,$296,"$4,002"
"250 Pharr Rd NE APT 1115, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-1115-Atlanta-GA-30305/69380843_zpid/,"$265,000",1 bd,1 ba,779 sqft,"$260,637",Condo,2004,Forced air,Central,1 space,$318/month,$340,"$1,622"
"2384 Defoors Ferry Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2384-Defoors-Ferry-Rd-NW-Atlanta-GA-30318/35917036_zpid/,"$525,000",3 bds,4 ba,"2,224 sqft","$510,307",Single Family,1984,Gas,Central,Attached Garage,"4,138 sqft",$236,"$2,803"
"Coming Soon Plan, Easton",https://www.zillow.com/community/easton/2083781043_zpid/,$--,-- bds,-- ba,-- sqft,,Single Family,2019,No Data,No Data,No Data,No Data,No Data,$0
"The Atkinson Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434173_zpid/,"$669,900+",3 bds,4 ba,"2,466 sqft","$657,515",Townhouse,2019,No Data,No Data,No Data,No Data,$272,"$3,394"
"2660 Peachtree Rd NW APT 12B, Atlanta, GA 30305",https://www.zillow.com/homedetails/2660-Peachtree-Rd-NW-APT-12B-Atlanta-GA-30305/2085533427_zpid/,"$1,095,000",2 bds,2 ba,"2,403 sqft","$1,051,714",Condo,1987,"Forced air, Heat pump",Central,4 spaces,"$1,233/month",$456,"$6,780"
"Hartford Plan, Hillgrove",https://www.zillow.com/community/hillgrove/2084629305_zpid/,"$1,006,635+",3 bds,3.5 ba,"3,310 sqft","$967,159",Townhouse,2019,No Data,No Data,2 spaces,No Data,$304,"$5,100"
"3635 E Paces Cir NE UNIT 1410, Atlanta, GA 30326",https://www.zillow.com/homedetails/3635-E-Paces-Cir-NE-UNIT-1410-Atlanta-GA-30326/92191894_zpid/,"$279,000",1 bd,2 ba,889 sqft,"$270,115",Condo,2008,Forced air,Central,1 space,$272/month,$314,"$1,645"
"836 Saint Charles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/836-Saint-Charles-Ave-NE-Atlanta-GA-30306/35854604_zpid/,"$285,000",1 bd,2 ba,"1,061 sqft","$278,372",Townhouse,1983,Forced air,Other,1 space,"1,045 sqft",$269,"$1,522"
"Opus Place B Plan, No. 2 Opus Place",https://www.zillow.com/community/no-2-opus-place/2085110483_zpid/,"$647,900+",1 bd,2 ba,852 sqft,"$623,603",Condo,2019,No Data,No Data,2 spaces,No Data,$760,"$3,282"
"The Atkinson Plan, Plateau West",https://www.zillow.com/community/plateau-west/2082434176_zpid/,"$669,900+",3 bds,4 ba,"2,466 sqft","$657,515",Townhouse,2019,No Data,No Data,No Data,No Data,$272,"$3,394"
"390 17th St NW UNIT 4068, Atlanta, GA 30363",https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-4068-Atlanta-GA-30363/88813666_zpid/,"$345,000",3 bds,3 ba,"1,596 sqft","$335,775",Condo,2007,Forced air,Central,6 spaces,$818/month,$216,"$2,515"
"C-2 Plan, 788 West Midtown",https://www.zillow.com/community/788-west-midtown/2085118304_zpid/,"$916,900+",3 bds,3 ba,"1,930 sqft","$885,059",Condo,2019,Heat pump,Central,Attached Garage,No Data,$475,"$4,645"
"5 Ivy Trl NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/5-Ivy-Trl-NE-Atlanta-GA-30342/35942585_zpid/,"$344,000",3 bds,4 ba,"1,798 sqft","$333,680",Townhouse,1972,Forced air,Central,2 spaces,"1,785 sqft",$191,"$1,723"
"813 Canterbury Overlook, Atlanta, GA 30324",https://www.zillow.com/homedetails/813-Canterbury-Overlook-Atlanta-GA-30324/2098273082_zpid/,"$619,999",4 bds,4 ba,"2,319 sqft","$527,474",Townhouse,2015,No Data,No Data,No Data,"2,178 sqft",$267,"$3,427"
"3706 Clovis Ct NW, Atlanta, GA",https://www.zillow.com/homedetails/3706-Clovis-Ct-NW-Atlanta-GA-30331/35850595_zpid/,"$189,900",3 bds,2 ba,"1,200 sqft",,Single Family,2019,Other,Central,3 spaces,"9,099 sqft",$158,$981
"2499 Peachtree Rd NE APT 405, Atlanta, GA 30305",https://www.zillow.com/homedetails/2499-Peachtree-Rd-NE-APT-405-Atlanta-GA-30305/35896843_zpid/,"$349,000",2 bds,2 ba,"1,323 sqft","$339,729",Condo,1984,Forced air,Central,1 space,$495/month,$264,"$2,212"
"313 Delmont Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/313-Delmont-Dr-NE-Atlanta-GA-30305/35932802_zpid/,"$1,275,000",5 bds,5 ba,"3,804 sqft","$1,206,658",Single Family,2004,Forced air,Central,4 spaces,"10,193 sqft",$335,"$6,459"
"3995 Randall Mill Rd NW, Atlanta, GA",https://www.zillow.com/homedetails/3995-Randall-Mill-Rd-NW-Atlanta-GA-30327/35918250_zpid/,"$3,600,000",6 bds,9 ba,"10,000 sqft","$3,297,450",Single Family,2019,Forced air,Central,3 spaces,0.98 acres,$360,"$18,238"
"Hillgrove Plan, Hillgrove",https://www.zillow.com/community/hillgrove/2084514040_zpid/,"$973,353+",3 bds,3.5 ba,"3,375 sqft","$941,954",Townhouse,2019,No Data,No Data,2 spaces,No Data,$288,"$4,931"
"3820 Roswell Rd NE UNIT 514, Atlanta, GA 30342",https://www.zillow.com/homedetails/3820-Roswell-Rd-NE-UNIT-514-Atlanta-GA-30342/71754797_zpid/,"$260,000",1 bd,1 ba,964 sqft,"$253,066",Condo,2005,Forced air,Central,1 space,$407/month,$270,"$1,686"
"1376 Mount Paran Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1376-Mount-Paran-Rd-NW-Atlanta-GA-30327/35913705_zpid/,"$6,900,000",9 bds,17 ba,"22,487 sqft",,Single Family,2008,Forced air,Central,Attached Garage,2.55 acres,$307,"$34,956"
"1834 Marietta Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1834-Marietta-Rd-NW-Atlanta-GA-30318/35920921_zpid/,"$349,900",4 bds,4 ba,"2,277 sqft","$338,377",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",$154,"$1,721"
"923 Peachtree St NE UNIT 825, Atlanta, GA 30309",https://www.zillow.com/homedetails/923-Peachtree-St-NE-UNIT-825-Atlanta-GA-30309/69372503_zpid/,"$259,900",1 bd,1 ba,754 sqft,"$254,693",Condo,2002,Forced air,Central,1 space,$352/month,$345,"$1,631"
"2232 Bohler Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2232-Bohler-Rd-NW-Atlanta-GA-30327/35916725_zpid/,"$415,000",3 bds,3 ba,"1,849 sqft","$403,630",Townhouse,1980,Forced air,Central,2 spaces,"1,846 sqft",$224,"$2,437"
"140 Woodmere Sq NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/140-Woodmere-Sq-NW-Atlanta-GA-30327/35915622_zpid/,"$219,000",2 bds,2 ba,"1,200 sqft","$211,140",Condo,1970,"Forced air, Heat pump",Central,2 spaces,$405/month,$182,"$1,537"
