Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"2575 Peachtree Rd NE APT 11B, Atlanta, GA 30305",https://www.zillow.com/homedetails/2575-Peachtree-Rd-NE-APT-11B-Atlanta-GA-30305/35896666_zpid/,"$675,000",2 bds,2 ba,"1,594 sqft",,Condo,1969,Forced air,Central,Attached Garage,"$1,301/month",$423,"$4,735"
"2874 Alpine Rd NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2874-Alpine-Rd-NE-Atlanta-GA-30305/35933068_zpid/,"$1,049,000",5 bds,4 ba,"3,134 sqft",,Single Family,1938,Forced air,Central,No Data,0.28 acres,$335,"$5,337"
"1658 Duncan Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1658-Duncan-Dr-NW-Atlanta-GA-30318/71754710_zpid/,"$459,900",3 bds,3 ba,"2,166 sqft","$450,851",Single Family,2005,Forced air,Central,2 spaces,"4,791 sqft",$212,"$2,378"
"3655 Habersham Rd NE APT A325, Atlanta, GA 30305",https://www.zillow.com/homedetails/3655-Habersham-Rd-NE-APT-A325-Atlanta-GA-30305/2084257812_zpid/,"$163,900",1 bd,1 ba,713 sqft,"$149,970",Condo,1989,"Forced air, Heat pump",Central,No Data,$287/month,$230,"$1,119"
"10 Lullwater Pl NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/10-Lullwater-Pl-NE-Atlanta-GA-30307/14479632_zpid/,"$359,900",2 bds,3 ba,"1,902 sqft","$357,975",Townhouse,1972,No Data,Central,2 spaces,871 sqft,$189,"$2,142"
"737 Barnett St NE APT A3, Atlanta, GA 30306",https://www.zillow.com/homedetails/737-Barnett-St-NE-APT-A3-Atlanta-GA-30306/65460726_zpid/,"$257,900",1 bd,1 ba,926 sqft,"$253,924",Condo,1945,Forced air,Central,1 space,$314/month,$279,"$1,582"
"2652 Acorn Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2652-Acorn-Ave-NE-Atlanta-GA-30305/35896108_zpid/,"$825,000",5 bds,4 ba,"3,114 sqft","$819,633",Single Family,1943,Forced air,Central,1 space,"7,492 sqft",$265,"$4,197"
"1585 W Paces Ferry Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1585-W-Paces-Ferry-Rd-NW-Atlanta-GA-30327/55019852_zpid/,"$2,200,000",5 bds,6 ba,"8,505 sqft","$2,034,482",Single Family,1935,Forced air,Central,12 spaces,3.12 acres,$259,"$11,192"
"2196 Spink St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2196-Spink-St-NW-Atlanta-GA-30318/69352265_zpid/,"$275,000",3 bds,3 ba,"1,426 sqft","$274,047",Single Family,2005,Forced air,Central,2 spaces,0.3 acres,$193,"$1,352"
"2870 Pharr Court South NW APT 2709, Atlanta, GA 30305",https://www.zillow.com/homedetails/2870-Pharr-Court-South-NW-APT-2709-Atlanta-GA-30305/55019257_zpid/,"$194,436",1 bd,1 ba,807 sqft,"$190,273",Condo,1988,Forced air,Central,2 spaces,$345/month,$241,"$1,332"
